 	k	ω	l	ω	k	ώ	l	ώ	y	o	b	a	n	y	a	a	a	d	i	s	a	a	m	ó	l	e	k	á	s	i	</S>
la	0.0145004	0.0121101	0.0199023	0.0176626	0.0218973	0.0276654	0.0361365	0.0329888	0.0333138	0.0309272	0.0351023	0.0359294	0.0382519	0.0598689	0.0403431	0.0467301	0.0698969	0.0702782	0.0461135	0.0521797	0.0457935	0.0313608	0.0297649	0.0289337	0.0277483	0.0221902	0.0185113	0.0159253	0.011567	0.0119465	0.0144601
nymphe	0.0286531	0.0332077	0.04516	0.0989751	0.0531814	0.0455344	0.0356856	0.0381582	0.0255768	0.0239712	0.0177458	0.0217303	0.0355516	0.133702	0.13726	0.0622891	0.0439762	0.0244692	0.0177684	0.0177852	0.0102398	0.0128119	0.00782812	0.00935716	0.00673073	0.00403426	0.0020831	0.0026497	0.0019011	0.00110515	0.000877273
de	0.0634142	0.0370593	0.0188964	0.0196486	0.0219046	0.0270429	0.0248796	0.0187848	0.011862	0.00834849	0.0105818	0.0149639	0.015122	0.0216594	0.0409226	0.035651	0.0365831	0.0640022	0.0572248	0.0477051	0.0568711	0.0554258	0.0497552	0.0489724	0.0554415	0.0410191	0.034527	0.0228467	0.0137432	0.0120462	0.0130951
la	0.0293027	0.0379507	0.039773	0.0405054	0.0334923	0.0286991	0.0223804	0.0229561	0.0174165	0.0159564	0.023069	0.0287669	0.0221814	0.022935	0.0216938	0.0199213	0.016499	0.0264224	0.0354024	0.0354065	0.0257953	0.0226312	0.0227951	0.0276078	0.0395253	0.0399413	0.0628823	0.0399645	0.0398376	0.047696	0.0905934
chenille	0.0407421	0.0335848	0.0389615	0.035106	0.0352118	0.0357743	0.0305966	0.0322731	0.0349685	0.0300828	0.0254694	0.0233013	0.0175712	0.017934	0.0123811	0.0122161	0.0141612	0.0192828	0.0278336	0.037946	0.0408738	0.0314702	0.0263883	0.0311954	0.0276491	0.038234	0.0317448	0.0433743	0.0549064	0.0551638	0.0636017
est	0.104045	0.0729935	0.0377757	0.03193	0.026448	0.0210249	0.0171854	0.0180145	0.0167035	0.0149793	0.0166289	0.0168401	0.0159439	0.0182012	0.022884	0.0214513	0.0172168	0.0144275	0.014103	0.0160832	0.0157456	0.0132939	0.0119236	0.0187939	0.0223091	0.0297565	0.0493882	0.0426992	0.0453437	0.0524045	0.163462
sur	0.0566014	0.0421698	0.0439563	0.0557065	0.0495987	0.0436079	0.0235628	0.018992	0.0129978	0.0077926	0.0109284	0.0124201	0.0134361	0.0147878	0.0121478	0.0206515	0.0264333	0.0229984	0.0225753	0.0287451	0.0223465	0.0245489	0.0302353	0.0387222	0.0272512	0.0456006	0.0296634	0.0552757	0.0579693	0.0454089	0.0828683
la	0.0327955	0.0209492	0.0168784	0.0181037	0.0196519	0.0222963	0.0228305	0.0303088	0.0269092	0.0193664	0.0162065	0.0194644	0.0161836	0.0189294	0.028699	0.0274528	0.0206315	0.0229842	0.0376775	0.049305	0.043478	0.050041	0.0468365	0.0568651	0.0481679	0.0504373	0.0357712	0.031653	0.0373972	0.0450721	0.0666569
feuille	0.0905917	0.0381394	0.0310446	0.0248451	0.0194208	0.0147482	0.0102842	0.00928563	0.00989915	0.00687904	0.00727945	0.00595728	0.00616324	0.00641366	0.00519973	0.00695542	0.00945103	0.0157026	0.0214299	0.023633	0.0302176	0.031772	0.0438741	0.0392249	0.0284715	0.0375469	0.044356	0.066091	0.0923531	0.0841843	0.138586
</S>	0.101242	0.0777299	0.0513094	0.0419538	0.0306258	0.0270751	0.0265613	0.0256082	0.0256417	0.0163254	0.016117	0.0147892	0.00922074	0.00943666	0.0105237	0.0104555	0.00765283	0.00755937	0.0127429	0.0145586	0.0167219	0.0130727	0.0112973	0.0119486	0.0130549	0.0132716	0.0314314	0.0269502	0.0448686	0.051655	0.228599
