 	m	o	r	o	y	e	e	n	ώ	n	g	í	a	t	s	w	ω	a	s	á	a	l	á	a	f	w	ε	m	ε	</S>
l'	0.00939317	0.0110859	0.0117787	0.012845	0.012162	0.0117094	0.0189551	0.0340743	0.0365945	0.0394881	0.050836	0.0954752	0.0851057	0.0745738	0.0542519	0.0606705	0.0442453	0.0281926	0.0253205	0.0289701	0.0271512	0.0295001	0.0237858	0.0288728	0.0410768	0.0201028	0.0267295	0.0216318	0.0162987	0.0191227
homme	0.0365034	0.0845929	0.125271	0.250568	0.105562	0.0970404	0.0573683	0.0165756	0.00702379	0.00574303	0.00985933	0.0144876	0.0203586	0.0321057	0.0353933	0.0301592	0.011619	0.0079443	0.00966425	0.00726637	0.00373946	0.00441392	0.00782424	0.00546337	0.0034788	0.00132704	0.00463476	0.00230835	0.000991647	0.000711453
qui	0.0686123	0.06013	0.0654628	0.0667448	0.0341781	0.0507894	0.0215874	0.0226811	0.0163894	0.0121066	0.00645499	0.011878	0.0232421	0.0418601	0.0367309	0.0200194	0.0267786	0.0224375	0.0634692	0.0565567	0.0722955	0.0528061	0.036006	0.0369496	0.0291232	0.0145153	0.0127614	0.00875436	0.00534945	0.00332969
a	0.0136519	0.0205202	0.03869	0.0388483	0.030582	0.0289814	0.0306223	0.0217798	0.0189791	0.0186135	0.00715184	0.0121877	0.0262887	0.0218682	0.0245416	0.0226653	0.0372049	0.0382319	0.065512	0.0564625	0.0583233	0.0500457	0.0286832	0.0333235	0.0281336	0.0392762	0.0533514	0.0489041	0.0528677	0.0337086
reçu	0.0602394	0.0623167	0.0659825	0.069545	0.056286	0.0648508	0.0501902	0.0351148	0.0245518	0.0161258	0.0194851	0.0121409	0.0199393	0.0190754	0.0256219	0.0317566	0.0242598	0.0374646	0.0291593	0.0232444	0.0166799	0.0148423	0.00857906	0.0163643	0.0214538	0.0289328	0.0265756	0.0236423	0.0338623	0.0617174
les	0.0286185	0.0309497	0.0478681	0.0392463	0.0380926	0.045833	0.0379969	0.0431615	0.0414307	0.042896	0.0356594	0.0291933	0.0280906	0.0229358	0.0403495	0.0310467	0.0315693	0.0202777	0.0272298	0.0155805	0.0183299	0.0159175	0.013953	0.0221075	0.0210979	0.0445471	0.0445961	0.0375515	0.0413916	0.0624821
balles	0.0578542	0.0442216	0.0436658	0.0362528	0.0326827	0.0286481	0.0419176	0.0572731	0.0661572	0.0466425	0.0630877	0.0185713	0.013456	0.014856	0.0211186	0.0136679	0.010909	0.00773378	0.00984833	0.0135182	0.0193744	0.0290245	0.0278096	0.0376051	0.035489	0.0339702	0.0416839	0.039174	0.0348676	0.0589195
respire	0.080795	0.0490997	0.0424668	0.0425342	0.0304218	0.0329769	0.0321101	0.0409999	0.0282319	0.0239613	0.0379465	0.0165442	0.0167247	0.0190031	0.0286639	0.0209905	0.01742	0.00755808	0.0121981	0.0157283	0.0161193	0.0265187	0.0422434	0.0454577	0.0387655	0.0266975	0.0589667	0.0371282	0.0460223	0.0657058
encore	0.0312733	0.0266835	0.031059	0.0257003	0.0305097	0.0400925	0.0393593	0.0439309	0.0237871	0.0204814	0.0449705	0.0430742	0.0654019	0.0507978	0.0536946	0.0286102	0.0242576	0.00828625	0.00995464	0.0110547	0.0112124	0.0123602	0.0137772	0.0189876	0.0278291	0.0274081	0.0431499	0.0407888	0.0416186	0.109889
</S>	0.109889	0.0653759	0.0549713	0.0522321	0.0307258	0.0224403	0.0128773	0.0124118	0.0129522	0.0113811	0.0201451	0.011732	0.0172246	0.0157667	0.0167796	0.0145523	0.0151146	0.0159574	0.0146257	0.0143651	0.0153691	0.0148482	0.0155081	0.018466	0.027247	0.0292572	0.0479333	0.0650182	0.0867194	0.138114
