 	o	k	a	a	n	i	l	a	n	g	ó	o	y	a	n	g	á	s	á	p	o	o	b	h	á	a	d	í	k	a	á	</S>
il	0.00701589	0.0115406	0.013634	0.0240989	0.0233719	0.0234732	0.0384658	0.0793199	0.0480039	0.0479949	0.0602134	0.0232304	0.0303487	0.0221664	0.0381023	0.0388794	0.0300757	0.0319193	0.0256609	0.0271465	0.0215016	0.0235683	0.0177936	0.0141634	0.0125957	0.0183233	0.0359629	0.0326299	0.056803	0.0435173	0.0477983	0.030681
n'	0.120656	0.110661	0.0654049	0.0753876	0.0661316	0.0483794	0.0406952	0.019843	0.0210547	0.0164225	0.0134929	0.0167006	0.022784	0.0194486	0.0182939	0.0242228	0.0347233	0.0351333	0.029546	0.0221879	0.0285591	0.0234359	0.0192147	0.016387	0.0155493	0.011846	0.0208398	0.00895032	0.0134127	0.00547192	0.00762406	0.0075393
y	0.071372	0.059505	0.0428134	0.0364841	0.0442147	0.0393562	0.0402614	0.0218816	0.0275949	0.0140346	0.0152436	0.0144799	0.0216705	0.0142658	0.0232427	0.0488609	0.0444165	0.0625283	0.065372	0.0437872	0.0350642	0.0301727	0.0262497	0.0231171	0.0218825	0.0183582	0.0167604	0.0131147	0.012908	0.0143202	0.0176956	0.0189711
a	0.0723261	0.0699685	0.0535136	0.0448278	0.0348113	0.0227474	0.0162703	0.00694739	0.00770863	0.00815015	0.00657812	0.00863084	0.0134922	0.0132759	0.0182711	0.0276356	0.0314511	0.0544945	0.046285	0.0478863	0.0683262	0.0697305	0.0560328	0.0251555	0.0274702	0.0166862	0.0275387	0.00951871	0.0272633	0.0106805	0.0246669	0.0316586
personne	0.0333792	0.0360901	0.0222295	0.0201172	0.0197831	0.0155621	0.0134147	0.0108199	0.0111539	0.0110897	0.0119492	0.0128209	0.0193536	0.0231604	0.0258556	0.039159	0.0415372	0.049601	0.0600447	0.0436554	0.0507514	0.0657399	0.0366233	0.0340814	0.0675084	0.0546955	0.0487966	0.0322802	0.0283113	0.0120462	0.020604	0.0277854
qui	0.0231063	0.0216825	0.0198739	0.0184815	0.0185438	0.0131382	0.0102533	0.0129435	0.0115019	0.016418	0.0140306	0.0218205	0.0291169	0.0310455	0.0208754	0.0296666	0.0234481	0.021969	0.0372075	0.0326541	0.0438503	0.0751076	0.105082	0.0848776	0.0655624	0.0461834	0.0281319	0.0234778	0.0143678	0.0167495	0.0227184	0.0461145
s'	0.031046	0.0386675	0.0334551	0.0261884	0.0272539	0.0191679	0.0182294	0.0132311	0.0137395	0.0168532	0.0145014	0.0253449	0.0320188	0.0382076	0.0217594	0.0280917	0.0232557	0.0230971	0.0373996	0.0309001	0.0403511	0.05337	0.0801252	0.0569952	0.0387198	0.0328505	0.0291744	0.0198663	0.0184481	0.019835	0.0263427	0.0715134
entend	0.0557286	0.0554348	0.0351299	0.0270652	0.0201175	0.00908658	0.0133822	0.0161248	0.0143516	0.0192567	0.0183766	0.0304646	0.0324347	0.0396689	0.0279065	0.0364149	0.0319867	0.0312428	0.039016	0.0346187	0.0280421	0.0241983	0.0298468	0.0170552	0.0181591	0.0214651	0.0393166	0.0304719	0.0398616	0.0354924	0.0481509	0.0801318
avec	0.0342812	0.0287148	0.0259619	0.0220725	0.022358	0.0191892	0.0190818	0.0203041	0.0198464	0.0226525	0.0249741	0.0281763	0.0337926	0.0270412	0.0241088	0.021371	0.0249033	0.0237914	0.0410018	0.050914	0.0540341	0.0529518	0.035299	0.023198	0.0252022	0.03594	0.0226664	0.012945	0.0279506	0.0224249	0.0357036	0.117147
ma	0.0531112	0.03862	0.0349458	0.0327867	0.0276233	0.0144808	0.0111638	0.00823962	0.0142061	0.0106437	0.0141914	0.0198006	0.0110325	0.00845341	0.00791402	0.0100467	0.0137952	0.0118622	0.0149968	0.0200196	0.0262766	0.0363699	0.0510633	0.0402189	0.0441891	0.0411356	0.0517261	0.0535841	0.0628606	0.0581809	0.064383	0.0920785
mère	0.0560326	0.0450388	0.0348721	0.0286617	0.0191089	0.0103387	0.0141529	0.0133198	0.0160777	0.0236405	0.0178062	0.0375654	0.0387961	0.049974	0.0357914	0.0452638	0.0443828	0.05086	0.0615915	0.0460318	0.0436131	0.0177241	0.019029	0.0116512	0.0112078	0.00954269	0.0215509	0.0132093	0.0448026	0.0144886	0.0423344	0.0615398
dans	0.112721	0.0635684	0.0368757	0.0263805	0.0140354	0.00503467	0.00621286	0.00498389	0.00682568	0.00660279	0.00724199	0.00871583	0.00756671	0.00748523	0.00968346	0.0128632	0.0168404	0.0250611	0.0370355	0.0307065	0.0355864	0.0257531	0.0440497	0.0236561	0.0349475	0.0157747	0.0563223	0.0221356	0.0693218	0.0423551	0.0694333	0.114224
ce	0.141806	0.0679932	0.0402371	0.0318388	0.0166326	0.00857281	0.00934849	0.00516491	0.0075026	0.00599164	0.00823008	0.0131614	0.00570563	0.00467094	0.00474411	0.0068196	0.00921251	0.00978815	0.0141456	0.0157481	0.0255522	0.0245394	0.030119	0.0236863	0.0272255	0.0260082	0.0444126	0.0444219	0.0639111	0.044411	0.057796	0.160603
village	0.0860222	0.0528245	0.0285196	0.0243042	0.0114508	0.00427322	0.00491561	0.0034981	0.00425766	0.00482374	0.00504548	0.00752269	0.00463431	0.0047264	0.00580375	0.0072154	0.0106707	0.0148559	0.0197003	0.0195654	0.0327952	0.0268966	0.0361388	0.0218883	0.0276749	0.0242343	0.056372	0.0597668	0.0867966	0.0683997	0.0800897	0.154317
</S>	0.180462	0.0473906	0.0217306	0.0171087	0.0129298	0.00615037	0.0069528	0.00453861	0.0045174	0.00493648	0.00561645	0.0079529	0.00505546	0.00514803	0.0057628	0.00896702	0.010917	0.0182379	0.0261791	0.0241898	0.0386051	0.031614	0.0455403	0.0292435	0.0412551	0.0231416	0.0508061	0.0390729	0.0518735	0.0456464	0.0670149	0.111443
