 	e	d	z	w	e	e	l	í	y	é	é	d	z	w	é	w	a	é	p	έ	ε	n	g	á	k	y	έ	r	ε	</S>
la	0.0127531	0.00993006	0.0145203	0.0267673	0.0145978	0.0139864	0.0161376	0.0117869	0.0253246	0.0311929	0.0698833	0.07203	0.0782265	0.0527267	0.0286482	0.0250439	0.0274253	0.0349743	0.0425097	0.0493854	0.0428495	0.0439057	0.0522784	0.0358924	0.0384605	0.0249337	0.0317312	0.0247471	0.0189073	0.028444
manière	0.0135125	0.069903	0.140675	0.0809759	0.137532	0.0614739	0.0551501	0.0263586	0.0801017	0.0354521	0.0378813	0.0542311	0.0421592	0.0308464	0.0186881	0.0106157	0.0145265	0.00975013	0.0104896	0.0078813	0.00673944	0.0131585	0.00800155	0.00429077	0.0135424	0.00790783	0.00439959	0.00197859	0.000839414	0.0009377
dont	0.112647	0.054456	0.0424167	0.0215474	0.0250353	0.0308405	0.0382536	0.0332631	0.0446764	0.0271393	0.0311891	0.0439555	0.0321489	0.0613886	0.0565441	0.0371202	0.0428757	0.0354609	0.043947	0.0463726	0.0297907	0.0301035	0.0124449	0.0115427	0.0139383	0.00519661	0.00883056	0.00805014	0.00659939	0.0122254
il	0.056808	0.0649839	0.0561576	0.0270087	0.0307246	0.0394412	0.0474161	0.04428	0.0275776	0.0258912	0.0401597	0.0575854	0.0635954	0.0842379	0.0441077	0.0443988	0.027273	0.0189596	0.0146071	0.0144729	0.0161344	0.00841846	0.0138469	0.00654587	0.0065256	0.00456838	0.0102637	0.0140281	0.0156033	0.0743791
est	0.0511575	0.0434318	0.0509417	0.0341081	0.0838827	0.0961791	0.126284	0.0618599	0.0459104	0.0207976	0.0156314	0.0184339	0.0218095	0.0155379	0.0388431	0.0307679	0.0368918	0.0325362	0.0199803	0.0220684	0.0111037	0.00990008	0.00983346	0.0059238	0.00531218	0.00361891	0.00948593	0.0110237	0.0206622	0.0460831
parti	0.0346717	0.0450704	0.0641302	0.0481483	0.100538	0.0933099	0.080877	0.0347032	0.0300401	0.0132736	0.00780229	0.010995	0.0178445	0.0049343	0.018194	0.0183604	0.0222642	0.0427451	0.0378281	0.037249	0.0360998	0.0264799	0.0278538	0.0142731	0.0165865	0.0104968	0.0151753	0.0182157	0.0177174	0.0541225
m'	0.0548237	0.0526443	0.0469064	0.0398852	0.0596426	0.0824213	0.108964	0.0664221	0.0576655	0.0334246	0.0242134	0.0148739	0.0211951	0.00885699	0.00903555	0.012199	0.00541506	0.00948097	0.00536187	0.00401446	0.00779135	0.00843092	0.0131854	0.0181873	0.0171909	0.0230227	0.0212143	0.0295399	0.0443794	0.099612
a	0.0376712	0.0470718	0.047419	0.0392731	0.0436017	0.0629127	0.0533291	0.0355311	0.0275347	0.0241304	0.0137672	0.010083	0.0129344	0.00774529	0.00633285	0.0101639	0.0034216	0.0118356	0.00870659	0.00728951	0.0168091	0.0106322	0.0185395	0.0166287	0.0138661	0.0212311	0.0285088	0.0445663	0.0744678	0.243996
énervé	0.0323937	0.0334668	0.0298879	0.0342099	0.0268161	0.0323192	0.0193954	0.0117411	0.0111653	0.00961534	0.00999372	0.0103456	0.0103537	0.00869251	0.0166314	0.0149247	0.0106782	0.0285987	0.0217487	0.0154669	0.0378622	0.0263926	0.0511878	0.0346582	0.044728	0.0411515	0.0485517	0.0851097	0.0732432	0.16867
</S>	0.0489265	0.0491207	0.0410573	0.039081	0.0197252	0.025064	0.0199592	0.0144975	0.0153055	0.0182475	0.0162857	0.0154063	0.0134851	0.0143092	0.0133058	0.0186465	0.0101226	0.0197928	0.0148026	0.0102674	0.0161836	0.0175376	0.0302574	0.029251	0.0283057	0.0398432	0.0432158	0.0694792	0.0996203	0.188898
