 	n	g	á	í	d	i	i	o	l	í	m	b	í	s	í	m	á	s	ú	m	u	m	á	n	g	á	l	a	n	z	a	m	b	é	</S>
j'	0.0623208	0.215021	0.316151	0.150591	0.0483483	0.0322783	0.00802943	0.00412961	0.000909395	0.00129776	0.00261725	0.00541108	0.00990644	0.0151443	0.0147034	0.0135813	0.0145369	0.0110481	0.00794022	0.00477822	0.00411485	0.00553536	0.00481119	0.00443052	0.00422143	0.00420434	0.004069	0.00428792	0.00412041	0.00358065	0.00379752	0.00374087	0.00351804	0.003188	0.00363602
ai	0.0817171	0.0376098	0.0698405	0.0828517	0.0651336	0.0449039	0.0379395	0.0369777	0.0400573	0.0352695	0.0447551	0.0460595	0.0385951	0.0255324	0.0225875	0.0127193	0.0203544	0.0115106	0.00782926	0.00834044	0.013562	0.0112409	0.0191505	0.0185773	0.0371307	0.0269513	0.0200623	0.0153342	0.00535413	0.00898749	0.00437947	0.00466891	0.00466784	0.007615	0.0317337
obtenu	0.0333044	0.0488842	0.0774383	0.0856481	0.0416431	0.0264457	0.0166357	0.0167263	0.0152433	0.00997875	0.0127109	0.0117501	0.019635	0.0155764	0.0167975	0.0236242	0.0268905	0.0229407	0.0340816	0.0320678	0.045322	0.0347755	0.0372501	0.0308794	0.0278197	0.0280372	0.0290599	0.0269401	0.0177886	0.0254193	0.026081	0.0274381	0.0224781	0.0224505	0.010238
le	0.0435527	0.0456031	0.0604865	0.0365558	0.044167	0.0234971	0.0197109	0.0190762	0.0305574	0.0237297	0.0222598	0.0266314	0.0263459	0.0231327	0.0156819	0.0161228	0.0168315	0.0182419	0.0193133	0.0186765	0.0209453	0.0282614	0.0178997	0.0271204	0.021324	0.0276272	0.0250364	0.0216306	0.0224399	0.0373482	0.0334608	0.039568	0.0441825	0.0342375	0.0487437
pardon	0.0161271	0.0152069	0.0166779	0.0122414	0.00876922	0.0125288	0.0183586	0.0154679	0.0171176	0.0180494	0.0162577	0.0193029	0.0190489	0.0182295	0.0224463	0.0196732	0.0234989	0.0285611	0.0342068	0.0393258	0.0425163	0.0697797	0.0582706	0.062581	0.0514109	0.039241	0.0258039	0.0275673	0.0272683	0.0266725	0.0223051	0.0277729	0.0337294	0.0392963	0.0546887
de	0.0107122	0.00800957	0.00860533	0.00837594	0.0060654	0.00674359	0.00884145	0.0126262	0.0131567	0.0130928	0.0127989	0.0131761	0.0126177	0.0127785	0.0178327	0.0167216	0.0207121	0.0346592	0.0405008	0.0427061	0.0495986	0.0415178	0.0415654	0.0491711	0.0344403	0.0322395	0.0250622	0.0283811	0.036558	0.0443383	0.0386838	0.0482944	0.0606737	0.0724575	0.0762854
mes	0.0314624	0.0167002	0.0124166	0.00875213	0.0121124	0.0176209	0.0287303	0.0254542	0.0179929	0.0217313	0.0176757	0.015332	0.0133523	0.0117424	0.0115999	0.011565	0.0106056	0.0165125	0.0206172	0.0182904	0.0211454	0.0327253	0.0246712	0.0327206	0.0334496	0.0341601	0.0286291	0.0320164	0.0375598	0.0366631	0.0476276	0.0516952	0.0622659	0.0630185	0.121386
péchés	0.0189492	0.0194257	0.017053	0.0180116	0.0180563	0.0141485	0.0113655	0.012485	0.0153446	0.0177601	0.0112054	0.0112919	0.0107309	0.0133199	0.0215622	0.0193585	0.0222273	0.0272343	0.0307531	0.0300771	0.0318823	0.0278173	0.0256419	0.0253219	0.0223586	0.0234299	0.0277206	0.0334387	0.0413074	0.0457283	0.0375067	0.0549591	0.065548	0.086752	0.0902272
auprès	0.0263969	0.0260214	0.026831	0.025302	0.0240084	0.0225133	0.0223862	0.0164163	0.0107284	0.0103311	0.00787808	0.00871149	0.00927681	0.010383	0.010521	0.0119033	0.0110691	0.0147866	0.0187674	0.0162158	0.0151249	0.020077	0.0174469	0.0214481	0.0230186	0.0254931	0.0234677	0.0271608	0.0411489	0.0462097	0.0657549	0.0741018	0.0735774	0.0857913	0.109731
de	0.0484812	0.0268309	0.0281389	0.0230107	0.025424	0.0256664	0.0227857	0.0138251	0.00868789	0.00932211	0.00641565	0.00712254	0.00682529	0.00944451	0.00843145	0.00985719	0.00948825	0.0117483	0.01667	0.0123671	0.0141496	0.0194004	0.0175938	0.0235899	0.0365551	0.0339821	0.0343644	0.034138	0.0346881	0.0511251	0.0499215	0.0641437	0.0779188	0.0798483	0.098038
dieu	0.0247988	0.0198266	0.0198068	0.0192253	0.0208461	0.0200248	0.00810115	0.00654683	0.00767443	0.00665564	0.00493171	0.00572552	0.00606719	0.00799625	0.00968574	0.00999434	0.00993897	0.016619	0.0194711	0.0155475	0.016453	0.0167503	0.0162434	0.0284078	0.034703	0.0440464	0.044435	0.0524816	0.0545806	0.0636409	0.0646289	0.0715081	0.0738019	0.0763489	0.0824864
</S>	0.0209861	0.018532	0.0184958	0.01729	0.0210081	0.0202131	0.0125006	0.00834735	0.00822864	0.00758437	0.00721469	0.00743004	0.00690117	0.00835472	0.0118476	0.00995909	0.0107568	0.0166701	0.0233141	0.0150962	0.0156344	0.0150763	0.0134903	0.0245436	0.0359863	0.0325238	0.0336886	0.0371274	0.0349708	0.0513997	0.0500556	0.06368	0.0812351	0.0854427	0.154415
