 	m	o	r	o	y	e	é	k	ω	n	ώ	o	b	h	ó	a	l	á	a	t	i	á	k	í	l	í	k	i	l	i	</S>
celui	0.00876594	0.00972719	0.0123694	0.0169098	0.0180175	0.0306054	0.0331942	0.0403849	0.0407524	0.041582	0.044449	0.0587008	0.0550502	0.0652679	0.0518753	0.0517619	0.0574598	0.0255748	0.0368338	0.0365545	0.0313664	0.0248319	0.0231538	0.0161501	0.0198973	0.0262175	0.0192453	0.0232684	0.0269577	0.0288547	0.0242201
qui	0.0703159	0.0352889	0.0221289	0.0136928	0.0139178	0.00913795	0.00915658	0.00855478	0.0112696	0.0143798	0.0242545	0.0407218	0.0869476	0.196207	0.0957537	0.0613425	0.0765059	0.0289579	0.0168982	0.0217224	0.0209852	0.013386	0.0154273	0.0213273	0.0115364	0.012023	0.0125115	0.0124554	0.0076114	0.0076974	0.00788476
a	0.0722261	0.0796046	0.0690823	0.0579872	0.0517083	0.0594299	0.0483229	0.0268716	0.0224889	0.0124711	0.0072935	0.0180269	0.0105028	0.0153655	0.0178853	0.0093522	0.0192032	0.0140887	0.0196505	0.0222227	0.040385	0.0312493	0.0347841	0.0324773	0.0501966	0.0382103	0.0325519	0.0266523	0.0227702	0.0193196	0.0176191
perdu	0.0187802	0.0253055	0.027434	0.0280308	0.0426139	0.0401495	0.0367895	0.0281087	0.040097	0.0310787	0.0276863	0.0246462	0.0228137	0.0121488	0.00929254	0.0154784	0.0199878	0.0257366	0.0391247	0.0374594	0.117431	0.0679135	0.0773249	0.0358664	0.0426013	0.0220694	0.0207849	0.00930508	0.0124454	0.0110529	0.0304423
la	0.0235488	0.0298167	0.0466668	0.0491983	0.0762571	0.0633557	0.0558692	0.0281856	0.0194956	0.0155229	0.010052	0.0102807	0.00793452	0.0098928	0.0121136	0.0141803	0.0161442	0.0259932	0.0195166	0.0179872	0.0240329	0.0193617	0.0220323	0.0323026	0.0383595	0.0389955	0.0650033	0.0497904	0.0503045	0.0535139	0.0542919
raison	0.0467621	0.0566109	0.0839044	0.0880271	0.0661913	0.0434319	0.0359793	0.0297225	0.0277269	0.0357288	0.0444726	0.0312105	0.0402481	0.0412845	0.0373572	0.0488349	0.0340347	0.031436	0.0197156	0.0116279	0.0101669	0.00422385	0.00518323	0.00659173	0.00409725	0.00729208	0.00982631	0.0120042	0.0224471	0.0197586	0.0441017
dit	0.0709931	0.0574475	0.0517055	0.0278344	0.025944	0.0287914	0.0602327	0.0648862	0.061696	0.0511765	0.0458064	0.0386672	0.0546638	0.0313336	0.0262826	0.0301949	0.031445	0.0389006	0.026373	0.0200284	0.0208954	0.00933915	0.0113607	0.0157748	0.0137667	0.0107463	0.00825869	0.00707026	0.00724618	0.00971655	0.0414224
de	0.0468433	0.036543	0.0348057	0.0290753	0.030572	0.0321307	0.0507063	0.0699416	0.0607856	0.0623112	0.0599274	0.0604265	0.0637729	0.059729	0.0290485	0.0262511	0.0195954	0.0264403	0.0170568	0.0146987	0.0109821	0.00306673	0.00378858	0.00784149	0.00687395	0.0141478	0.0128694	0.0177847	0.0139385	0.0208905	0.057155
n'	0.0870666	0.0579536	0.0496795	0.0423329	0.0520291	0.0444116	0.0393343	0.0230792	0.0219842	0.0202389	0.0221821	0.0209181	0.0219195	0.0259867	0.0211533	0.013524	0.0151564	0.0189463	0.0190735	0.0201723	0.0240744	0.0143343	0.011842	0.0127235	0.0158717	0.0259672	0.0362098	0.0407848	0.0421968	0.0600535	0.0787999
importe	0.115802	0.0517162	0.041303	0.0323071	0.0433869	0.031603	0.0283454	0.0194751	0.0235812	0.021156	0.0230855	0.0217988	0.0196919	0.0192325	0.0159206	0.0124764	0.0126331	0.0159978	0.0143722	0.018494	0.0263085	0.0227438	0.0164449	0.0176743	0.0228248	0.0326131	0.0400239	0.0468072	0.0444662	0.0574018	0.0903129
quoi	0.319222	0.141737	0.0607328	0.0391367	0.0219134	0.0117485	0.0100651	0.0105651	0.0118604	0.0130569	0.0183976	0.0163649	0.0245295	0.0256566	0.0281405	0.0208187	0.0258414	0.0165984	0.0136119	0.01723	0.0157733	0.0142951	0.00907725	0.00550357	0.00687216	0.00558946	0.00679117	0.0109118	0.0173359	0.0182184	0.0424044
</S>	0.17801	0.109431	0.0542621	0.0438007	0.0344527	0.0183461	0.013237	0.0114686	0.0136951	0.0145877	0.0199785	0.0167673	0.0255353	0.0343241	0.0304432	0.0297669	0.0329939	0.0283457	0.0188513	0.0249825	0.0214368	0.0185687	0.0194456	0.013711	0.013951	0.0133798	0.0151865	0.0220838	0.0320329	0.0331052	0.0438191
