 	n	g	ó	o	y	a	w	a	a	d	í	l	a	o	d	i	n	g	i	m	á	w	a	m	ó	ó	p	é	n	d	í	m	á	o	d	i	m	í	y	a	w	a	</S>
sa	0.0759437	0.095551	0.0740341	0.0225528	0.00679587	0.00365511	0.0105662	0.00844367	0.0189602	0.00649915	0.0230665	0.0323603	0.0320972	0.042964	0.062074	0.0586745	0.095786	0.0237984	0.0202604	0.0319708	0.0236772	0.0178518	0.0254133	0.0164903	0.00795982	0.00733911	0.013886	0.00509988	0.00277419	0.00566115	0.0039717	0.00452289	0.00473475	0.00544215	0.00442455	0.00630837	0.0103213	0.0104631	0.00932289	0.0150403	0.0135412	0.0155325	0.0241675
mère	0.14999	0.145008	0.163174	0.0551965	0.0873163	0.121591	0.0797	0.0569565	0.0352318	0.0285928	0.0139406	0.00900616	0.00435598	0.00354067	0.00227372	0.00282441	0.00177911	0.0039978	0.00275795	0.00157323	0.000237868	0.000134346	0.000267381	0.000227698	0.000187674	0.000226686	0.000111015	7.77309e-05	0.000157767	0.000286277	0.000406849	0.000910691	0.00123385	0.00253872	0.003238	0.00370693	0.00197607	0.0083259	0.00359326	0.000920967	0.00174104	0.000437275	0.000249095
a	0.0305124	0.0639018	0.085947	0.0264653	0.0675273	0.0543049	0.0990937	0.0726298	0.0483146	0.0205542	0.0248235	0.0228321	0.0128343	0.00954152	0.00953724	0.0217612	0.0195175	0.0156325	0.0215614	0.0225729	0.0130894	0.00739714	0.00933569	0.00777773	0.00987558	0.0106185	0.00737186	0.00702615	0.00940668	0.00827168	0.00996101	0.00942135	0.0098463	0.00928771	0.0107057	0.0188903	0.0104536	0.0151494	0.0142246	0.0119553	0.012493	0.0142732	0.0133029
plus	0.020485	0.0246679	0.0381226	0.0255161	0.0264526	0.0210004	0.0254403	0.013327	0.020876	0.00881436	0.00951102	0.0138851	0.00809751	0.0123033	0.00646916	0.0114976	0.0138232	0.0340667	0.0221778	0.0393647	0.018881	0.00948372	0.00908691	0.00486646	0.00642897	0.013627	0.0166467	0.0150654	0.0295194	0.0349053	0.0255415	0.0339617	0.0371513	0.0283476	0.0297252	0.0550209	0.038746	0.0353633	0.0374596	0.0351066	0.0277648	0.0317945	0.0296078
d'	0.0162263	0.00917277	0.0162905	0.0102636	0.0294269	0.0237703	0.0291313	0.0148768	0.0188422	0.0142699	0.0117844	0.015102	0.0126953	0.010256	0.00808974	0.00969392	0.00746884	0.0171323	0.0160333	0.03246	0.0234325	0.020526	0.0178421	0.0209427	0.0219679	0.0243098	0.0170804	0.0223177	0.0291189	0.0281439	0.0287799	0.028077	0.0315664	0.0381332	0.0631231	0.0702531	0.0282875	0.0343245	0.0286715	0.0173341	0.0237589	0.0221097	0.0369123
amour	0.0193284	0.00692319	0.00823516	0.0113963	0.0199742	0.0241191	0.0206315	0.0155125	0.0135023	0.0143476	0.0126218	0.0120327	0.00802136	0.00319484	0.00290448	0.00347354	0.00403782	0.00967191	0.0114414	0.0306136	0.0169427	0.0160017	0.0245355	0.0196637	0.026731	0.0294356	0.0243745	0.0226654	0.0280213	0.0307046	0.0496363	0.050963	0.0529807	0.0708562	0.0798981	0.0591625	0.0285179	0.0332013	0.0188251	0.0111605	0.0133606	0.0161912	0.024187
pour	0.00893995	0.00533302	0.00645499	0.00636441	0.0108251	0.0146633	0.0109529	0.0119952	0.00894319	0.00892988	0.0110335	0.00793482	0.0059847	0.00349903	0.00373542	0.00456667	0.00854869	0.0108386	0.0188243	0.0178229	0.0186681	0.0149423	0.0317423	0.017107	0.0352328	0.0300924	0.0215568	0.0350161	0.0412171	0.0363981	0.0661356	0.0660243	0.0564323	0.0705116	0.0533255	0.0408778	0.0276688	0.0261843	0.0247927	0.0220413	0.0241214	0.025352	0.0283685
lui	0.0184564	0.0130274	0.0176911	0.0157085	0.0161457	0.0154092	0.0127605	0.00961263	0.0112597	0.0170353	0.0165203	0.0179628	0.0135299	0.0111151	0.00721245	0.00971514	0.00895678	0.0185106	0.0156627	0.0250917	0.0325994	0.0236241	0.0344258	0.0445865	0.057576	0.0388756	0.0174111	0.0257798	0.0240706	0.0173921	0.0141567	0.0140921	0.0115799	0.0130409	0.0203385	0.0173287	0.0208168	0.0190237	0.0349428	0.0413323	0.0541845	0.0437551	0.0876829
que	0.0246318	0.0221373	0.023765	0.021679	0.0231496	0.0153606	0.0132085	0.00770436	0.00758932	0.00692207	0.00740201	0.00746985	0.00653733	0.00600699	0.00524356	0.00748136	0.00901791	0.0141951	0.0216328	0.0221961	0.0230712	0.0199017	0.018214	0.0225856	0.0274374	0.0263239	0.0221869	0.0323005	0.0388407	0.0385828	0.0459487	0.0421186	0.0336332	0.0352627	0.0363457	0.0268435	0.032015	0.0131236	0.0252416	0.0345378	0.0288552	0.0333966	0.0699026
pour	0.0325493	0.0269234	0.0318363	0.0189391	0.0251768	0.0251646	0.0142319	0.00621215	0.00901811	0.00808862	0.00698692	0.00574515	0.00431342	0.00476965	0.0034259	0.00547303	0.0078204	0.00682888	0.00831511	0.0142675	0.00906951	0.00805944	0.00783816	0.0144072	0.0135223	0.0157658	0.0169067	0.0320932	0.043178	0.0489236	0.0255947	0.0339066	0.0248085	0.0242273	0.0458331	0.0286637	0.0630679	0.0275258	0.0439298	0.0550478	0.0412535	0.0492999	0.0609915
