 	m	w	á	n	a	w	ó	a	d	i	p	ó	s	á	o	s	á	l	a	k	a	á	w	a	a	d	í	e	b	ω	l	ω	</S>
cet	0.001761	0.00187063	0.00238471	0.00188261	0.00198007	0.0048485	0.00130421	0.00151518	0.00155328	0.00196811	0.00284295	0.0032618	0.0104625	0.0176867	0.0405317	0.0564205	0.109896	0.13883	0.154262	0.170037	0.0564381	0.099994	0.0296867	0.0094896	0.00854694	0.00580378	0.0121892	0.00757145	0.00738298	0.00709874	0.00825047	0.00926411	0.0129849
enfant	0.0764547	0.0362278	0.0720813	0.118114	0.162895	0.0640232	0.0450475	0.10749	0.0958019	0.0482729	0.0491083	0.0319011	0.00990921	0.00421335	0.00200056	0.000925695	0.00113499	0.00169251	0.00140349	0.00115641	0.000574591	0.00103345	0.000927615	0.006907	0.0088131	0.0126903	0.0148756	0.0078345	0.00815793	0.00428601	0.00209909	0.00128636	0.000660903
ne	0.0596296	0.0782687	0.0667262	0.0723235	0.110984	0.0924208	0.0809678	0.0618141	0.0466793	0.0204868	0.0254635	0.0140633	0.00795052	0.00715039	0.013687	0.0188804	0.0220627	0.0173412	0.0215087	0.0185364	0.0215529	0.0125859	0.0048734	0.0043929	0.004678	0.0157733	0.0140921	0.009374	0.011557	0.0111548	0.0114782	0.0104046	0.0111377
veut	0.0590201	0.057525	0.0407316	0.0320906	0.036408	0.0195684	0.0288534	0.02842	0.0286321	0.036292	0.0304107	0.0239738	0.0390387	0.0400944	0.0724629	0.0578725	0.0494435	0.0320265	0.0468808	0.0621577	0.0338194	0.0515656	0.0145511	0.0142309	0.00784312	0.0040888	0.00958985	0.00472532	0.00502431	0.00701326	0.00582075	0.00944402	0.0103808
pas	0.101067	0.0753876	0.0520393	0.0317929	0.0213237	0.0210168	0.0277741	0.0151421	0.0257497	0.0230731	0.0187485	0.044116	0.0387263	0.0256499	0.0271755	0.0222131	0.0231171	0.0251161	0.0271737	0.0355315	0.0306026	0.028094	0.0225428	0.0181917	0.0183022	0.0135917	0.0157635	0.0147344	0.0124899	0.0161909	0.0167717	0.0321389	0.0786517
travailler	0.0452702	0.0407723	0.0390948	0.0420581	0.0242787	0.0241409	0.0262564	0.0215848	0.0212216	0.0197272	0.0167608	0.026632	0.022599	0.030915	0.0460997	0.0687917	0.0542483	0.030989	0.0308918	0.0489685	0.0207883	0.0348845	0.0242596	0.0276969	0.0235725	0.0283529	0.0240298	0.0204228	0.0169524	0.0183668	0.0190252	0.0261908	0.0341567
c'	0.0821287	0.0561561	0.0662747	0.0663803	0.035909	0.0343909	0.0425507	0.0546854	0.0442201	0.026938	0.0219897	0.0304564	0.0209199	0.0163667	0.0279036	0.0388544	0.0480553	0.0270267	0.0195831	0.0296381	0.0171503	0.0147002	0.0101739	0.0111643	0.0140224	0.0100667	0.0155933	0.0126434	0.0092632	0.0147125	0.0144257	0.0215216	0.0441345
est	0.0655448	0.0614389	0.0565888	0.0458415	0.0357243	0.0475451	0.0472327	0.0483906	0.0435494	0.028159	0.0189585	0.0423294	0.0513645	0.0510139	0.0404147	0.038847	0.031824	0.0210888	0.0181075	0.0198183	0.0369801	0.0359945	0.0124129	0.00456871	0.0038072	0.00161304	0.00470818	0.00294072	0.00271131	0.00389411	0.00597613	0.0116297	0.0589814
un	0.173095	0.0982289	0.08525	0.0704257	0.0559534	0.0427097	0.0295143	0.0268972	0.0291959	0.0237471	0.0248895	0.0208484	0.0186914	0.0145662	0.0214686	0.0392309	0.0390927	0.0377234	0.0350104	0.0155117	0.0191553	0.00809707	0.00197634	0.000772455	0.00179577	0.000744334	0.00347474	0.00126396	0.00237503	0.00316307	0.00553847	0.00692032	0.0426731
paresseux	0.100288	0.0653531	0.0553958	0.0548877	0.0486441	0.0239525	0.0262639	0.0256543	0.0250604	0.0196208	0.0201116	0.0290326	0.0295771	0.0309915	0.021442	0.0392886	0.0310886	0.0378629	0.0435873	0.0224673	0.0209168	0.018531	0.00471408	0.00267442	0.00677393	0.00328182	0.0134704	0.0075347	0.00882862	0.013939	0.0199303	0.0299	0.0989344
</S>	0.0812173	0.0491485	0.0333855	0.0276826	0.0297668	0.0511106	0.0491658	0.0383613	0.0371414	0.0373449	0.0275371	0.0300836	0.0295315	0.0194572	0.0130429	0.0167746	0.014424	0.0141864	0.0302275	0.0189299	0.0622391	0.0351711	0.0131906	0.00851633	0.0110694	0.0107715	0.0120139	0.0165008	0.0159881	0.0184953	0.02756	0.0308226	0.0891417
