 	n	g	o	l	ó	b	á	a	l	a	o	b	á	t	έ	m	ε	á	d	í	a	m	b	a	n	d	a	t	s	í	n	a	b	á	a	á	b	a	n	d	á	b	á	s	í	e	b	é	e	é	b	h	ω	ώ	</S>
ngolo	0.0992829	0.139638	0.061659	0.0260774	0.0191063	0.0189906	0.013476	0.00986112	0.0101332	0.0141411	0.00933735	0.0120794	0.0101923	0.0129477	0.0127164	0.015294	0.0114331	0.00938364	0.0107469	0.013338	0.0138432	0.010303	0.00952346	0.0317404	0.0304985	0.0208022	0.013858	0.00981886	0.0100297	0.0171008	0.0131659	0.00935509	0.00937593	0.0104657	0.0110296	0.0103355	0.0108117	0.0114241	0.0196617	0.0181108	0.0186958	0.0194017	0.0175571	0.0182089	0.0143308	0.0101674	0.00740187	0.00889971	0.00883173	0.0103313	0.00686601	0.00767965	0.00751516	0.00890882	0.0141157
et	0.0772509	0.0170805	0.0166701	0.0120423	0.0404964	0.0694831	0.0561395	0.0442825	0.0507808	0.0303531	0.0279174	0.0217411	0.020505	0.0187913	0.0146484	0.00937452	0.00450611	0.0059216	0.00622105	0.00746507	0.00695616	0.00778604	0.00627816	0.00593202	0.00597261	0.00419632	0.00525409	0.004716	0.00679575	0.00853364	0.0125817	0.0134228	0.00760473	0.00944262	0.0107148	0.0178707	0.0122757	0.0137048	0.0202013	0.0231501	0.0265156	0.0399488	0.041146	0.0226022	0.0350068	0.0177421	0.0127183	0.0065722	0.00821421	0.00758069	0.00414939	0.00608475	0.00600962	0.00687428	0.00377452
obateme	0.0060808	0.0118217	0.0168775	0.0247091	0.0218394	0.014157	0.00686975	0.00729946	0.0108638	0.00717221	0.00911166	0.00707114	0.00996382	0.0109111	0.0132858	0.0105081	0.0169134	0.0206652	0.0190221	0.022182	0.0180497	0.0135103	0.0243741	0.0174199	0.0145612	0.018778	0.0130618	0.0248139	0.0159409	0.0205315	0.0234321	0.0218151	0.029479	0.0268138	0.0248976	0.0300018	0.0316245	0.0404223	0.0370362	0.0381194	0.0491441	0.0278284	0.0228607	0.0238779	0.0232204	0.0174646	0.0128965	0.00913257	0.0149909	0.0091404	0.00759347	0.00773951	0.00740084	0.00748982	0.0072117
se	0.00594671	0.00560713	0.00696206	0.0067418	0.00646232	0.00627578	0.00657403	0.00789076	0.0101106	0.012342	0.0147477	0.0129012	0.0143346	0.0118416	0.0102778	0.0098386	0.00951028	0.00874637	0.00994331	0.0111714	0.0121364	0.0120938	0.0132341	0.0110297	0.0112765	0.0149989	0.0157135	0.0230949	0.0323479	0.0339344	0.0345311	0.0343991	0.0368895	0.0283326	0.0246301	0.0192443	0.0178648	0.0155902	0.0157613	0.0145695	0.0210805	0.0164843	0.0257689	0.0278811	0.0266515	0.0371946	0.0329267	0.0383482	0.0351959	0.0286694	0.0220763	0.0201176	0.0187122	0.0185763	0.0204182
sont	0.00603122	0.00486146	0.00480624	0.00500262	0.0054134	0.00541267	0.00530392	0.00678444	0.0102958	0.010582	0.0124425	0.012583	0.013313	0.00818687	0.00663968	0.0104067	0.0143209	0.0138874	0.0141293	0.0204216	0.01648	0.0181239	0.0169031	0.0185563	0.0161365	0.0216193	0.0224806	0.023341	0.0640344	0.0483547	0.0440815	0.0335357	0.0357109	0.0348637	0.0315123	0.023175	0.0208744	0.0163009	0.0175926	0.0137506	0.0163638	0.0150875	0.0175016	0.0183958	0.0209418	0.0196396	0.0207554	0.0181595	0.0192485	0.0190303	0.0153107	0.0172619	0.0179257	0.0174639	0.018662
mariés	0.00344265	0.0042925	0.00394916	0.00428329	0.0042028	0.00460885	0.00531039	0.00911028	0.0102399	0.0102099	0.0142842	0.0130504	0.00951232	0.00932117	0.00724691	0.00967742	0.0164903	0.0123754	0.0117489	0.0172507	0.0145079	0.0163254	0.0129899	0.0160614	0.0123342	0.0206659	0.0230059	0.0262205	0.0454627	0.034636	0.0353865	0.0337448	0.0344486	0.03019	0.0200451	0.0201031	0.0165759	0.0169061	0.0185218	0.0201082	0.0154846	0.0123783	0.0180732	0.0232455	0.0255656	0.026595	0.0336555	0.0288972	0.0283574	0.0217244	0.0192973	0.0215975	0.0237857	0.0259128	0.0265825
avec	0.00609373	0.00635804	0.00603258	0.00646773	0.00583408	0.00691247	0.00848855	0.0145201	0.0180292	0.016511	0.0183481	0.0213229	0.0128026	0.00942453	0.00950844	0.0115722	0.0111995	0.0202262	0.0233426	0.0231042	0.0286674	0.0290893	0.031624	0.0390543	0.0342756	0.0264045	0.0325828	0.0299421	0.0363249	0.0321553	0.0315285	0.0243223	0.0168621	0.0170107	0.0181574	0.0199505	0.0202789	0.0223353	0.0109965	0.0134653	0.0167315	0.0101026	0.00926547	0.0102839	0.0101943	0.0154137	0.0154516	0.0108488	0.0228846	0.0187692	0.00848559	0.0159963	0.0148981	0.0198412	0.0297069
deux	0.00500234	0.00540692	0.00558173	0.00537828	0.00498521	0.00556754	0.00572752	0.0110395	0.0115839	0.010094	0.0148937	0.0133811	0.00696671	0.00804679	0.00736955	0.010115	0.0152626	0.0173478	0.0146817	0.0232217	0.0189372	0.021567	0.0161795	0.0304587	0.0195701	0.0228206	0.0227658	0.0219708	0.0229201	0.0329946	0.0357673	0.0364476	0.0326095	0.0505174	0.0282552	0.0218121	0.0207061	0.019793	0.0180803	0.0175173	0.0151365	0.0120439	0.0125842	0.0161933	0.0193327	0.014383	0.0181683	0.0182744	0.021667	0.0158623	0.0178686	0.0191157	0.0218892	0.0223212	0.0418156
filles	0.00810615	0.00782479	0.00818226	0.00689585	0.00588354	0.00463245	0.00291904	0.00383831	0.00386016	0.00361411	0.00410907	0.00416834	0.00403402	0.00442647	0.00466421	0.00538693	0.00977893	0.00916094	0.00896696	0.0136148	0.0133602	0.0152722	0.013915	0.0148372	0.0146534	0.0170799	0.0194871	0.0207345	0.0459823	0.0223483	0.0229696	0.0228652	0.024254	0.0210195	0.0192651	0.0206738	0.0224328	0.0284359	0.0341897	0.0336822	0.023932	0.0244047	0.0248081	0.0293585	0.0282515	0.0285035	0.0280283	0.0313342	0.0265292	0.0297724	0.0283006	0.0308307	0.0296016	0.0313033	0.0335165
de	0.00867204	0.00843981	0.00861664	0.00825432	0.00783791	0.00625875	0.00292471	0.00292646	0.00379533	0.00376788	0.00349163	0.00368597	0.0041764	0.00394969	0.00390161	0.0049832	0.00851721	0.00765313	0.0083409	0.0119199	0.0126722	0.0149398	0.0126118	0.0155193	0.0147644	0.0170473	0.0201511	0.0198994	0.0403481	0.0219173	0.0242071	0.027121	0.0274909	0.0224682	0.0206022	0.0260532	0.0322387	0.0336724	0.0411546	0.0251411	0.0272088	0.0180161	0.023357	0.0250698	0.0228498	0.0274363	0.0251617	0.0304717	0.0259289	0.0287333	0.0282879	0.0298399	0.0297478	0.0315265	0.0342308
