 	m	v	á	n	d	é	á	m	i	y	í	b	h	á	o	s	u	n	u	m	á	n	y	a	m	a	o	s	w	á	l	á	s	á	k	ú	k	u	</S>
le	0.00603623	0.00719558	0.0102005	0.00931879	0.0116945	0.00795931	0.0121116	0.0201445	0.0340543	0.0714114	0.0750792	0.0909937	0.0773861	0.0763226	0.0373878	0.0177287	0.00936559	0.00832902	0.0112047	0.014974	0.0163656	0.0188343	0.0167258	0.0141377	0.0108187	0.0145576	0.00993482	0.0123738	0.0108642	0.0134363	0.0202076	0.0221369	0.0258012	0.0366669	0.0291602	0.0366415	0.0323824	0.0328663	0.0171902
chien	0.0306521	0.0935954	0.0945322	0.141507	0.165542	0.0583089	0.0639682	0.0212789	0.0212506	0.0269613	0.0265271	0.0340731	0.0285078	0.0399817	0.0253202	0.012008	0.00395866	0.00208262	0.00376759	0.00303355	0.00412534	0.00517065	0.00597831	0.00643037	0.00708538	0.00684849	0.00340034	0.00505381	0.00162567	0.00736525	0.0081134	0.00631588	0.00588733	0.00710586	0.00780477	0.00512845	0.00330707	0.00326045	0.00313629
a	0.0520405	0.028944	0.0439585	0.033226	0.0339212	0.0237945	0.0259799	0.0546698	0.0556363	0.03066	0.0280918	0.0150706	0.0142462	0.00772155	0.0151837	0.0141512	0.010047	0.0175481	0.0297761	0.0256733	0.0310485	0.0250022	0.0207701	0.0164597	0.0236281	0.0236519	0.0285811	0.0237048	0.00821662	0.0519085	0.0396327	0.0369236	0.0201813	0.0307071	0.012718	0.0122468	0.0155132	0.0113136	0.00745204
volé	0.0244014	0.0316323	0.0512735	0.0664548	0.0799151	0.0552805	0.0609489	0.0518548	0.0469084	0.0819901	0.0396415	0.0364146	0.0235769	0.00958765	0.0106111	0.00701448	0.00581974	0.00715264	0.0117306	0.012933	0.0143651	0.0156391	0.0111181	0.00583664	0.0102961	0.0121	0.0165868	0.0174577	0.0133437	0.0190236	0.0123407	0.0099635	0.0104391	0.011601	0.0127941	0.0170579	0.0131241	0.0221001	0.0396709
un	0.0365075	0.0260014	0.0367971	0.0319787	0.0326136	0.0303747	0.0359984	0.03607	0.0313721	0.0342553	0.0260393	0.0287388	0.0253867	0.019795	0.0196231	0.0134098	0.0132375	0.0139088	0.0288254	0.0269892	0.0227031	0.0241604	0.0371935	0.0356882	0.0274421	0.0256644	0.0150391	0.021977	0.0157073	0.0211792	0.0193131	0.0132814	0.0223178	0.0197284	0.0196486	0.0277614	0.0209381	0.0248292	0.0375053
morceau	0.0141718	0.0157637	0.0188591	0.0135935	0.0163266	0.022367	0.0229801	0.021522	0.0170903	0.0167274	0.016493	0.0167684	0.0144973	0.0142355	0.0147504	0.0112875	0.0131484	0.0144713	0.0331749	0.0308076	0.0355395	0.0526391	0.0479327	0.0443027	0.0584853	0.059767	0.0389788	0.0491246	0.0137967	0.0149743	0.022793	0.018437	0.0256288	0.0203424	0.0174772	0.0217078	0.028908	0.0219409	0.0481883
de	0.0357789	0.0290405	0.0294198	0.0224906	0.0219649	0.0280187	0.0274682	0.0363478	0.0365627	0.0221817	0.0246677	0.0193623	0.0177648	0.0131474	0.0165852	0.0147744	0.0242966	0.0275735	0.047037	0.0453118	0.0377867	0.0603618	0.0246298	0.0244666	0.0375941	0.0302711	0.0283888	0.0369889	0.00273653	0.00544436	0.0076863	0.00382682	0.00922054	0.00859575	0.00670376	0.0155515	0.0195779	0.0265448	0.0738297
viande	0.0292133	0.0241448	0.026858	0.0243632	0.0258537	0.0322496	0.030166	0.0245902	0.0232907	0.0155307	0.0166411	0.0154315	0.0187738	0.0147176	0.0179432	0.0137127	0.0174377	0.0160423	0.0225309	0.0273121	0.0212913	0.0384001	0.0257992	0.017585	0.0210402	0.0187885	0.013476	0.0292506	0.00805086	0.0110769	0.0319004	0.00963928	0.0294367	0.0316606	0.0125763	0.0418213	0.0540146	0.0639616	0.0834271
dans	0.0273941	0.0247094	0.0249795	0.0181972	0.0156255	0.0182474	0.0158454	0.0181595	0.0181098	0.00920572	0.0114953	0.0114705	0.0132609	0.0105052	0.0130634	0.0148921	0.0211982	0.0244383	0.0373036	0.0523514	0.0381387	0.0682914	0.0343185	0.0161483	0.022571	0.0234217	0.0269263	0.0544058	0.00948638	0.0137304	0.0263915	0.0121711	0.0235517	0.0244261	0.0155191	0.0367167	0.0358032	0.0490968	0.0684329
la	0.0542712	0.0412684	0.0361037	0.0289356	0.0266743	0.0210869	0.0205097	0.0160115	0.013509	0.0121388	0.00934941	0.00854497	0.00778617	0.00520834	0.00753663	0.00507222	0.0066132	0.00663741	0.0107152	0.0137872	0.0103847	0.0194125	0.0164095	0.0165716	0.0161338	0.0185687	0.0194491	0.0358683	0.0292378	0.0250207	0.033905	0.0258297	0.040049	0.0467457	0.0418519	0.0577063	0.0558773	0.0580054	0.081213
cuisine	0.0220278	0.0229628	0.0194399	0.0228587	0.0221812	0.014771	0.0135989	0.014143	0.016176	0.013892	0.00851155	0.00817192	0.0081927	0.00801127	0.00949302	0.0128853	0.0214851	0.0220308	0.0301513	0.0351887	0.0240608	0.0302056	0.0271631	0.0240259	0.0233379	0.0132736	0.0108566	0.0119488	0.00806162	0.00589157	0.022059	0.0100872	0.0303515	0.0333152	0.0113449	0.0703496	0.112055	0.0748714	0.110567
</S>	0.109323	0.0742621	0.0474861	0.0393557	0.0251982	0.0298533	0.0301446	0.0416376	0.0245322	0.0182662	0.00902244	0.00692034	0.0047795	0.00359587	0.003698	0.00374686	0.0058739	0.0103509	0.0142441	0.0199964	0.00875419	0.0182594	0.013335	0.00712645	0.0080544	0.00993315	0.013147	0.0225951	0.0204069	0.0145793	0.0266716	0.0126654	0.0220343	0.0271973	0.0178604	0.0405924	0.0426235	0.0482328	0.103644
