 	b	á	a	b	á	a	k	a	n	á	p	f	ú	u	l	ú	y	á	l	ώ	s	ω	m	í	b	o	l	o	</S>
ils	0.0756574	0.0829919	0.128081	0.125257	0.110352	0.0597192	0.0558042	0.0240508	0.0184447	0.0173559	0.0234101	0.028101	0.0126205	0.0146485	0.015326	0.018948	0.0141489	0.0108918	0.0162075	0.0259249	0.0190016	0.0154038	0.0150695	0.0127032	0.0141154	0.0115352	0.0102195	0.010636	0.0133744
font	0.0296593	0.025615	0.0325917	0.0181158	0.0297878	0.0162089	0.0176543	0.0567639	0.0447347	0.0656528	0.0484656	0.0561762	0.0783767	0.0735827	0.0708785	0.0772877	0.0854787	0.0709245	0.0260874	0.0151945	0.0128544	0.0112695	0.0118095	0.00648328	0.00526756	0.00436476	0.00236655	0.00314238	0.00320545
une	0.051103	0.0504495	0.0612479	0.0362526	0.0266722	0.0247813	0.0271125	0.0365128	0.0244188	0.0374044	0.0390388	0.0237192	0.0320352	0.0489487	0.0444667	0.0775776	0.0609909	0.0492105	0.0389003	0.0286488	0.0200466	0.025229	0.0228045	0.0207294	0.0206248	0.0220431	0.01697	0.0223916	0.00966927
botte	0.0220044	0.0274966	0.0267962	0.0394929	0.0276997	0.035552	0.0368721	0.0439022	0.0294045	0.0399448	0.0311524	0.0288934	0.0297453	0.0310262	0.0260447	0.0409716	0.0366079	0.0356373	0.0437183	0.0412716	0.0541874	0.0415029	0.0441927	0.0391854	0.0344041	0.0276311	0.0263348	0.0268021	0.0315255
avec	0.0138776	0.0119334	0.0122299	0.0105055	0.00961768	0.0142617	0.0188909	0.0312428	0.0429513	0.0401122	0.0521925	0.0598073	0.0488148	0.0449626	0.0355123	0.0417675	0.0581647	0.0431236	0.0510318	0.0415202	0.0397886	0.0369304	0.025799	0.0137736	0.0172097	0.0292328	0.0342527	0.0478868	0.0726061
la	0.0193615	0.0184761	0.020138	0.0179537	0.0179693	0.0223325	0.0213404	0.0231708	0.0289804	0.0305768	0.031855	0.0349598	0.0324901	0.0232162	0.0232637	0.0231062	0.0266643	0.0263104	0.0366914	0.0373971	0.0398093	0.0454025	0.0567024	0.0605388	0.0474356	0.0531651	0.057583	0.0621169	0.0609929
paille	0.0104131	0.0101222	0.0110345	0.00856838	0.00814029	0.00822434	0.00915938	0.0115534	0.016893	0.017903	0.0221109	0.0295685	0.0352473	0.0497694	0.0444696	0.0494901	0.0504763	0.0363197	0.0461628	0.0541828	0.0625116	0.0557175	0.0485128	0.0521551	0.037451	0.0429514	0.0581653	0.0495798	0.0631466
de	0.0164527	0.0182442	0.0178255	0.0172858	0.0173046	0.0171072	0.0201727	0.0189976	0.025461	0.0226688	0.0246065	0.0291518	0.0312623	0.0395973	0.0288235	0.0336378	0.0413809	0.0217436	0.0297023	0.0367943	0.0440713	0.0489152	0.0461472	0.0780741	0.049562	0.0497746	0.0586175	0.0520044	0.0646133
riz	0.0220775	0.0214573	0.0202397	0.0172976	0.0175499	0.0178675	0.018967	0.0201013	0.0174584	0.0204901	0.0174449	0.0202148	0.0288051	0.0289648	0.0275648	0.0237614	0.0247019	0.0214202	0.0263104	0.0280963	0.0378412	0.0439965	0.0387551	0.0641558	0.0634818	0.0744697	0.0761174	0.079424	0.0809677
</S>	0.0478487	0.0292453	0.0212633	0.026885	0.0156949	0.0161995	0.0131032	0.0162029	0.0139853	0.0118543	0.0127268	0.02156	0.0348477	0.0309531	0.0340714	0.0167946	0.0148703	0.0151681	0.0213049	0.0160453	0.024265	0.030766	0.0350254	0.0514838	0.0624041	0.076967	0.0825225	0.0952503	0.110691
