 	é	n	y	w	é	b	í	n	í	o	n	g	a	n	d	a	o	l	á	n	g	i	o	b	o	s	ó	á	d	z	e	n	d	a	</S>
quand	0.0076862	0.0109314	0.0116852	0.0331075	0.0266228	0.0277523	0.0359473	0.0313349	0.0326031	0.0461426	0.0324078	0.0396655	0.0387837	0.0715783	0.0634431	0.0470763	0.0439596	0.0297231	0.0275356	0.0275903	0.0218221	0.0126655	0.0149277	0.0184003	0.0172866	0.0131579	0.0139241	0.0172119	0.0223698	0.0169398	0.0288039	0.0328399	0.0300552	0.025781	0.0282373
vous	0.114054	0.0501758	0.0452106	0.0396855	0.0426212	0.0363577	0.018903	0.0254964	0.0264739	0.027713	0.0139467	0.0296689	0.0162854	0.0398766	0.0454816	0.019358	0.0361715	0.0399018	0.0248266	0.0245213	0.0222843	0.0269172	0.0329331	0.0529885	0.0481891	0.0365028	0.0174808	0.0103496	0.00655454	0.00277591	0.00630267	0.00444967	0.0060709	0.00406846	0.00540289
avez	0.09607	0.0618268	0.0554833	0.0445942	0.0436305	0.0460164	0.0415561	0.0720653	0.0846584	0.0444979	0.0117464	0.0218768	0.00866961	0.0106718	0.0131826	0.00867037	0.0120662	0.0337295	0.0205831	0.0245761	0.0237172	0.0182534	0.0149936	0.0151273	0.0150092	0.0252407	0.0173344	0.0131132	0.010607	0.00856639	0.0121298	0.0145628	0.0169111	0.0185593	0.0197033
bu	0.012392	0.0115782	0.015371	0.0147061	0.0130754	0.0165393	0.0152611	0.0199399	0.028037	0.0318697	0.0295963	0.0364536	0.0270831	0.017797	0.0308072	0.0211472	0.028574	0.0427158	0.0430481	0.0412195	0.0349688	0.0429169	0.0533671	0.0528046	0.0833194	0.0415044	0.0464757	0.023308	0.0229423	0.016144	0.0165775	0.0159749	0.0123716	0.0181852	0.0219284
de	0.00935931	0.0214642	0.0266446	0.0287054	0.0297108	0.0277524	0.0263752	0.0328752	0.0400021	0.0394137	0.0297545	0.0464882	0.0262144	0.0451555	0.0498298	0.0205827	0.0495685	0.0594169	0.0588327	0.0344772	0.024014	0.0205963	0.0161928	0.0167443	0.017056	0.0236136	0.0212226	0.0196659	0.0229005	0.0159805	0.0119301	0.0128706	0.0150097	0.0189181	0.0406616
l'	0.027782	0.0347721	0.0331887	0.0413693	0.0363902	0.0564478	0.0328717	0.031896	0.0279149	0.0188189	0.00890884	0.0218577	0.0208911	0.0222927	0.0281936	0.017373	0.0226826	0.0353584	0.0404001	0.0357571	0.030964	0.0211695	0.015301	0.0114696	0.0136348	0.0198361	0.0175663	0.0251719	0.0394004	0.0259802	0.0318934	0.0365107	0.0353768	0.0353594	0.0451995
alcool	0.029586	0.0394208	0.0395056	0.0458237	0.0415226	0.0458911	0.020804	0.0179813	0.019657	0.0136502	0.0132554	0.0153231	0.0188232	0.0179177	0.0185546	0.0137081	0.0134094	0.0149465	0.0163837	0.0178774	0.0131657	0.0163042	0.0204786	0.018055	0.0202725	0.0293503	0.0375352	0.0392113	0.0592129	0.038411	0.0414702	0.0303815	0.0492113	0.0379866	0.0749125
de	0.0650061	0.0510477	0.0401727	0.0393925	0.0438456	0.0447668	0.0337705	0.024449	0.0259944	0.0454381	0.0480811	0.0443417	0.0395791	0.0323877	0.0276717	0.0190738	0.0129488	0.0220607	0.028834	0.0285778	0.0257011	0.0120895	0.0124763	0.00591372	0.0053978	0.0119078	0.0112103	0.0184307	0.0127202	0.00981153	0.0190775	0.0199259	0.0291674	0.0211907	0.0675396
maïs	0.0954448	0.0447256	0.0269194	0.0240455	0.0269743	0.0224457	0.00979066	0.0115271	0.0112383	0.0186115	0.0415801	0.0383076	0.0585894	0.0388033	0.0302279	0.0280166	0.0145045	0.0212479	0.0252745	0.0173158	0.015927	0.0186706	0.0195829	0.0240839	0.0220403	0.0405505	0.0258078	0.0246392	0.0301803	0.0220817	0.0301584	0.0215013	0.0299908	0.0227277	0.0464671
qui	0.0722381	0.035373	0.0233281	0.0222804	0.0197448	0.0304435	0.0161642	0.0177401	0.0147587	0.0149355	0.0177	0.0157975	0.0130531	0.0119744	0.010554	0.0139114	0.0214389	0.0273255	0.0266564	0.0271038	0.0195223	0.0168553	0.016837	0.0151227	0.0212156	0.0239261	0.0276397	0.0292909	0.0364505	0.0326498	0.0423541	0.0355942	0.0583421	0.0554503	0.116228
était	0.0691536	0.0369314	0.026205	0.0242164	0.0226433	0.0295218	0.0139937	0.0156188	0.0124548	0.0113508	0.00845776	0.00980895	0.00556472	0.00585642	0.00583015	0.00773679	0.0127747	0.0145603	0.0133122	0.016902	0.0159201	0.0143992	0.0170721	0.0102013	0.0139194	0.0223738	0.0281265	0.0397119	0.0445019	0.0501442	0.0618107	0.0624508	0.0690002	0.0710425	0.116432
ivre	0.0696465	0.0502559	0.0360607	0.0299468	0.025223	0.0302589	0.0134839	0.0147174	0.0158069	0.0124587	0.00930983	0.0127491	0.0107381	0.0144631	0.0123744	0.0166841	0.0236608	0.0273234	0.0247176	0.0264046	0.0219271	0.0240687	0.0209021	0.023584	0.0267644	0.021592	0.0255652	0.0246817	0.0301892	0.0266473	0.0407312	0.0414649	0.0549587	0.0550623	0.0855774
avant	0.0999094	0.0480128	0.0300333	0.0204749	0.0218365	0.0300766	0.0193968	0.022789	0.0203792	0.0123666	0.00743415	0.0104943	0.00641679	0.00696506	0.00645355	0.00835546	0.0147568	0.0229434	0.0220647	0.0325709	0.0276266	0.0386618	0.0328912	0.0251248	0.0336338	0.0431506	0.0308262	0.0328331	0.0288378	0.0312269	0.0330044	0.0342611	0.0392902	0.0391276	0.0657732
l'	0.0768325	0.0382524	0.0276105	0.0240231	0.0350318	0.0328206	0.0248305	0.0416145	0.0269896	0.0158754	0.0107226	0.0196388	0.0203059	0.0151075	0.0188188	0.0173027	0.0219856	0.0277323	0.0406226	0.0323452	0.0256954	0.0485435	0.0320098	0.0227917	0.0298099	0.0255689	0.0250764	0.0174941	0.0175669	0.0218904	0.023266	0.0271618	0.026025	0.0319589	0.0566783
autre	0.141575	0.0444127	0.0308296	0.0221435	0.0281785	0.0250837	0.00761612	0.0126063	0.00863922	0.00677995	0.00533194	0.0108678	0.0111047	0.0168742	0.0134555	0.0200617	0.0300981	0.0169131	0.0237155	0.0209195	0.0197665	0.0453427	0.0243856	0.0160308	0.0198547	0.0174857	0.0168532	0.0197378	0.0261391	0.0264874	0.030592	0.0322715	0.0362768	0.0442265	0.127344
</S>	0.139577	0.0360404	0.0260918	0.022569	0.0206185	0.0245118	0.00877124	0.0118841	0.0103259	0.00690817	0.00537406	0.0145804	0.0138557	0.0190004	0.0081584	0.0198687	0.028674	0.0132074	0.0249288	0.0240055	0.0223454	0.0398832	0.0231129	0.0196948	0.0214071	0.0181982	0.0205567	0.0207956	0.0249458	0.019694	0.0230582	0.0249952	0.0311483	0.0511614	0.160052
