 	o	t	s	ε	m	b	i	s	i	y	á	a	k	o	o	a	k	o	o	é	d	i	l	i	p	a	l	a	</S>
il	0.0116862	0.0121916	0.0129466	0.010975	0.010015	0.0116157	0.0186606	0.0288393	0.0408434	0.0662058	0.0654177	0.049886	0.048141	0.0497918	0.0218058	0.0190912	0.0170902	0.0193657	0.0270994	0.03207	0.0338991	0.0390718	0.0540626	0.0468802	0.0514358	0.0572697	0.0547254	0.0509898	0.0379275
y	0.110141	0.112033	0.113105	0.0558675	0.0293979	0.0266325	0.0443968	0.0444426	0.0309598	0.0263884	0.0333538	0.0386634	0.030959	0.0417378	0.0250119	0.0169939	0.0144832	0.00885373	0.0138977	0.0233459	0.03241	0.0326777	0.02366	0.0153414	0.0151629	0.0132677	0.0104522	0.00786661	0.00849599
a	0.0340259	0.0489819	0.0419875	0.0284722	0.0215165	0.0265911	0.0350177	0.0619134	0.0505799	0.0332128	0.0348231	0.0314457	0.022844	0.0529006	0.0725311	0.0704283	0.0633182	0.0531435	0.0611572	0.0393219	0.026026	0.0151918	0.0136009	0.0109386	0.0104044	0.0113665	0.0109253	0.00900548	0.00832824
de	0.0164887	0.0200881	0.0207328	0.0223864	0.0265721	0.0355643	0.0501311	0.0362818	0.0301976	0.0161728	0.0197823	0.0265923	0.0230264	0.07057	0.045219	0.0652943	0.0832973	0.0819606	0.0716618	0.0555385	0.0552127	0.0267916	0.0242772	0.0112476	0.0102025	0.0124813	0.0115912	0.0136182	0.0170193
vieilles	0.0167968	0.0165596	0.0184965	0.0207759	0.0215135	0.0399878	0.0365099	0.0310527	0.024203	0.0162678	0.0165773	0.0258757	0.0221821	0.0217444	0.0245523	0.0487461	0.0470601	0.0464473	0.0337504	0.0473719	0.0701258	0.0656558	0.0626428	0.0441126	0.0403098	0.0325894	0.0411059	0.0314242	0.0355625
pirogues	0.0454005	0.0430038	0.0326884	0.0281612	0.0229118	0.0230582	0.021552	0.0186798	0.018641	0.0137586	0.0146863	0.0139951	0.0160155	0.0165355	0.032795	0.0544042	0.0488231	0.0494883	0.0488888	0.048025	0.0525379	0.05166	0.0355685	0.0368656	0.0337991	0.0335095	0.038826	0.0438458	0.0618755
sur	0.031668	0.0294093	0.024784	0.0273717	0.0275004	0.0321378	0.0360735	0.0399727	0.0591356	0.0380711	0.0386835	0.0333987	0.0197809	0.0252493	0.0360969	0.0374063	0.0306832	0.0207798	0.025591	0.0199706	0.0262723	0.0420654	0.0213668	0.0312376	0.0268602	0.040287	0.0344781	0.0626061	0.0810622
le	0.0267509	0.0252985	0.020688	0.029722	0.0306605	0.0386997	0.0403208	0.0399757	0.050565	0.0348446	0.0343282	0.0353073	0.0211477	0.0228619	0.0282881	0.0322198	0.0286678	0.0279451	0.0299212	0.0240048	0.0331952	0.0298716	0.0319889	0.0319171	0.0366739	0.0383218	0.0454977	0.0475348	0.0827814
débarcadère	0.0899937	0.0577944	0.0417656	0.0343569	0.025426	0.0131541	0.00711266	0.00707622	0.00641479	0.00708745	0.0080084	0.00841314	0.0105728	0.0151596	0.0150589	0.0268387	0.0305518	0.0266653	0.0201026	0.0153169	0.0133788	0.031114	0.024737	0.0417109	0.035249	0.0719813	0.0777316	0.100298	0.136929
d'	0.0380967	0.0361679	0.032842	0.0327932	0.0282856	0.0214245	0.0177339	0.0150212	0.0096328	0.00860859	0.00866273	0.0107163	0.00978747	0.0166162	0.0156344	0.0313078	0.0380436	0.0295771	0.0176163	0.0152257	0.0217239	0.0339789	0.0324919	0.0461474	0.0462265	0.0758981	0.0853105	0.0966556	0.127773
akoo-	0.0780535	0.0660388	0.0432407	0.0488372	0.0346881	0.0255996	0.0121854	0.0104893	0.00984121	0.00967189	0.0101297	0.0102862	0.0111847	0.0170581	0.0129774	0.0172001	0.0187451	0.010693	0.00814968	0.00605459	0.00651325	0.0332692	0.0229871	0.0395345	0.0290781	0.0582868	0.0483965	0.0994002	0.20141
akoo	0.0571027	0.0500698	0.0337059	0.0415894	0.0325383	0.0247245	0.0114885	0.0103346	0.00967322	0.00856769	0.00972432	0.0108696	0.0128749	0.0196054	0.0133634	0.0207771	0.0226937	0.0139968	0.0108247	0.00818247	0.00979298	0.0378401	0.0328162	0.0547205	0.0393611	0.0655277	0.0606173	0.0886469	0.18797
</S>	0.0489151	0.0441567	0.032685	0.038901	0.0308798	0.0293181	0.0297951	0.0333197	0.0291021	0.0223116	0.0219904	0.0298084	0.0289281	0.0495784	0.0291081	0.0328349	0.024593	0.0194256	0.0160142	0.0147646	0.017376	0.024817	0.0269118	0.0327438	0.0431955	0.0402781	0.0465465	0.0430588	0.118642
