 	o	k	ú	l	u	m	b	ώ	n	g	ω	y	á	d	z	á	n	d	e	s	á	b	í	n	í	n	d	a	</S>
qui	0.00830083	0.0112118	0.00982582	0.00779959	0.011561	0.0107293	0.0155852	0.0139002	0.0146976	0.0351702	0.0426349	0.0606116	0.0490468	0.0447955	0.0491494	0.0423013	0.0371169	0.0236179	0.0248114	0.0280975	0.0263842	0.0215049	0.0627958	0.048579	0.0769646	0.0798211	0.0614227	0.0467617	0.0348012
parmi	0.115989	0.0868999	0.0573962	0.0657511	0.0470327	0.026851	0.0525003	0.0230315	0.0212858	0.0130286	0.00890394	0.015464	0.0320293	0.0868267	0.0701571	0.0677926	0.0444163	0.0412755	0.0344376	0.0208956	0.0105363	0.0102783	0.0174872	0.0132004	0.00530387	0.00364933	0.00301869	0.00180725	0.00275437
vous	0.0469382	0.0427206	0.0357792	0.0283215	0.0245395	0.0216429	0.0215637	0.0124934	0.0159759	0.00689533	0.00665628	0.0101592	0.0110692	0.0287392	0.0409805	0.0574077	0.0837687	0.0785139	0.0997777	0.093332	0.053163	0.0486221	0.0313028	0.0179261	0.0225207	0.0162915	0.0141254	0.0167194	0.0120544
a	0.0699224	0.0566305	0.0445306	0.0769341	0.051046	0.0522974	0.0550758	0.0476653	0.0454205	0.0224532	0.0150919	0.0185008	0.025951	0.0607308	0.0475322	0.0253924	0.0422074	0.0243818	0.035215	0.0278425	0.0135935	0.0204161	0.0146823	0.0104003	0.00933378	0.0137511	0.0154753	0.016553	0.0409729
laissé	0.0322091	0.0524935	0.0646187	0.0814547	0.0476127	0.0465068	0.026272	0.0171377	0.0143335	0.0181017	0.011384	0.0155816	0.0190644	0.0272869	0.0381548	0.0463394	0.0443468	0.0383641	0.0286281	0.0337914	0.0448684	0.0448727	0.0249298	0.0232605	0.0241131	0.022964	0.0302341	0.0281547	0.052921
l'	0.0355809	0.0284635	0.0279777	0.0275741	0.0259142	0.0238412	0.0238731	0.0197371	0.0239488	0.0207387	0.0198751	0.0205098	0.0235721	0.0241705	0.0238422	0.0214408	0.0272338	0.0200299	0.0319837	0.043308	0.0495137	0.0477396	0.0339997	0.0414155	0.0296971	0.0288363	0.0484728	0.0665046	0.140205
argent	0.0428283	0.053155	0.0436763	0.0485997	0.0369119	0.0338544	0.0252865	0.023037	0.0237316	0.0246402	0.0152868	0.0130313	0.0143763	0.0207598	0.0243825	0.0167024	0.0103564	0.018404	0.0223371	0.0338824	0.0249526	0.0333932	0.0275069	0.0388743	0.0322892	0.0296508	0.0403222	0.0604784	0.167292
pour	0.0276815	0.0397954	0.0322308	0.0434924	0.0441725	0.0386626	0.0479693	0.0309444	0.0359422	0.0291135	0.0169129	0.0153248	0.0127086	0.0131637	0.0104952	0.00891495	0.00741335	0.0113359	0.0234317	0.0324698	0.0191058	0.0228065	0.0262254	0.042826	0.0253826	0.029727	0.0455755	0.0867234	0.179452
les	0.180652	0.106375	0.0545056	0.0326452	0.0252021	0.0298195	0.0226038	0.0123885	0.00667688	0.00607541	0.00465767	0.00386115	0.0035375	0.00438934	0.00343109	0.00205612	0.00203012	0.00317911	0.00704613	0.0130628	0.00478116	0.00848071	0.0263376	0.0355106	0.0452317	0.0698618	0.0491344	0.0974877	0.13898
courses	0.0941593	0.0848326	0.0503076	0.0310336	0.0275186	0.0277462	0.0295169	0.0283855	0.0188105	0.0164595	0.00804728	0.00431447	0.00420087	0.00543304	0.0057148	0.00724833	0.00970798	0.0105665	0.0190021	0.022761	0.0216728	0.0230039	0.022531	0.041393	0.0325633	0.0465536	0.0423189	0.102434	0.161763
</S>	0.087841	0.055208	0.0565072	0.0484392	0.0408644	0.0398034	0.0344363	0.0185208	0.0149507	0.0116085	0.00622257	0.00610047	0.00691238	0.00886211	0.00626383	0.00582521	0.00351997	0.00557188	0.0102704	0.0190004	0.0120428	0.0255167	0.0276848	0.0284941	0.0487485	0.0621103	0.0626707	0.0870038	0.159
