 	á	s	ε	r	i	l	a	n	g	á	w	á	r	e	n	ώ	m	o	r	o	y	e	e	d	í	o	k	o	n	d	z	i	y	a	p	o	o	y	é	</S>
on	0.205711	0.0672063	0.0132158	0.0133122	0.0140423	0.0167537	0.0189007	0.0437826	0.0350668	0.0334679	0.0320522	0.0376736	0.0386995	0.0356817	0.0476869	0.0330762	0.024792	0.0499589	0.0333746	0.0254404	0.0109108	0.00785194	0.010582	0.00912454	0.00669381	0.00693867	0.00714883	0.00885955	0.010468	0.013677	0.0083721	0.00846768	0.00849298	0.0072652	0.00801936	0.00748303	0.00836977	0.0100726	0.0116043	0.00970249
m'	0.0356007	0.0417982	0.0294155	0.0374046	0.0395606	0.0466046	0.0576565	0.0460283	0.0543471	0.0294785	0.0483824	0.0321364	0.0226211	0.0335021	0.0648098	0.0593689	0.0634002	0.0386951	0.0454058	0.0232036	0.00561194	0.00696831	0.00529088	0.00704244	0.00819056	0.0106868	0.00716345	0.0102198	0.0139283	0.00988941	0.0082777	0.00649718	0.0107077	0.0100344	0.00875463	0.00557259	0.00246561	0.00382741	0.00467007	0.00478109
a	0.0169393	0.0176366	0.0307681	0.0263614	0.0226018	0.0191961	0.0307377	0.0293229	0.0330624	0.030389	0.0515462	0.0521953	0.0372391	0.0440783	0.0657455	0.0453657	0.0829091	0.0518918	0.0200815	0.0466647	0.0281995	0.011104	0.0125969	0.0156436	0.0170839	0.00926983	0.00781591	0.00776357	0.0127207	0.00941756	0.00949163	0.00922213	0.0195141	0.0128236	0.0128084	0.0103851	0.00900869	0.0104126	0.010521	0.0094649
dit	0.0244642	0.0319179	0.0291051	0.0269681	0.0291363	0.023293	0.0489003	0.0294996	0.0487794	0.0403025	0.0359467	0.0293755	0.0196657	0.0153673	0.019016	0.0267375	0.040795	0.0302523	0.0217224	0.0388703	0.026926	0.0161022	0.0156299	0.0242441	0.0417009	0.0185857	0.0208801	0.017661	0.0188343	0.023735	0.0190693	0.0235261	0.0228933	0.0199467	0.0132569	0.0100059	0.00911891	0.0111429	0.0146507	0.021975
que	0.00987193	0.00983508	0.0129915	0.00849408	0.00770905	0.00776039	0.00781471	0.0068527	0.00620144	0.00579261	0.0117327	0.0106563	0.0207459	0.0166005	0.0278652	0.0665185	0.0515758	0.0217469	0.0329509	0.0432645	0.100566	0.0562002	0.0609761	0.0497009	0.0451967	0.0313133	0.0326253	0.0277048	0.0147906	0.0175311	0.0149544	0.0144956	0.013811	0.0135365	0.0134789	0.0183896	0.0212993	0.0232053	0.0204019	0.0228419
c'	0.00781689	0.00955956	0.0121714	0.0161498	0.0179191	0.0209452	0.0211329	0.0210044	0.0173407	0.0215479	0.0271826	0.0286924	0.0291582	0.0263876	0.0347432	0.0472669	0.0518117	0.02489	0.0358528	0.0458243	0.0567706	0.0339447	0.0298156	0.0315395	0.0278073	0.0225859	0.0188667	0.0186776	0.014134	0.0146652	0.0136779	0.0119112	0.0157402	0.0193898	0.0118792	0.022862	0.0220129	0.0276957	0.0281435	0.0404829
est	0.00878217	0.0108654	0.011383	0.0134041	0.0163544	0.0200795	0.0197801	0.0148414	0.0135349	0.011853	0.0118588	0.0159293	0.0221096	0.0206877	0.0259135	0.0516591	0.0493212	0.0311785	0.0390056	0.0292171	0.0319327	0.0320108	0.043118	0.0386486	0.0546629	0.0434694	0.0358423	0.0226143	0.0192531	0.0303893	0.0226172	0.0251993	0.0191362	0.0245565	0.0136571	0.0197896	0.016341	0.0166919	0.0165548	0.0357566
vous	0.0144661	0.0176782	0.0158501	0.0175485	0.0203672	0.0127901	0.0125417	0.0111628	0.00937536	0.00872951	0.0112883	0.0129211	0.0154363	0.0168669	0.018256	0.0227836	0.0252392	0.0262559	0.0327127	0.026472	0.0236928	0.03243	0.029199	0.0339124	0.0266357	0.027629	0.0244363	0.0270997	0.0193102	0.013022	0.0179441	0.0142411	0.0159629	0.0197336	0.0209088	0.0281717	0.0468408	0.0580593	0.0722693	0.0997595
qui	0.0294927	0.020711	0.0184853	0.0169909	0.0151346	0.0092868	0.0069838	0.00462795	0.00501908	0.00400068	0.0039301	0.00404678	0.00542472	0.00497172	0.00663662	0.00834676	0.00928846	0.0122797	0.0146652	0.0172975	0.033045	0.0344941	0.0387208	0.042674	0.0590883	0.0525685	0.0518405	0.0437293	0.0472054	0.0301554	0.0418043	0.0293662	0.0193421	0.02304	0.0211457	0.0238118	0.0352397	0.0334257	0.0550732	0.0666098
êtes	0.0408995	0.0308709	0.0311834	0.0237186	0.0198907	0.0162893	0.0180134	0.0116368	0.0107208	0.00944679	0.00858886	0.00983372	0.0115003	0.0170874	0.0192736	0.0226346	0.0296896	0.0314716	0.0284267	0.0229627	0.019234	0.0205655	0.0145622	0.0195141	0.045809	0.0304324	0.03432	0.0275874	0.0263386	0.0249392	0.0328182	0.0193298	0.0193038	0.0197924	0.0207456	0.0270947	0.0343001	0.0387364	0.048123	0.0623147
