 	w	á	á	i	b	á	s	a	í	w	o	n	g	í	l	í	i	y	a	á	ó	t	s	ώ	t	s	ω	</S>
quand	0.0829151	0.12628	0.121796	0.0812761	0.0716596	0.0493346	0.0141922	0.0298282	0.0140588	0.00668418	0.0270059	0.0585204	0.067305	0.0593809	0.0283841	0.0122701	0.0129769	0.0139752	0.0179196	0.0233017	0.0196847	0.0169093	0.0143328	0.013008	0.00525084	0.00368404	0.00363034	0.0044356
le	0.0341592	0.035486	0.0450269	0.0767896	0.0369173	0.0532065	0.0778484	0.0393206	0.0506977	0.0649001	0.0574458	0.140986	0.0883557	0.0851008	0.021351	0.0155901	0.00535816	0.0114185	0.00402144	0.00367054	0.00631427	0.00484324	0.00546231	0.0109621	0.0059379	0.00381301	0.00440585	0.0106116
fruit	0.0258694	0.018863	0.0174891	0.0113244	0.0133331	0.0188278	0.0256614	0.0316821	0.0259381	0.025207	0.0413666	0.0832066	0.0951827	0.101894	0.089482	0.0734822	0.0334615	0.0445206	0.0157344	0.0149113	0.0169368	0.0262863	0.0332798	0.0345234	0.043223	0.0194386	0.00815737	0.0107174
ibasa	0.0325776	0.0295571	0.02523	0.0230808	0.015538	0.0155567	0.028171	0.0262855	0.0281401	0.0346155	0.039399	0.0577276	0.0714451	0.0797615	0.0829698	0.0664899	0.0359974	0.0187501	0.0107095	0.0102676	0.0115059	0.0149255	0.0196991	0.0224434	0.0335638	0.0350183	0.048629	0.0819451
se	0.0185442	0.020273	0.0273847	0.0219678	0.0222213	0.0279364	0.0304923	0.0378022	0.0298086	0.0254489	0.0341975	0.0447692	0.0293684	0.0398595	0.0425525	0.039197	0.0323058	0.0319828	0.0301573	0.0334145	0.0252571	0.0358578	0.0278812	0.038296	0.0440887	0.045485	0.0620914	0.101359
décortique	0.0121137	0.0133924	0.0148758	0.0171465	0.0212178	0.030757	0.0383498	0.0395184	0.0376448	0.0399447	0.0394502	0.0396351	0.0372811	0.0350017	0.0357524	0.030527	0.0256972	0.0309076	0.0287428	0.031428	0.0246667	0.0276055	0.0275813	0.0280014	0.0324277	0.0418652	0.0647947	0.153674
il	0.0220308	0.0193646	0.0205793	0.0254163	0.0242519	0.0305134	0.0376063	0.0443875	0.0391501	0.0267337	0.0240471	0.0210745	0.0145597	0.0180591	0.0224785	0.0345715	0.0282278	0.0177901	0.0243024	0.0258224	0.0168083	0.0257477	0.0203519	0.0382724	0.0512915	0.0649352	0.0938847	0.167741
devient	0.0206708	0.0198532	0.020464	0.0209885	0.020659	0.0235138	0.0241985	0.0232803	0.0239595	0.0206103	0.0202591	0.0199686	0.0172592	0.0217497	0.0320367	0.0458821	0.0404419	0.035093	0.0242566	0.0358852	0.0342607	0.0573698	0.0580686	0.0659584	0.0679825	0.0610601	0.0648001	0.0794698
tout	0.0187641	0.0146969	0.0165786	0.0266181	0.0132561	0.0160804	0.0156408	0.0144635	0.0135895	0.00999108	0.00941022	0.01657	0.0094028	0.0177426	0.0262296	0.0257702	0.0336441	0.0249432	0.0203363	0.0436734	0.0291966	0.0587705	0.0431361	0.0722992	0.0725081	0.0955767	0.115459	0.125652
rouge	0.0259849	0.0163259	0.0154075	0.0248014	0.0157861	0.0202438	0.0172983	0.0168789	0.0131127	0.0127023	0.0116817	0.0164633	0.0123076	0.0202722	0.0236558	0.0293262	0.0227103	0.0158861	0.0175971	0.0332449	0.0362813	0.0448507	0.062958	0.0783259	0.0913536	0.0956999	0.102662	0.106181
</S>	0.0315248	0.0130406	0.011162	0.0347222	0.017521	0.0212289	0.0181494	0.0168785	0.0162581	0.0148778	0.0161918	0.00998305	0.0113226	0.00933197	0.017783	0.0299501	0.027487	0.0157388	0.0168315	0.0245685	0.0220619	0.0332744	0.03113	0.0426356	0.0943649	0.109473	0.136501	0.156007
