 	i	b	a	a	í	s	é	m	b	í	ε	b	ώ	ω	l	a	b	o	s	ó	m	ó	i	n	y	á	n	g	a	l	á	n	g	á	</S>
l'	0.0100919	0.0135042	0.012502	0.0106623	0.00804254	0.0160038	0.00993847	0.0152405	0.0225843	0.0314675	0.0539363	0.046571	0.0372314	0.031283	0.0255962	0.0306267	0.0342102	0.0294974	0.0331434	0.023728	0.0293695	0.0352754	0.0265144	0.040016	0.0417638	0.0238069	0.0269192	0.0478413	0.0222692	0.0352049	0.0414065	0.040169	0.0430914	0.0382468	0.0122446
homme	0.101026	0.215529	0.175797	0.205095	0.0505071	0.022468	0.00983127	0.00665524	0.00483246	0.010566	0.00176519	0.00315277	0.00196233	0.00176786	0.00172073	0.00320395	0.00610465	0.00930055	0.0107667	0.0133376	0.0307173	0.0299951	0.0196114	0.019947	0.0126091	0.00346696	0.00343049	0.0104343	0.00204735	0.00620074	0.00215311	0.00157707	0.000993331	0.00109852	0.000328023
avança	0.0501921	0.0379328	0.0320413	0.033833	0.0516332	0.0448664	0.0573529	0.0337217	0.0143117	0.0372891	0.0173787	0.031613	0.0205934	0.0186945	0.0223577	0.0207317	0.0157433	0.0135181	0.00840353	0.0102192	0.013262	0.0161249	0.021496	0.066678	0.0457692	0.0435696	0.0349432	0.0582704	0.0312954	0.0225774	0.0156829	0.0154696	0.019296	0.0166562	0.00648192
sa	0.0342225	0.0342802	0.0434544	0.026827	0.0192454	0.0175076	0.0263348	0.0213444	0.0169149	0.0389593	0.0391978	0.0581213	0.051124	0.0447488	0.0410708	0.0247302	0.0161737	0.0128905	0.0117248	0.00987697	0.0125409	0.0118716	0.0183311	0.0177459	0.0167117	0.0145359	0.0346431	0.0354676	0.0395771	0.0283029	0.0223918	0.0315449	0.0322493	0.0401022	0.0552345
main	0.0554779	0.0423699	0.0355075	0.0332019	0.0353416	0.030936	0.0320811	0.0319808	0.020787	0.0304004	0.0222136	0.0260443	0.0388224	0.0345655	0.0339948	0.0340369	0.0329524	0.031531	0.0310675	0.0320773	0.0318801	0.0354475	0.0304013	0.0279481	0.0151548	0.00932676	0.0176992	0.0155276	0.0117893	0.0158111	0.0191565	0.0202045	0.015188	0.0358796	0.0331959
pour	0.0589406	0.0536806	0.0528933	0.0451307	0.0373345	0.0320452	0.0395722	0.0245923	0.0171026	0.0212603	0.0237873	0.0294346	0.0273537	0.0241948	0.025672	0.0232397	0.00917548	0.00818627	0.00783127	0.00685894	0.00682895	0.00675912	0.00547695	0.0113821	0.0236462	0.018818	0.0481746	0.0174938	0.0612486	0.0320585	0.0157912	0.0330097	0.0270196	0.0465315	0.0774751
me	0.0196634	0.0142357	0.0151273	0.0150686	0.0182922	0.0304724	0.0309852	0.0312437	0.0353064	0.0362204	0.031096	0.0338782	0.0351582	0.0354554	0.0368177	0.0366894	0.0213885	0.0285482	0.0248787	0.0189762	0.0421901	0.0235863	0.0317393	0.0284815	0.0296909	0.0330869	0.0303913	0.0349939	0.0188152	0.0276126	0.0213891	0.0188854	0.025473	0.0301999	0.0539625
dire	0.0453645	0.0284468	0.0248652	0.0223245	0.0214528	0.0183388	0.0150594	0.0099572	0.00672618	0.00815494	0.00807181	0.0091306	0.0107832	0.0111153	0.0140352	0.0122474	0.0104473	0.0137141	0.013831	0.0100712	0.0142355	0.0147902	0.0278103	0.0327098	0.0425411	0.0305717	0.057609	0.0373459	0.0535693	0.0529265	0.0581033	0.0687576	0.0562784	0.0668495	0.0717643
bonjour	0.0559261	0.0362904	0.0335029	0.0274602	0.0209163	0.0173305	0.0140827	0.0143428	0.0134585	0.0150097	0.0179852	0.0201746	0.0259224	0.0231313	0.0232904	0.0164114	0.015683	0.0158014	0.0163555	0.020056	0.0180426	0.0132365	0.0174419	0.0198151	0.0244551	0.0148353	0.0510668	0.0130229	0.0200334	0.0378707	0.0408388	0.060337	0.0252636	0.091132	0.109477
</S>	0.0493326	0.0243035	0.0227577	0.0196344	0.0198022	0.0147713	0.012148	0.00843188	0.00603245	0.00697833	0.00835987	0.0110919	0.0116147	0.0127056	0.0169601	0.0155425	0.0140683	0.0204565	0.0237067	0.0264477	0.0324501	0.0201575	0.0188784	0.0284475	0.0260641	0.0231695	0.0598823	0.017624	0.0362745	0.0474639	0.0426765	0.0952421	0.0375608	0.072634	0.0963286
