 	e	f	u	u	l	ú	l	ú	y	é	é	f	u	u	l	á	m	w	á	s	í	l	a	n	g	á	n	g	á	i	m	i	k	ώ	n	d	ώ	o	b	ó	n	d	a	</S>
je	0.0133749	0.0169534	0.018944	0.0205512	0.00802068	0.0150553	0.0138749	0.0322516	0.0267105	0.0193321	0.0317237	0.0288987	0.0272824	0.0366066	0.0434192	0.019669	0.0565713	0.0175695	0.0270821	0.0254106	0.0212582	0.0289509	0.0218316	0.0277339	0.0301284	0.021808	0.0130176	0.0166805	0.0224899	0.0121196	0.0101924	0.00847489	0.00698319	0.0160414	0.015761	0.0195202	0.0173576	0.0174994	0.0255385	0.0303063	0.0250118	0.0435075	0.025199	0.0232864
ne	0.0241206	0.0174641	0.0201811	0.0139681	0.0398542	0.02644	0.0264417	0.0230962	0.031336	0.0324075	0.0234419	0.0284717	0.0350856	0.0459536	0.0289673	0.0407172	0.045808	0.012939	0.0439551	0.0390688	0.0236	0.0431921	0.0225252	0.0236594	0.0322289	0.0252767	0.0170554	0.0204858	0.0192012	0.0146781	0.0229203	0.0183165	0.0129235	0.00892005	0.00998433	0.00699252	0.00770866	0.00535542	0.0121501	0.0170747	0.0105346	0.00603027	0.00685342	0.0126151
comprends	0.0327891	0.0148808	0.0138121	0.0166965	0.0369482	0.0213389	0.0158218	0.0151573	0.0193258	0.0196777	0.014576	0.0250601	0.0340055	0.0413144	0.0326317	0.0532487	0.0310327	0.01223	0.0260947	0.0558136	0.049204	0.0327	0.0501873	0.0755199	0.0332983	0.0233888	0.0182292	0.0254901	0.0147393	0.0112715	0.0125707	0.0133365	0.0170952	0.0122813	0.0139893	0.00990654	0.00797303	0.00427582	0.00746124	0.00781707	0.00580766	0.00695662	0.00485646	0.00918891
pas	0.00571168	0.00632093	0.011418	0.0181319	0.011808	0.0153042	0.0190736	0.0123466	0.0114247	0.0134314	0.0101572	0.0104818	0.0231694	0.0378476	0.0321572	0.0529378	0.0806958	0.012583	0.0177992	0.0191831	0.0357914	0.0363114	0.0312624	0.0132012	0.0182191	0.0265162	0.0154925	0.0208371	0.0247358	0.0506019	0.0321469	0.0386582	0.0583283	0.0414786	0.0262339	0.020115	0.018605	0.0216964	0.0075965	0.0109907	0.00422184	0.0110874	0.00780425	0.00608485
la	0.0135314	0.0153682	0.0260845	0.0427181	0.0300242	0.0270471	0.0208017	0.0208349	0.019012	0.0227253	0.0200753	0.0265531	0.0406516	0.0445129	0.0273603	0.0291752	0.0336355	0.00428222	0.0211521	0.0164711	0.00917728	0.0140447	0.0187051	0.0131093	0.0211299	0.0202242	0.0155433	0.0204194	0.0171828	0.0198981	0.0178893	0.0116243	0.0140797	0.0154097	0.0235917	0.0223751	0.0231294	0.0274264	0.0281245	0.0327309	0.0154787	0.0302215	0.0337053	0.0327628
manière	0.0299056	0.0279888	0.0228478	0.0158455	0.0086018	0.00586806	0.0119187	0.0125404	0.0148699	0.0159248	0.017606	0.0238466	0.0262454	0.0316472	0.028379	0.0325898	0.0268426	0.0216045	0.0289145	0.0255712	0.0256302	0.0222233	0.0271504	0.0156546	0.029411	0.028575	0.0177368	0.0362461	0.0229866	0.0163516	0.0177833	0.0167168	0.0169024	0.0184556	0.0188155	0.0210132	0.0201425	0.0171236	0.0226982	0.0180009	0.0225798	0.0303076	0.024491	0.0634457
dont	0.038086	0.0295572	0.0313201	0.034911	0.0246569	0.0133026	0.00931893	0.00553844	0.00694596	0.00674006	0.00441612	0.0065814	0.0101342	0.0181628	0.00742906	0.0214242	0.0564256	0.0113044	0.0597382	0.0242941	0.024819	0.0802366	0.100485	0.033142	0.124407	0.0709189	0.0238113	0.0229157	0.0134685	0.00957407	0.0127886	0.0102918	0.00784114	0.0042841	0.0029924	0.00240717	0.00193843	0.00278128	0.00179154	0.00197548	0.00376149	0.00385797	0.0040978	0.0151258
ma	0.0217386	0.0184968	0.0225026	0.0221968	0.017204	0.0128228	0.0154051	0.0189276	0.018539	0.0168286	0.0158001	0.0165386	0.012569	0.0131585	0.0112954	0.0130165	0.0116967	0.00681597	0.0101602	0.00887133	0.011953	0.0209839	0.0367531	0.0257514	0.0385083	0.0913708	0.0403715	0.0554862	0.0499221	0.0251999	0.0300824	0.0146028	0.00994171	0.0101263	0.0136662	0.0176278	0.0177699	0.028877	0.0184338	0.0170859	0.024848	0.020032	0.0258126	0.0502092
femme	0.052787	0.0341765	0.0198087	0.0132235	0.00544677	0.00580125	0.0124668	0.0117884	0.0152179	0.016559	0.0178005	0.0291736	0.0355443	0.0414153	0.0466694	0.0318568	0.0192465	0.0228771	0.0271549	0.0128799	0.0105415	0.0130647	0.0363299	0.0156288	0.0226897	0.0527372	0.0269689	0.0417348	0.0344913	0.0426185	0.0317678	0.016782	0.0111379	0.00771604	0.0107853	0.0134769	0.0109398	0.0229431	0.00638965	0.0150045	0.0150429	0.0191667	0.0193247	0.0308237
boude	0.0268555	0.0117788	0.00855406	0.00722827	0.00709368	0.00662441	0.00706234	0.00548228	0.00595665	0.00521727	0.00504202	0.00800829	0.0105557	0.0133952	0.0124647	0.0189516	0.0207287	0.0179238	0.026999	0.0261872	0.0242505	0.0484527	0.0465451	0.0348881	0.0426947	0.0548359	0.0377653	0.0455385	0.032963	0.0247224	0.0333306	0.0276147	0.0179876	0.0150527	0.0105547	0.0132153	0.00907937	0.017326	0.0146775	0.0215723	0.032477	0.0420844	0.0471189	0.0531433
