 	o	k	ó	m	b	a	á	t	ó	n	á	l	e	k	ώ	ώ	l	i	á	b	h	i	á	b	h	í	b	v	a	n	d	z	á	á	b	v	a	n	d	z	á	á	ó	p	o	o	</S>
okomba	0.0072891	0.009166	0.0105332	0.0184238	0.0238638	0.0365675	0.040132	0.0413782	0.0421265	0.0435872	0.0461848	0.0509352	0.0621152	0.0474157	0.0314262	0.0653246	0.0465151	0.0225504	0.0224424	0.0180704	0.035145	0.0187248	0.0147657	0.013994	0.0117942	0.0109949	0.0067153	0.00945463	0.00805611	0.00925441	0.0107046	0.00717443	0.00813112	0.0120165	0.0114113	0.011014	0.00866583	0.00760308	0.00988111	0.00907383	0.00723853	0.00806624	0.00947035	0.0141705	0.0113599	0.011754	0.0173185
a	0.0105607	0.0120607	0.0158404	0.024982	0.0295065	0.0315055	0.0492597	0.0777405	0.0591543	0.0490848	0.043122	0.06286	0.0499983	0.0474618	0.0576931	0.0480354	0.0379906	0.0208688	0.0151344	0.0123285	0.0101452	0.00468435	0.00559408	0.00348619	0.00337119	0.00379757	0.00521085	0.00717101	0.00887125	0.0124275	0.00937516	0.0151443	0.011332	0.00919055	0.0131128	0.0182774	0.0107114	0.0135331	0.0115449	0.0153786	0.0144378	0.00639378	0.0119553	0.0101138	0.00700267	0.00129786	0.00125128
a	0.020288	0.0202539	0.0227296	0.0358188	0.0544295	0.051822	0.0380227	0.0305071	0.0269689	0.0318569	0.0150285	0.011796	0.0169053	0.0143087	0.0150635	0.0221446	0.0267111	0.0212791	0.0229097	0.0195909	0.0226687	0.031468	0.0407559	0.0328065	0.0319421	0.0258162	0.0232357	0.0253337	0.0213313	0.0141988	0.0196041	0.0173285	0.0144368	0.0167581	0.0117588	0.0270535	0.0240793	0.0104776	0.0128114	0.0142396	0.010534	0.00589764	0.00493471	0.00666757	0.00671849	0.00497217	0.00373638
quitté	0.01922	0.0202062	0.0240713	0.0316042	0.0333728	0.0280732	0.0212091	0.019766	0.0205803	0.0269815	0.0160212	0.0139473	0.0206523	0.0159723	0.0161307	0.015899	0.0146873	0.00728845	0.010411	0.0100628	0.0215626	0.0292965	0.0409486	0.0458901	0.0376783	0.0373374	0.0342732	0.0299007	0.0305533	0.0243344	0.0248923	0.0161641	0.0167933	0.0176505	0.0121419	0.0102702	0.00963123	0.0103038	0.00950024	0.0122114	0.0130315	0.0129371	0.0140482	0.0187673	0.0184362	0.0254751	0.0398133
l'	0.020176	0.0207033	0.0210484	0.0215944	0.0221744	0.0228314	0.0225431	0.0223051	0.0220987	0.0230001	0.0222787	0.0202512	0.0225837	0.0209576	0.0218941	0.0249076	0.0228881	0.015165	0.0132357	0.0180629	0.0221939	0.0457228	0.0332152	0.0410057	0.0328448	0.041003	0.0376513	0.0241129	0.0228354	0.0174606	0.0176224	0.0149055	0.015084	0.0164814	0.0134148	0.0125337	0.0130223	0.0121354	0.010067	0.0127881	0.0108726	0.0121778	0.0137295	0.0187842	0.0174352	0.0179132	0.0322878
école	0.0242909	0.0261942	0.025112	0.0210048	0.0194647	0.0181284	0.0185505	0.0211841	0.0152824	0.0179329	0.0186862	0.016835	0.0193	0.0246832	0.0259409	0.0202613	0.0170022	0.022546	0.0150449	0.0292603	0.0149417	0.0261172	0.0190966	0.0152253	0.0148326	0.0192553	0.0128381	0.0219248	0.0210143	0.0245073	0.0178358	0.024726	0.0226207	0.0269614	0.0259815	0.0302954	0.0101658	0.0233055	0.0249657	0.0243579	0.028034	0.0190631	0.0198513	0.0203029	0.0231111	0.0169372	0.0350264
pour	0.0143756	0.0141968	0.0120267	0.00993565	0.0100521	0.00922099	0.0125797	0.0143451	0.0138193	0.0155485	0.0124658	0.0115267	0.0129366	0.0128243	0.0148565	0.0137661	0.0121076	0.0114903	0.0115612	0.016537	0.01776	0.0372882	0.0243927	0.0381219	0.0252956	0.0416259	0.0397199	0.0263402	0.0381015	0.026558	0.03766	0.0295522	0.0369522	0.0395236	0.0348555	0.0248221	0.0202422	0.0262516	0.0235337	0.019899	0.0221662	0.0165417	0.0156655	0.0136473	0.0169086	0.0216486	0.0287538
la	0.0497266	0.0340653	0.0237946	0.018584	0.0152592	0.0109613	0.00975163	0.00906239	0.00918708	0.0101036	0.0109223	0.0106339	0.0103357	0.0121052	0.0126346	0.0111985	0.0132155	0.014751	0.0195092	0.0227966	0.0242201	0.0385661	0.0290117	0.0263802	0.0257777	0.0240861	0.0318758	0.0171792	0.019562	0.019734	0.0181919	0.0178651	0.0284675	0.0266967	0.0223459	0.0207724	0.0189032	0.0170946	0.0174546	0.0164876	0.0213248	0.0146888	0.0236296	0.0321496	0.0309513	0.0363179	0.0516673
campagne	0.0698967	0.0331894	0.0151759	0.00983654	0.00688333	0.00626088	0.00588552	0.00727368	0.00708432	0.00991451	0.00952994	0.00987785	0.0104127	0.0146375	0.0133245	0.0127282	0.0194869	0.0300673	0.0289655	0.0460823	0.0281201	0.0560453	0.0311365	0.0295024	0.033397	0.0316092	0.0386808	0.0224479	0.0196765	0.0182354	0.0128572	0.011348	0.0163561	0.0112058	0.0118211	0.0116796	0.00674886	0.0185979	0.0127967	0.0143447	0.0146515	0.00944118	0.0240247	0.0221993	0.033947	0.0314166	0.0611993
où	0.0358832	0.0202493	0.0134888	0.0106151	0.00933786	0.00929767	0.0113292	0.0161281	0.0164535	0.0211894	0.0198466	0.0184674	0.0164666	0.0170479	0.015823	0.0114264	0.0109253	0.00829849	0.0107359	0.0149181	0.0092927	0.0184153	0.0249511	0.0317989	0.033813	0.040575	0.0354981	0.0346233	0.0365394	0.0304775	0.031568	0.0303743	0.0324869	0.0333163	0.0245511	0.0207984	0.0113369	0.0250068	0.0173288	0.0148401	0.0179986	0.0124172	0.0120109	0.00956752	0.00918411	0.0246739	0.0686278
