 	b	á	á	n	d	á	l	á	n	ώ	b	o	s	ó	n	g	á	l	í	i	p	f	á	n	ω	m	ó	k	ó	ó	</S>
tu	0.065466	0.0442744	0.101823	0.100918	0.0499294	0.0783585	0.0407711	0.0338378	0.0308777	0.0395951	0.0370396	0.020735	0.0262827	0.0358092	0.0203881	0.0249953	0.0293931	0.0272876	0.0191342	0.0181422	0.0238267	0.022195	0.0385108	0.0175249	0.0113459	0.00626476	0.00519859	0.00418908	0.00549319	0.0109869	0.00940659
peux	0.0404037	0.0316327	0.0214841	0.0201338	0.0206315	0.0260504	0.0326205	0.0229348	0.0598747	0.0866568	0.105076	0.110776	0.0562112	0.0496856	0.0291421	0.0354054	0.0360044	0.0302041	0.0399358	0.038061	0.0194895	0.0119154	0.010497	0.00692055	0.00441756	0.00543314	0.00965856	0.0115875	0.0093315	0.00739153	0.0104331
partir	0.0319238	0.0471577	0.0486275	0.0485794	0.042979	0.0517082	0.0240769	0.0113063	0.0139062	0.0279306	0.025715	0.030369	0.0340136	0.0580638	0.0470591	0.0415866	0.0317936	0.0373117	0.0266944	0.0317987	0.032522	0.0266228	0.0195266	0.0199436	0.0173549	0.0241019	0.0263827	0.0283762	0.0289714	0.0322474	0.0313492
devant	0.0199468	0.0197007	0.0214345	0.0203241	0.035883	0.0202267	0.019548	0.0232848	0.0127012	0.0189202	0.0206885	0.0237896	0.0401014	0.0449058	0.0651208	0.0405917	0.0310134	0.0437634	0.0334846	0.0329421	0.0229018	0.0316639	0.029765	0.0295573	0.0311256	0.0330899	0.0288166	0.0374555	0.047143	0.0552253	0.064885
je	0.0221599	0.022926	0.0279399	0.0294262	0.0336721	0.0377504	0.0311901	0.0419926	0.0317577	0.0400524	0.0591522	0.0481141	0.0526267	0.032037	0.0351077	0.0255261	0.0223006	0.0289047	0.0546321	0.0405251	0.0301259	0.0295171	0.0236046	0.0195305	0.0174961	0.0211201	0.0225367	0.0267617	0.0305784	0.0280233	0.0329121
t'	0.0367702	0.0189335	0.0241637	0.0298473	0.0187842	0.0249341	0.0171873	0.0288876	0.0147619	0.0168301	0.0316751	0.0228429	0.0273452	0.0190425	0.0422407	0.0344533	0.0338033	0.0457958	0.0891687	0.0642982	0.0558225	0.0508895	0.0295951	0.0187211	0.0134992	0.0160367	0.0159635	0.0224637	0.0322085	0.0333312	0.0697038
atteindrai	0.0434323	0.0337875	0.0259503	0.02616	0.021993	0.0244891	0.0238587	0.0196081	0.0170582	0.0184526	0.0276749	0.0190812	0.0195952	0.0165691	0.0278336	0.0231369	0.025702	0.0353074	0.0648646	0.0542083	0.0507993	0.0502242	0.0460989	0.0294336	0.0254151	0.0233839	0.0213968	0.0254154	0.0315768	0.0425632	0.0849295
en	0.0174085	0.00862936	0.0103905	0.0116762	0.0138007	0.0154865	0.0196621	0.0217117	0.0198046	0.0234777	0.0471121	0.0255784	0.0243903	0.0247957	0.0387921	0.0378721	0.0243397	0.0456227	0.0560921	0.0420193	0.0467231	0.0383977	0.0397247	0.0331433	0.0283097	0.0309628	0.0329804	0.039237	0.0425934	0.0462201	0.0930456
route	0.0165054	0.0153007	0.0152477	0.0151979	0.0168954	0.0143209	0.0124806	0.00879133	0.00776348	0.00824195	0.0136126	0.00854363	0.00824984	0.00783272	0.0109057	0.0125136	0.0120329	0.0178874	0.0351169	0.0462147	0.0340347	0.0385776	0.037804	0.0504681	0.0440142	0.0482963	0.051324	0.0683264	0.0895996	0.0858413	0.148058
</S>	0.0236215	0.0185582	0.0135266	0.0143338	0.0291897	0.0124516	0.0198519	0.0122091	0.0173103	0.0191876	0.0218527	0.0174401	0.0198665	0.0172263	0.0263373	0.0297164	0.0235831	0.0363006	0.055704	0.0472959	0.0363989	0.0259382	0.0265003	0.0165213	0.0129252	0.0162488	0.0306484	0.0423179	0.0632172	0.0773386	0.176382
