 	s	á	b	á	s	i	á	n	ω	d	z	ó	m	i	b	á	o	k	w	é	é	m	i	p	á	b	h	a	y	é	a	d	í	n	d	a	</S>
parmi	0.00599861	0.0103893	0.0245388	0.0160933	0.020026	0.0280453	0.0148975	0.0270565	0.0354904	0.0308027	0.034071	0.037634	0.0359921	0.0452533	0.0417518	0.0418901	0.051114	0.0424281	0.0216949	0.0408983	0.0479526	0.0458808	0.0171858	0.0121602	0.0103256	0.0135542	0.00879905	0.00892577	0.0103284	0.0163269	0.0256477	0.0381709	0.034359	0.02709	0.0325737	0.0262889	0.0183643
tes	0.107339	0.0698671	0.0433132	0.0453414	0.060599	0.0460219	0.0363085	0.0394644	0.0323928	0.0252045	0.0195681	0.0153316	0.019965	0.0140076	0.035113	0.0241683	0.031567	0.0449763	0.0196728	0.0595058	0.0427766	0.0286393	0.0159183	0.0146507	0.00849782	0.0129025	0.00797999	0.00764406	0.00413124	0.00580889	0.0144401	0.00735273	0.00793756	0.00625048	0.00706675	0.00561902	0.0126566
dix	0.0468682	0.038188	0.0243055	0.0214852	0.0134025	0.0148171	0.0157994	0.0165669	0.0203504	0.0457744	0.0277861	0.0412397	0.0597924	0.0381668	0.0579663	0.0397072	0.0492065	0.0384544	0.0383587	0.0189979	0.0120685	0.00967061	0.0195878	0.007777	0.00929345	0.00869078	0.011162	0.0268484	0.0353331	0.0307673	0.0453514	0.0327564	0.0316503	0.0136962	0.016754	0.015191	0.0061681
femmes	0.025797	0.0250368	0.0165574	0.0247956	0.0157449	0.0183704	0.0293702	0.0180312	0.0193493	0.0414267	0.0457343	0.0536023	0.062038	0.0569658	0.0507297	0.045321	0.046718	0.0317667	0.0199174	0.0181497	0.0117427	0.0122439	0.0287904	0.0258507	0.024181	0.0180714	0.0326309	0.036207	0.0310103	0.0263838	0.0242053	0.00677666	0.00453897	0.00577872	0.00540826	0.0080028	0.032755
laquelle	0.00907523	0.00740195	0.00885464	0.0144881	0.0117801	0.0327435	0.0444958	0.0532879	0.0508014	0.0681569	0.0599195	0.0657111	0.073005	0.0549457	0.0549512	0.0347007	0.0364438	0.0333652	0.0130113	0.0464939	0.018248	0.0234679	0.0148904	0.0133852	0.0132424	0.00738376	0.0107613	0.0062973	0.00758043	0.0059586	0.0110178	0.0148551	0.0115916	0.00831431	0.0174091	0.0122509	0.0297131
sera	0.069398	0.032334	0.032255	0.043049	0.0209478	0.0269795	0.0276896	0.0225193	0.0216783	0.0339369	0.0330146	0.0424351	0.0425933	0.0321444	0.0310265	0.0304078	0.0315982	0.0220168	0.0168933	0.0163986	0.0188575	0.017604	0.0201811	0.00820907	0.00789292	0.00558425	0.00461196	0.00311505	0.00737797	0.0173879	0.0371675	0.0319874	0.016211	0.0504271	0.0325727	0.0319225	0.0595738
baisée	0.0631276	0.0324314	0.0283822	0.0187558	0.012386	0.0164538	0.0193844	0.0191986	0.0181684	0.0266085	0.0282469	0.0363156	0.0375359	0.0398461	0.0430619	0.0422291	0.0381981	0.0315938	0.0214229	0.0298334	0.0277728	0.0293929	0.0230648	0.0166475	0.0138269	0.0122153	0.0112539	0.0058336	0.00498356	0.005686	0.0166494	0.0262065	0.0195877	0.0328551	0.036609	0.0344292	0.0798055
aujourd'	0.0756933	0.0555315	0.0516205	0.0410445	0.01982	0.0287436	0.0300565	0.025993	0.0227509	0.0380554	0.0321822	0.042649	0.0404094	0.0421438	0.0414021	0.0397701	0.044279	0.0362945	0.0167304	0.0221197	0.0145444	0.027124	0.0231372	0.0131915	0.0113745	0.00671506	0.00477923	0.00224364	0.0026316	0.00486952	0.00885069	0.00877679	0.00603293	0.0131203	0.0134463	0.0180256	0.0738475
hui	0.186006	0.0577388	0.0541756	0.0394238	0.0239183	0.0241575	0.025027	0.0179056	0.0181748	0.0246809	0.0202589	0.0260476	0.0225174	0.019423	0.0243779	0.0223599	0.0210574	0.0198195	0.0227187	0.0234807	0.0239581	0.0201257	0.0322078	0.0266295	0.0192572	0.0144914	0.00776939	0.00659234	0.00747564	0.00937935	0.0133808	0.0134724	0.00981917	0.0217691	0.0149185	0.0148871	0.0505971
</S>	0.0945507	0.0548651	0.0398637	0.0249663	0.0176013	0.0123484	0.0118446	0.0119295	0.012121	0.0129169	0.0140324	0.0141208	0.0116603	0.00884574	0.0130968	0.0102696	0.00841819	0.00692046	0.00832159	0.00703792	0.0075311	0.0121083	0.0176733	0.0232399	0.0234761	0.0249969	0.0169829	0.0204463	0.0174536	0.0116643	0.0242158	0.0607312	0.0565125	0.0650932	0.0674394	0.0663542	0.0883495
