 	b	á	a	p	i	á	i	b	á	l	í	í	m	í	t	ó	a	</S>
pendant	0.0604928	0.154844	0.0937265	0.0699717	0.0760678	0.0329072	0.0288823	0.0261807	0.0259229	0.0263332	0.0336833	0.0381476	0.0528136	0.0621853	0.0688645	0.0439057	0.0636663	0.0414044
la	0.107905	0.0575368	0.0598711	0.0663247	0.0527479	0.0535854	0.0441809	0.0402777	0.0600814	0.048599	0.075401	0.0890583	0.0397952	0.0336127	0.0434123	0.0430089	0.0393379	0.0452642
pêche	0.130635	0.136356	0.118352	0.116376	0.0712417	0.0655046	0.050161	0.0579574	0.0365551	0.0283397	0.0185576	0.0237631	0.0308702	0.0254616	0.025338	0.0229895	0.0247246	0.0168172
au	0.138676	0.0661893	0.0707138	0.051259	0.0412286	0.0375675	0.0308219	0.0386214	0.0790571	0.0754374	0.0170198	0.0250661	0.0224626	0.0267751	0.050944	0.0522047	0.0721819	0.103774
panier	0.0235394	0.0198227	0.0182752	0.0177313	0.0267332	0.0318017	0.0375212	0.0435192	0.0465952	0.0471163	0.0434448	0.0527705	0.0979857	0.122613	0.139761	0.0561198	0.0667988	0.107851
on	0.0414659	0.0351978	0.0358851	0.0405778	0.0521711	0.0578532	0.0610817	0.0646289	0.0717906	0.0725975	0.0327564	0.0326754	0.0323534	0.0249345	0.0401429	0.0667039	0.0598547	0.177329
attrappe	0.0318052	0.0199488	0.0202534	0.0171368	0.0247539	0.028403	0.035548	0.0307785	0.0372761	0.0366968	0.0352985	0.0414437	0.0585595	0.0691453	0.112938	0.120404	0.124824	0.154787
des	0.070574	0.0406923	0.0423267	0.0346522	0.0511481	0.0367383	0.0257875	0.0232273	0.0254759	0.0311068	0.0277424	0.0289881	0.0300667	0.033148	0.0586765	0.0874845	0.0870276	0.265137
ibalii	0.0815271	0.0581761	0.0705373	0.048363	0.0308118	0.029619	0.0189191	0.0165122	0.0170564	0.0180426	0.0161732	0.0144004	0.0182842	0.0264055	0.0526986	0.143951	0.0879757	0.250546
</S>	0.126187	0.0481959	0.0537549	0.0415755	0.0830566	0.093003	0.0558339	0.053004	0.0514636	0.058761	0.0213998	0.0260576	0.0209702	0.0151379	0.0229999	0.0481995	0.0410445	0.139355
