 	m	w	á	s	í	y	a	n	g	á	b	ó	l	á	a	k	u	r	ú	r	á	a	t	ú	n	g	u	</S>
ma	0.0106481	0.00992634	0.00756158	0.00527761	0.00863489	0.00939799	0.00611916	0.016562	0.0160568	0.0267487	0.0322207	0.061501	0.0810287	0.0996151	0.117262	0.101614	0.0471568	0.0570017	0.0395127	0.0377076	0.0339281	0.0283125	0.0261234	0.0220975	0.025529	0.0282291	0.0244457	0.0197817
femme	0.188938	0.253623	0.1784	0.114885	0.0480883	0.0351043	0.023016	0.00814714	0.0103687	0.011504	0.0137387	0.00581114	0.00445753	0.000936886	0.00318224	0.00244046	0.0037652	0.00666161	0.00464369	0.00734042	0.0187231	0.0152731	0.0109553	0.0110976	0.00496429	0.00671655	0.00569792	0.00151978
est	0.0312569	0.0651209	0.0390348	0.0356555	0.0495869	0.0529474	0.0426423	0.0425231	0.0588447	0.0541208	0.0645354	0.0442385	0.108899	0.0231822	0.025355	0.0229076	0.0252873	0.0257022	0.0499222	0.0282069	0.0527892	0.0157419	0.0129204	0.00568524	0.00637469	0.00499528	0.00670787	0.00481613
en	0.013737	0.0145261	0.0120709	0.010471	0.0161874	0.0134228	0.0216336	0.0309698	0.0452681	0.0537165	0.0583362	0.0815613	0.0821417	0.07301	0.0592428	0.0477724	0.0434502	0.0587928	0.037571	0.0338854	0.0244516	0.0213811	0.00769561	0.0102035	0.0132463	0.0278214	0.0358325	0.051601
train	0.03423	0.0174931	0.0275323	0.0350679	0.0302594	0.029753	0.0328849	0.0277345	0.0270211	0.0320445	0.0251205	0.0345862	0.0374992	0.040454	0.0413295	0.0393119	0.0428518	0.0469579	0.0425215	0.0370838	0.0309286	0.0356593	0.0375059	0.0404684	0.039222	0.0409137	0.0414754	0.0520898
de	0.0754295	0.057005	0.0331341	0.0223652	0.028309	0.02706	0.0377099	0.059314	0.0573	0.0410801	0.0716736	0.0458366	0.0300154	0.0200697	0.0149058	0.0150703	0.013836	0.0154859	0.00721553	0.00696315	0.00708928	0.00751408	0.00980063	0.0107	0.0221112	0.0334726	0.0572099	0.172324
réchauffer	0.0328041	0.0265648	0.0176921	0.015186	0.0270105	0.0338435	0.0457017	0.0549076	0.0570152	0.0645379	0.043901	0.0371199	0.0272088	0.0293904	0.0184986	0.0134941	0.0170222	0.0267339	0.0229691	0.0384234	0.0445384	0.0383225	0.0223968	0.0186264	0.0312369	0.0411296	0.0587863	0.0949383
le	0.0761025	0.0428682	0.0391736	0.025775	0.0386386	0.0393615	0.0453145	0.0419456	0.0401131	0.0323771	0.0329055	0.0411367	0.0293988	0.038113	0.0238379	0.0179435	0.0129462	0.00972076	0.00790607	0.00899	0.0126627	0.0160322	0.0177628	0.0170754	0.0312233	0.0256535	0.0644385	0.170583
repas	0.10173	0.0650446	0.058948	0.0395895	0.0332407	0.0340788	0.0332859	0.0324263	0.0249877	0.0256717	0.0273486	0.0521749	0.0346872	0.0540249	0.0265154	0.0168695	0.00722181	0.00640063	0.00532369	0.00773909	0.0111349	0.0149207	0.0210437	0.0194247	0.033059	0.0308649	0.0626389	0.119604
</S>	0.156623	0.0990526	0.0939539	0.0669276	0.0542167	0.0732943	0.0414278	0.0270157	0.0252479	0.0155557	0.0160751	0.0156313	0.0102893	0.0161613	0.0110617	0.0064072	0.00501218	0.0128361	0.00915471	0.010333	0.0064411	0.0100813	0.0100402	0.0120868	0.0197167	0.0268401	0.039154	0.109363
