 	b	á	a	b	ω	n	g	ώ	e	y	a	l	á	l	á	m	i	t	e	t	é	m	a	m	á	n	g	ω	s	í	</S>
on	0.106101	0.138467	0.0758859	0.0697829	0.0179871	0.0118693	0.0211758	0.0181248	0.0339553	0.0390443	0.0465838	0.0566143	0.0374524	0.0394144	0.0258873	0.0256003	0.0174899	0.0339703	0.0157282	0.0203272	0.0194441	0.0159257	0.0148399	0.0114846	0.00982279	0.0103785	0.00955807	0.00996269	0.0110945	0.0204706	0.0155572
fabrique	0.0254316	0.0254407	0.0264708	0.018606	0.0541155	0.0392994	0.0388024	0.034613	0.0423538	0.0297034	0.0607167	0.0351303	0.0426897	0.0485778	0.0583621	0.0678471	0.0669952	0.049029	0.0412203	0.0309595	0.026063	0.0245478	0.0199692	0.0169507	0.018253	0.017035	0.0152174	0.00850447	0.0044774	0.00576482	0.00685287
l'	0.0233089	0.0302524	0.0265093	0.0163895	0.0207498	0.0179404	0.0211975	0.0252261	0.0274062	0.0423358	0.0487866	0.0499918	0.0480839	0.0547409	0.0516478	0.0458195	0.0462959	0.043505	0.0453773	0.0411303	0.033419	0.0322914	0.0248093	0.0237266	0.0205986	0.019794	0.018282	0.025567	0.0226426	0.0381516	0.0140232
eyalala	0.0145179	0.0234805	0.0300351	0.0323246	0.0404496	0.0390069	0.0328808	0.0237814	0.0278829	0.0322139	0.054155	0.0360602	0.0342326	0.032624	0.0255208	0.0321733	0.0243539	0.0337489	0.0183624	0.0250131	0.0368096	0.0514584	0.0458291	0.0408773	0.0435999	0.0425807	0.0384275	0.0216884	0.0171232	0.017077	0.0317111
avec	0.0132287	0.0149043	0.0168634	0.0141691	0.0180564	0.027136	0.0341951	0.0354401	0.0405066	0.0528993	0.0629291	0.0596801	0.0436922	0.0507443	0.0388808	0.0428038	0.0265024	0.0177762	0.0136639	0.0194425	0.0230543	0.0246648	0.0273933	0.0282594	0.0248799	0.030351	0.0259383	0.0331712	0.0389402	0.0285409	0.0712926
les	0.0238557	0.015524	0.0135618	0.0146041	0.0231734	0.0255213	0.0298396	0.0358265	0.0318148	0.0334895	0.0339439	0.0310296	0.0300642	0.0302456	0.029329	0.0289141	0.0270322	0.026996	0.0336278	0.0363867	0.0344938	0.0360965	0.036561	0.0360603	0.034588	0.0390165	0.0358016	0.0411307	0.0413089	0.0300722	0.0800907
fibres	0.0246868	0.0225089	0.021551	0.0221981	0.0233238	0.0217663	0.0202718	0.0181896	0.0153979	0.0126386	0.0113662	0.0135513	0.0129999	0.0122655	0.0122606	0.0114324	0.0112468	0.0135591	0.0206825	0.0258874	0.036445	0.0326166	0.0433696	0.0491756	0.049952	0.0497511	0.0669546	0.0733	0.0820219	0.0815585	0.0870707
de	0.0164575	0.0179648	0.0169175	0.0226612	0.0215656	0.0215206	0.0220974	0.0243507	0.0227307	0.021003	0.0226038	0.0227037	0.0230411	0.0253261	0.0220471	0.0217698	0.0195098	0.0179049	0.0233992	0.0234071	0.0179808	0.0153214	0.0184745	0.0209359	0.0220692	0.0331732	0.0517543	0.075772	0.107044	0.0931015	0.115392
lianes	0.0296166	0.0301981	0.0255931	0.0209883	0.0190148	0.0138798	0.011878	0.00889782	0.00765009	0.00717595	0.00689384	0.00690684	0.00674437	0.0067758	0.00683092	0.00729511	0.00916451	0.0102415	0.0103448	0.0113091	0.0181874	0.020288	0.03228	0.0350616	0.0495806	0.0658624	0.0840984	0.104118	0.102221	0.0928569	0.138046
</S>	0.0463969	0.0458162	0.0422322	0.0365261	0.032814	0.0253047	0.0221371	0.0207302	0.016816	0.0111126	0.00791959	0.00615432	0.00436889	0.00457794	0.00438195	0.00593448	0.00443117	0.00454728	0.00471632	0.00601389	0.0126117	0.0125151	0.0184083	0.020104	0.0319065	0.0462487	0.0658938	0.0734135	0.119343	0.0654689	0.181154
