 	t	s	i	m	b	a	b	ó	l	á	a	f	ú	r	á	é	t	á	b	h	e	y	í	b	v	ú	a	m	í	k	y	a	l	á	b	ó	y	a	</S>
tsimba	0.0187116	0.0250126	0.0111611	0.00737166	0.0079281	0.0175368	0.0237897	0.0375603	0.0694331	0.062898	0.0514062	0.0599447	0.0520614	0.0569613	0.0586955	0.0470551	0.0302966	0.0338308	0.021148	0.0172431	0.0110875	0.0100065	0.0081475	0.009829	0.0119036	0.010264	0.0123578	0.0130423	0.0120059	0.0112907	0.0133388	0.0151913	0.0199269	0.0187603	0.0234508	0.0250007	0.0226213	0.0241517	0.0175777
est	0.099674	0.10462	0.265246	0.205612	0.112282	0.0256537	0.0206746	0.0177191	0.0113705	0.0216141	0.00568606	0.00709905	0.00674124	0.00445952	0.00637067	0.00384099	0.003387	0.00116907	0.00138409	0.000418711	0.00114633	0.00296276	0.00112088	0.00113217	0.00295855	0.00252248	0.00482721	0.00577723	0.00593862	0.00939172	0.00832718	0.0104551	0.00681778	0.00186092	0.0033064	0.00211784	0.00258597	0.000810546	0.000917895
en	0.0272854	0.0422903	0.0385252	0.0375578	0.0683179	0.0999391	0.0795931	0.0713439	0.0624094	0.048122	0.023311	0.0244441	0.0233524	0.0243497	0.0262153	0.0217211	0.0222132	0.0205957	0.0120235	0.00946549	0.00836337	0.00819402	0.00945169	0.0094332	0.015073	0.0117628	0.0103913	0.00972225	0.00795613	0.014772	0.0127449	0.016771	0.0174065	0.00811752	0.0166838	0.0125173	0.0107038	0.00887396	0.0079861
train	0.0234103	0.0308915	0.0435995	0.0427183	0.0518208	0.0425388	0.0270899	0.022729	0.0192151	0.0158267	0.00974629	0.00679596	0.00919345	0.0123465	0.0171305	0.0154562	0.0199034	0.0189257	0.0204976	0.0166776	0.0189669	0.0267411	0.01905	0.0168081	0.0241383	0.0313702	0.042577	0.0346135	0.0331543	0.0438799	0.0397731	0.0358191	0.0249795	0.0224607	0.0327105	0.0187672	0.0225546	0.0209061	0.0242168
de	0.0359113	0.0252664	0.021411	0.0187426	0.019898	0.0196405	0.0230818	0.0328546	0.0399564	0.0490711	0.029883	0.0530171	0.0434369	0.0428482	0.0344766	0.0221076	0.0190791	0.0149821	0.0159	0.0210113	0.0199764	0.0215472	0.0360222	0.028294	0.0257576	0.0304367	0.0298899	0.0251913	0.0153942	0.0180778	0.0176966	0.0162614	0.0130419	0.0119432	0.011084	0.00855528	0.0156913	0.0145922	0.057971
fléchir	0.0440652	0.013321	0.0158879	0.0214611	0.0345787	0.0240077	0.019811	0.0184873	0.0133125	0.020156	0.0220102	0.030916	0.0538522	0.0528162	0.0588751	0.0443448	0.0341733	0.0313094	0.0254492	0.0195939	0.020725	0.0229883	0.0254016	0.0210206	0.0242691	0.0253297	0.0288567	0.0301679	0.0261876	0.0254604	0.0248314	0.0193714	0.0149722	0.0133209	0.0116301	0.00793468	0.0111276	0.0138535	0.0341225
une	0.0455278	0.0274692	0.0280148	0.0291355	0.0220356	0.0178459	0.015296	0.00600819	0.00481238	0.00547544	0.00553429	0.00511172	0.00548287	0.00658604	0.00927141	0.0116833	0.0173954	0.0422008	0.0614346	0.064555	0.0742336	0.0793062	0.0777717	0.0607839	0.0425893	0.0409813	0.0299247	0.0276624	0.0232039	0.0211333	0.0158826	0.00848027	0.00711765	0.00808137	0.006771	0.00615414	0.00946335	0.00911129	0.0204718
branche	0.0249818	0.0146225	0.0140547	0.0146006	0.0125399	0.00632498	0.00506268	0.00508922	0.00450541	0.00866161	0.0075116	0.0073832	0.0142448	0.0145469	0.0139632	0.0143622	0.0136589	0.0223481	0.0248692	0.027175	0.0278464	0.0271972	0.0270828	0.0343519	0.0343054	0.0453054	0.0662644	0.0614938	0.0453178	0.0497894	0.0381616	0.0356526	0.0296284	0.0287456	0.023994	0.0221534	0.0345865	0.0254815	0.0721354
d'	0.0494954	0.022194	0.0178627	0.00763186	0.00570206	0.00716885	0.00587398	0.00498161	0.00735708	0.009923	0.0084945	0.00793159	0.00666495	0.00579745	0.00634205	0.00851407	0.0131487	0.0315915	0.0472498	0.0793514	0.0471671	0.0380161	0.0863698	0.106498	0.0729122	0.0643809	0.0208519	0.0242226	0.0128183	0.0171688	0.0176822	0.010196	0.00739832	0.010839	0.0131841	0.0112432	0.0129335	0.0202909	0.0525508
arbre	0.0511958	0.0224328	0.0278495	0.0292305	0.016667	0.0103842	0.006896	0.00332581	0.00378878	0.0046368	0.00462717	0.00518449	0.0064017	0.00751142	0.00977015	0.0118723	0.0150194	0.0321278	0.0410057	0.0491361	0.0429716	0.039631	0.0622664	0.0653295	0.0514458	0.0617368	0.0538837	0.0370306	0.0195328	0.0177192	0.0137155	0.0124839	0.00896365	0.013984	0.015105	0.0147085	0.023592	0.024673	0.062164
