 	e	l	é	b	h	í	í	l	í	y	é	é	l	é	b	h	í	í	n	g	á	m	w	á	n	a	é	d	i	e	s	ó	n	g	í	s	í	</S>
la	0.0123996	0.0117177	0.0139407	0.0152196	0.00902789	0.00700004	0.0155082	0.0198955	0.0414005	0.0571956	0.10493	0.0669433	0.016816	0.0234043	0.0209535	0.016679	0.0224186	0.0275925	0.024224	0.0182001	0.0190316	0.0250862	0.0224556	0.01749	0.0194761	0.0211511	0.0162399	0.0162223	0.0242272	0.0213236	0.0249962	0.0280689	0.0227995	0.0247633	0.0392753	0.0408157	0.0352191	0.0358921
manière	0.0169356	0.0152738	0.018246	0.0222642	0.031438	0.0428701	0.0584944	0.102087	0.126542	0.094281	0.0902045	0.0890964	0.0244192	0.0287299	0.0231138	0.0231603	0.0283519	0.0147601	0.0110784	0.0049222	0.0101092	0.0242935	0.0139915	0.00624303	0.00820942	0.0140123	0.00420312	0.00485168	0.00979122	0.0100552	0.00357573	0.00632623	0.00421036	0.00540006	0.00402879	0.00252203	0.00110819	0.000799548
dont	0.125547	0.0462185	0.0473843	0.0374047	0.0253957	0.0184871	0.0142737	0.0133649	0.00813631	0.00900361	0.0146075	0.0264009	0.0342699	0.0452234	0.0489264	0.0440512	0.0712886	0.0426078	0.0223865	0.0292046	0.0210778	0.0241249	0.0369192	0.016285	0.0123932	0.0125687	0.0185672	0.012025	0.00855704	0.0112298	0.00951853	0.0112175	0.0113186	0.0117406	0.0163711	0.0152768	0.0122234	0.0144029
mon	0.0436942	0.0381941	0.0448664	0.0328476	0.022438	0.0134878	0.00590515	0.00316754	0.00559955	0.00800548	0.0163876	0.0126185	0.0116059	0.0424201	0.0228577	0.0322759	0.0632794	0.0648987	0.0458654	0.0459308	0.0292694	0.032623	0.0350841	0.0222407	0.0233298	0.0366074	0.0288491	0.0200708	0.0112058	0.0123727	0.0109212	0.0150987	0.0242144	0.0162034	0.0187833	0.0183379	0.0162254	0.0522169
fils	0.0340293	0.031943	0.027747	0.0329337	0.044509	0.0270644	0.0283257	0.0165853	0.0131248	0.0142477	0.0225314	0.0322102	0.0476125	0.0755352	0.0803185	0.0717146	0.0838195	0.0508647	0.0402881	0.0394019	0.0264009	0.0179811	0.0129359	0.00992675	0.0157914	0.0122109	0.0165787	0.010189	0.00766648	0.00638278	0.00485075	0.00450156	0.00358803	0.00463819	0.00420746	0.00621952	0.00602632	0.0150979
s'	0.0314012	0.0285492	0.0322853	0.0440367	0.0629305	0.0549202	0.0378254	0.0334624	0.0250032	0.0194203	0.0265203	0.0192871	0.0226954	0.0229945	0.0502349	0.026742	0.0441296	0.045923	0.0319603	0.044416	0.0317755	0.0213328	0.0230965	0.0183723	0.024558	0.0179073	0.024917	0.0153776	0.0137922	0.0110762	0.0113697	0.0119401	0.0093664	0.0118516	0.010402	0.0126674	0.0106624	0.0147974
est	0.0393388	0.0344032	0.0270333	0.0277279	0.0285006	0.0167782	0.017686	0.0136398	0.0112197	0.0114707	0.0137516	0.00882218	0.0140911	0.0274259	0.0305918	0.0293319	0.0275628	0.0342779	0.0382817	0.040821	0.0429221	0.0572365	0.0275926	0.0457646	0.0344869	0.0260319	0.0193243	0.013786	0.0160905	0.0149474	0.0133029	0.0156781	0.0189527	0.0272169	0.020046	0.0270221	0.0266309	0.0602114
noyé	0.0445926	0.0249511	0.0217118	0.0139523	0.0104254	0.00765915	0.00937003	0.00848812	0.00687844	0.00758186	0.00991288	0.0114755	0.0152251	0.022234	0.0300412	0.0349786	0.034253	0.0298103	0.0300315	0.0405215	0.0317176	0.0281698	0.0158378	0.0342072	0.0344741	0.0289111	0.0196809	0.0182097	0.0224569	0.0246251	0.0287644	0.0293117	0.0268932	0.0383904	0.0434722	0.0402697	0.0388585	0.0816555
c'	0.0599841	0.0559736	0.0482448	0.0468346	0.0345887	0.035186	0.0292054	0.0319744	0.033136	0.0346218	0.0375732	0.0296749	0.0313369	0.0400037	0.0554465	0.0505025	0.0374969	0.0262572	0.0164031	0.0309485	0.0192828	0.0126286	0.0043566	0.0121845	0.00655233	0.00358086	0.00336875	0.00331994	0.00298551	0.00356432	0.0030433	0.00412186	0.00510058	0.00692711	0.00636249	0.0114148	0.0176757	0.108137
est	0.0509738	0.038397	0.0511004	0.0563431	0.0586534	0.0585712	0.0393076	0.0234617	0.0146271	0.011652	0.0161942	0.0176366	0.0205378	0.0187709	0.0196161	0.018582	0.0158788	0.0277874	0.0233516	0.0296439	0.0319452	0.0280823	0.0130902	0.0201061	0.0112044	0.00922033	0.0069885	0.00907859	0.00845989	0.0121273	0.0156938	0.0163996	0.0217017	0.0304877	0.0230782	0.0230688	0.0260344	0.0821463
par	0.13471	0.0676479	0.0413177	0.0156931	0.00579066	0.00451872	0.00314325	0.0023753	0.00243627	0.00261876	0.00395687	0.00525173	0.0192633	0.027689	0.0359247	0.0420002	0.0247139	0.0204314	0.0198446	0.0201163	0.0242704	0.0335195	0.00909058	0.0252635	0.0158156	0.0162781	0.0075907	0.00828879	0.0105857	0.014023	0.0179806	0.0217778	0.0182829	0.0434189	0.0257967	0.0313318	0.0473993	0.129843
