 	a	s	ú	u	á	d	i	m	á	k	ó	ó	y	a	n	g	o	n	d	a	y	á	b	í	s	í	</S>
il	0.0931733	0.0850118	0.0371047	0.0369797	0.0603918	0.0522209	0.051986	0.0487131	0.0373516	0.0349437	0.0397748	0.0528588	0.0559726	0.0504904	0.0448533	0.0337162	0.0239431	0.0148428	0.0137613	0.0118072	0.014794	0.0151873	0.016713	0.0164257	0.0197491	0.0206608	0.016573
y	0.0581621	0.120716	0.122882	0.10219	0.0876702	0.056034	0.0438221	0.0348913	0.0412289	0.033925	0.0162282	0.0221095	0.00628184	0.00654194	0.00913211	0.0362061	0.0511375	0.0342691	0.0188025	0.0163149	0.0150925	0.0168911	0.0105467	0.0049902	0.00769747	0.00973481	0.016501
a	0.0461266	0.0416784	0.0479693	0.0272895	0.0167882	0.0252331	0.0248812	0.0301811	0.066486	0.0881245	0.0487403	0.0500257	0.0500212	0.0663079	0.0713517	0.0409347	0.0400081	0.0169507	0.0201132	0.0162267	0.0222269	0.0234414	0.0275594	0.0237179	0.0221207	0.0204652	0.0250302
des	0.0202763	0.0343344	0.0317926	0.0282193	0.026012	0.0371907	0.0359721	0.0303452	0.0309708	0.062187	0.0862383	0.0752056	0.0569354	0.0744901	0.076282	0.0450512	0.0448375	0.035068	0.0216222	0.0167399	0.0135887	0.0143115	0.0163497	0.0181362	0.0202993	0.0223527	0.0251913
fourmis	0.0355143	0.0362725	0.0448092	0.0392841	0.0382405	0.0378294	0.0419963	0.0676842	0.0646041	0.0502854	0.0242894	0.0276966	0.0304382	0.0222371	0.0201595	0.0244425	0.0280482	0.0281043	0.0264408	0.0270782	0.0350913	0.0414891	0.0383576	0.0312577	0.032757	0.0382817	0.0673107
magnants	0.0302107	0.024488	0.0148809	0.0150743	0.0128237	0.0121421	0.0137808	0.0156314	0.0170252	0.012108	0.00777372	0.008207	0.00832697	0.0063213	0.011335	0.0229372	0.0325141	0.0382301	0.0545701	0.0501342	0.0571017	0.085948	0.0900432	0.068388	0.0875115	0.0979592	0.104534
sur	0.0803686	0.0737125	0.0548149	0.0480541	0.0463613	0.0459441	0.0487367	0.048746	0.0229025	0.0126696	0.0111051	0.012218	0.00851931	0.011692	0.0158955	0.0326137	0.0462884	0.0366235	0.0325256	0.0383208	0.0300252	0.0440428	0.0426281	0.0248764	0.0312336	0.0433829	0.055699
le	0.0159048	0.0181762	0.0226661	0.0272934	0.0276387	0.0303408	0.0314107	0.0281192	0.0267989	0.0201766	0.0254405	0.0284975	0.0253301	0.0240037	0.0247364	0.0234921	0.0184152	0.026626	0.0280788	0.030433	0.0437231	0.050173	0.0568256	0.0614538	0.0771343	0.0922053	0.114906
chemin	0.0216575	0.0259683	0.0293361	0.0309813	0.0289382	0.0179247	0.0133864	0.0128657	0.0125011	0.00999815	0.0108806	0.0116272	0.0106555	0.0110975	0.0178275	0.0213648	0.0235993	0.0221068	0.039111	0.0286292	0.0415434	0.0767901	0.0937539	0.0624352	0.0857807	0.106711	0.132528
de	0.0264331	0.0220248	0.0201388	0.0216676	0.0220404	0.0196891	0.0178867	0.0158641	0.0193647	0.0169274	0.012625	0.0128752	0.00749245	0.00981968	0.0146272	0.015676	0.0275016	0.039298	0.0465771	0.0414451	0.0490925	0.0616753	0.0581554	0.0791603	0.085606	0.113697	0.122639
notre	0.030346	0.0210712	0.0149974	0.0158618	0.016044	0.00960658	0.00414253	0.00198882	0.00326363	0.00176209	0.00289428	0.00269494	0.00224266	0.00311832	0.00717505	0.0116503	0.0404333	0.044625	0.0614865	0.050264	0.0677803	0.0911524	0.0962491	0.10041	0.0953679	0.104625	0.0987478
champ	0.0237503	0.0213368	0.0210099	0.0228597	0.0201869	0.00532849	0.00250591	0.00147021	0.00188705	0.0014778	0.00302314	0.00326336	0.00182452	0.0035778	0.0082952	0.0126499	0.0267159	0.0274956	0.058836	0.0516332	0.0720446	0.0857097	0.0851043	0.0856908	0.0996255	0.122047	0.13065
</S>	0.0424165	0.0393732	0.0303164	0.0376792	0.0392509	0.0190277	0.0103643	0.00568105	0.0126218	0.00842285	0.011365	0.00938616	0.00494409	0.00446145	0.00589308	0.0118241	0.029134	0.0376688	0.0474644	0.0644977	0.0681703	0.0596146	0.0601053	0.0796331	0.0796954	0.0782465	0.102742
