 	a	n	d	z	é	s	i	b	á	a	b	o	m	á	a	b	y	o	m	ó	m	é	y	a	</S>
les	0.17333	0.0894871	0.0202504	0.00791242	0.0122953	0.0191126	0.014098	0.0345052	0.0432272	0.0588171	0.055204	0.0463563	0.0732741	0.0535988	0.0552564	0.0378632	0.0230241	0.0170266	0.0194424	0.020587	0.0261799	0.0280047	0.0274452	0.0260307	0.0176711
enfant	0.0385148	0.045055	0.100071	0.123764	0.13056	0.102948	0.0513428	0.0360766	0.0478104	0.0404552	0.0471088	0.052977	0.0256443	0.0125649	0.0107215	0.0136432	0.00852642	0.0135474	0.0180783	0.0165199	0.0184224	0.0158242	0.0156666	0.00988761	0.00426947
ont	0.0265651	0.0230038	0.0451678	0.0324536	0.0348226	0.0336239	0.0420498	0.0723561	0.066665	0.0577765	0.0670279	0.089899	0.0552251	0.0670441	0.0450435	0.0312881	0.0324886	0.0333227	0.03722	0.025099	0.0220422	0.0182325	0.0181936	0.0134843	0.00990506
l'	0.00944451	0.0178666	0.021686	0.0151938	0.0152308	0.0270096	0.0311629	0.0307931	0.0401901	0.0463606	0.0476377	0.0547436	0.0473847	0.0412559	0.0574603	0.0595684	0.0877775	0.0657154	0.0605972	0.0392505	0.042276	0.0378049	0.0351128	0.036731	0.0317462
habitude	0.0298119	0.0310505	0.0449586	0.0397365	0.0395673	0.0445002	0.0409536	0.0365038	0.0576271	0.0499478	0.0432366	0.0400496	0.0499249	0.0499895	0.0333083	0.0335633	0.0308448	0.0321701	0.0355188	0.0360762	0.0347213	0.0345262	0.0364287	0.0358959	0.0590883
de	0.128966	0.0612867	0.068092	0.0743046	0.0520671	0.063341	0.0586151	0.0535897	0.102928	0.0715395	0.0372749	0.0258576	0.0123743	0.00417607	0.00749606	0.00616476	0.00626844	0.00828551	0.00826751	0.0121757	0.0116833	0.0176575	0.0152477	0.0249387	0.0674023
capturer	0.0261319	0.0133191	0.014272	0.014775	0.0161485	0.0187082	0.0196751	0.019581	0.0238926	0.0254669	0.0146537	0.0142458	0.0178213	0.0235605	0.0486065	0.0685405	0.0755052	0.0714639	0.0725537	0.0748299	0.062797	0.0567816	0.0462882	0.0720912	0.0882908
les	0.0789706	0.0477632	0.0541682	0.062884	0.063682	0.0410328	0.0529175	0.027112	0.0375779	0.0455776	0.0166234	0.00911838	0.00962714	0.00624571	0.00981691	0.0145165	0.0144054	0.0222131	0.0309781	0.0274573	0.0281431	0.0299615	0.0262995	0.0397421	0.203166
abyo	0.100557	0.0906698	0.091758	0.0616343	0.0291997	0.0151101	0.0174693	0.0127784	0.0177124	0.0179901	0.0119822	0.00781081	0.00730263	0.00515973	0.00787193	0.0210011	0.0252381	0.0283918	0.0277522	0.0318298	0.0403673	0.0525381	0.0754639	0.0626857	0.139725
dans	0.0973927	0.0909016	0.137775	0.0628048	0.0346013	0.0158744	0.0145423	0.0115132	0.0133087	0.0131093	0.0125269	0.00908801	0.00932914	0.00632859	0.00833975	0.0184818	0.0233397	0.0235777	0.029741	0.0301076	0.0382392	0.047641	0.0609462	0.0747942	0.115696
les	0.0701081	0.0664709	0.0937425	0.0881844	0.0476415	0.0239133	0.0208299	0.0162082	0.0201124	0.0188473	0.0143319	0.00812478	0.00697205	0.00520612	0.00617687	0.0116712	0.0149841	0.0207283	0.0399354	0.0214614	0.0331305	0.0372288	0.0364845	0.0462936	0.231212
pièges	0.0552515	0.0614641	0.0680029	0.0743023	0.0399421	0.0231282	0.0207277	0.0147151	0.0143334	0.0123079	0.0100697	0.00913127	0.00822114	0.00566568	0.00629987	0.0132237	0.0163317	0.0274044	0.0347406	0.0269437	0.0481212	0.0689031	0.0807334	0.06362	0.196415
</S>	0.109894	0.126724	0.131451	0.112571	0.0798497	0.0362092	0.030101	0.0176174	0.0161666	0.00887451	0.00766572	0.00406614	0.00236385	0.00147276	0.00179512	0.00503732	0.0109072	0.0139793	0.0148117	0.0155155	0.0185521	0.0214447	0.0228723	0.0320219	0.158036
