 	m	v	ú	á	y	e	e	b	h	ó	n	d	í	m	í	l	a	p	ó	a	á	l	e	s	i	i	w	ó	m	á	</S>
la	0.0138071	0.0227067	0.0219516	0.0192405	0.0160109	0.0188759	0.0204665	0.0285759	0.039456	0.0319532	0.0570891	0.0910983	0.0692095	0.0448889	0.0357124	0.0226828	0.0179613	0.0155629	0.0243471	0.01538	0.0226601	0.0218815	0.0214717	0.0241034	0.0325857	0.0444308	0.0375115	0.0362619	0.0525935	0.0464794	0.0330441
pluie	0.0397109	0.0666412	0.131054	0.0713918	0.0779223	0.151317	0.0515339	0.0372184	0.0331711	0.0476834	0.0230235	0.012648	0.00758192	0.00881342	0.00656524	0.0168982	0.0154339	0.0290146	0.0308085	0.0111654	0.00914896	0.0304603	0.0145261	0.0162394	0.0180454	0.0161671	0.00766929	0.00628283	0.00684054	0.00374365	0.00127939
qui	0.106104	0.0497918	0.0239575	0.0149458	0.00848488	0.00583357	0.0101205	0.00619223	0.00643311	0.0108917	0.0227714	0.0509104	0.0614552	0.0707159	0.068147	0.0487146	0.0611974	0.0481273	0.0688826	0.05008	0.0365059	0.0271871	0.0224493	0.0293092	0.0161623	0.0199471	0.00746901	0.0121191	0.00841637	0.017713	0.00896531
est	0.0158334	0.0169335	0.035606	0.0597238	0.0600277	0.0554439	0.0587321	0.0460425	0.032314	0.0384253	0.0188965	0.01497	0.0159088	0.0161267	0.0491134	0.0438046	0.058195	0.0666974	0.0499387	0.0730462	0.023508	0.0159122	0.0101341	0.014309	0.00872441	0.0162652	0.0102386	0.019503	0.00870869	0.0200874	0.02683
tombée	0.0872028	0.0592588	0.0465441	0.0417354	0.0313586	0.0272764	0.0231774	0.0222263	0.0191825	0.0212796	0.0221842	0.0182667	0.0170029	0.0166615	0.0405938	0.0304735	0.0565271	0.0376928	0.0444215	0.0406288	0.0208911	0.0402084	0.0257419	0.0230617	0.027905	0.0333983	0.0271741	0.0198154	0.0199283	0.0245314	0.0336495
hier	0.0496817	0.0328869	0.0380417	0.0427738	0.0339387	0.0247485	0.018845	0.0213089	0.0117333	0.00947499	0.00745806	0.0166189	0.0164907	0.0283404	0.0649353	0.056396	0.0627936	0.0863495	0.0547252	0.0721568	0.0299833	0.0398733	0.0179755	0.02406	0.0160943	0.0193809	0.0167854	0.0209444	0.0108478	0.0167248	0.0376326
a	0.0316942	0.0246773	0.0269468	0.029089	0.0341883	0.0241698	0.0246113	0.0263496	0.016193	0.0138452	0.0105859	0.0252047	0.0229515	0.0367705	0.0547599	0.0410387	0.0325302	0.0698493	0.053954	0.0526729	0.0574883	0.0410694	0.0349846	0.0445025	0.0274648	0.0190346	0.0183625	0.0211877	0.0256576	0.0223616	0.0358043
fait	0.0762636	0.0411243	0.0251132	0.0211291	0.0251705	0.0205951	0.0205124	0.0210198	0.0186861	0.0164406	0.0164587	0.0313794	0.0306584	0.0435006	0.0652521	0.0550153	0.0421522	0.0438893	0.0288789	0.0198233	0.0318077	0.0153872	0.0157069	0.0152535	0.0222616	0.0254307	0.0357923	0.0281304	0.0437896	0.0423365	0.0610407
déborder	0.106383	0.0451454	0.0263042	0.0232686	0.0204928	0.0151343	0.014105	0.0143466	0.0120144	0.00961433	0.0105339	0.0187904	0.0187206	0.0256223	0.0483318	0.0324965	0.0418988	0.0455829	0.0306825	0.0394127	0.0455587	0.0293703	0.0346077	0.0369757	0.028246	0.028828	0.0324798	0.0281554	0.0334225	0.0412357	0.0622388
le	0.0226867	0.0253354	0.0256081	0.0255954	0.0337474	0.0222944	0.0241374	0.0204377	0.0169123	0.0170799	0.0125468	0.0199761	0.0185964	0.0144846	0.0191012	0.0211277	0.0210945	0.0393219	0.0191647	0.023217	0.0248288	0.0334629	0.0505081	0.053358	0.0501068	0.0493861	0.0465896	0.0340547	0.0532473	0.0521194	0.109873
ruisseau	0.0270179	0.0291208	0.0290014	0.0307451	0.0317861	0.02233	0.0186378	0.0190361	0.0233357	0.0268379	0.0137512	0.0180979	0.0185946	0.0213381	0.0239119	0.0252575	0.0275399	0.0424758	0.0234634	0.0209111	0.0181313	0.0182735	0.0244076	0.0253807	0.0365498	0.038245	0.0420418	0.0401657	0.0761765	0.0658537	0.121584
vouma	0.0442765	0.0373421	0.0411092	0.0402615	0.0422361	0.0242444	0.0179784	0.0151788	0.0119264	0.0152754	0.00831413	0.00641169	0.00764431	0.00895144	0.0156382	0.022719	0.0330156	0.0222701	0.0152618	0.0206488	0.0146545	0.0119042	0.017026	0.0196558	0.0226695	0.0272217	0.0511477	0.0359771	0.0803671	0.086274	0.182399
</S>	0.0649145	0.0475183	0.0384566	0.0329232	0.0276877	0.0160006	0.0171475	0.0151326	0.0079723	0.00818459	0.00667742	0.00632558	0.00902528	0.00715734	0.012116	0.0119819	0.0162208	0.0144254	0.0164696	0.0160071	0.0176342	0.0226348	0.0253384	0.0317414	0.0311595	0.0325341	0.0456549	0.0521123	0.0542963	0.101826	0.192724
