 	w	á	á	n	ω	o	k	o	n	g	í	í	o	t	í	i	s	í	w	a	l	á	a	y	a	a	w	a	a	n	ω	ω	p	ε	l	í	o	t	é	m	a	w	a	l	á	a	y	a	a	</S>
si	0.145957	0.118531	0.0968682	0.0909529	0.037029	0.0344013	0.0186297	0.0148486	0.0193337	0.0150072	0.0158048	0.0144778	0.0166117	0.0164783	0.0148922	0.0162613	0.0143562	0.0267019	0.0147655	0.0189519	0.012315	0.00693449	0.0144888	0.00539961	0.00327014	0.00547153	0.00678181	0.00370935	0.0089528	0.00916953	0.00727066	0.00706223	0.00760419	0.00474333	0.00481242	0.00260561	0.00275995	0.00321625	0.00358114	0.00599725	0.00687906	0.00820497	0.00622097	0.0079381	0.0147883	0.0146548	0.0164719	0.0109411	0.0163567	0.0105373
tu	0.142573	0.0865004	0.0594592	0.0464458	0.0666133	0.0393943	0.0466155	0.0270621	0.0291423	0.0263476	0.0149824	0.0122062	0.0158285	0.00938827	0.00986886	0.00884513	0.00859364	0.0231731	0.0159556	0.0265791	0.0290108	0.0177854	0.0148439	0.0120079	0.0100655	0.0176563	0.0169537	0.0068602	0.00606958	0.0138163	0.00620674	0.00789188	0.00529624	0.00317061	0.00940488	0.0070878	0.00474614	0.00411952	0.00462096	0.00496506	0.00917647	0.00428069	0.0057939	0.00462818	0.0068101	0.00589778	0.00767343	0.0154711	0.0104308	0.0116833
attends	0.0234415	0.0123867	0.0103225	0.0188751	0.0306706	0.0226803	0.0352482	0.0421144	0.0382627	0.0635531	0.0490936	0.0566784	0.0436617	0.0248011	0.0220973	0.019949	0.0234157	0.0267702	0.0142055	0.0183488	0.0103463	0.0114838	0.00875932	0.00787003	0.00367553	0.0105191	0.0186051	0.00815054	0.00874423	0.00874243	0.00934999	0.00932423	0.0106349	0.00666022	0.0041241	0.00463106	0.00347242	0.00462354	0.00883291	0.012661	0.0187371	0.0353848	0.0175404	0.017376	0.0317422	0.0236585	0.0306447	0.0256315	0.021477	0.0100204
encore	0.0310226	0.0201003	0.01128	0.0339173	0.0230537	0.029643	0.0322168	0.0520135	0.069053	0.0301312	0.0184495	0.0181017	0.0304315	0.0159023	0.0299961	0.036501	0.0243453	0.0434297	0.00853027	0.0309265	0.0195627	0.013508	0.0104405	0.0205355	0.0102115	0.0145193	0.0142701	0.00924776	0.0187577	0.0110336	0.0158654	0.02605	0.0284104	0.018431	0.0146646	0.0127193	0.0158854	0.0137853	0.00867048	0.0123584	0.00876076	0.0105221	0.0070042	0.0044573	0.00811438	0.00879751	0.00868091	0.00949029	0.010086	0.0261142
un	0.0114238	0.00928509	0.0115246	0.0136917	0.0175848	0.0175552	0.0321513	0.0246798	0.0296182	0.0644583	0.0186985	0.0201615	0.0121115	0.0333758	0.0339326	0.0370903	0.0330254	0.0264963	0.0153516	0.0102271	0.0113139	0.0103013	0.00667814	0.0112834	0.0114443	0.0122925	0.00789656	0.0163483	0.0111913	0.0101264	0.0088104	0.011993	0.0128855	0.014862	0.00922762	0.00777368	0.00726806	0.00542589	0.008942	0.0127193	0.0127207	0.0127659	0.0295548	0.0137512	0.0367241	0.0272308	0.0549843	0.0357402	0.0277472	0.0675536
peu	0.0197441	0.015202	0.0188392	0.0170039	0.027417	0.0271975	0.0389173	0.0449407	0.040408	0.0440176	0.0241926	0.020802	0.0121883	0.00896813	0.0123566	0.00867431	0.00853506	0.0155537	0.00723428	0.0150606	0.0154507	0.0125065	0.0103988	0.0111444	0.0121987	0.0162206	0.0091049	0.013106	0.0163343	0.0122401	0.01457	0.0210465	0.0129784	0.0116628	0.00937869	0.0105622	0.0115562	0.00883709	0.0168591	0.0120075	0.0149968	0.00872833	0.0121182	0.0151725	0.0167928	0.0123635	0.0222332	0.0336897	0.0618717	0.116617
il	0.0377884	0.0247136	0.0153828	0.0289144	0.0452631	0.0266072	0.0493353	0.0487809	0.0700997	0.0743655	0.0403848	0.0358056	0.0167486	0.012959	0.0144863	0.0214361	0.0198032	0.0142541	0.00955175	0.0152928	0.0132127	0.0132686	0.0135408	0.0152305	0.0125926	0.0158051	0.0153402	0.0159068	0.0133011	0.0155521	0.0133234	0.0146686	0.0135921	0.011738	0.0117223	0.00569787	0.0063838	0.00544793	0.00528183	0.00705738	0.00684894	0.00375613	0.00480428	0.00284442	0.00969856	0.00589177	0.0143001	0.014625	0.0209302	0.0556639
va	0.0277354	0.0242712	0.0159671	0.0359043	0.0401293	0.0282023	0.0419968	0.0417328	0.0453467	0.0360199	0.0269098	0.0315	0.0244068	0.0250587	0.0181657	0.00981706	0.0124626	0.0142519	0.0104155	0.0248281	0.0188444	0.019935	0.0172344	0.0196377	0.0175322	0.0190308	0.0146915	0.015631	0.0159003	0.0143977	0.0134488	0.0202012	0.0117285	0.00994757	0.00928413	0.00525862	0.00531378	0.0045791	0.0114113	0.0175328	0.0122134	0.00379227	0.0072257	0.00384685	0.0127764	0.00681031	0.0177984	0.0177007	0.0272149	0.0739583
venir	0.0200282	0.0167591	0.0176635	0.0258738	0.0244874	0.0269622	0.031016	0.0450951	0.0561694	0.0247245	0.0156594	0.0176545	0.0130792	0.0148151	0.017085	0.0124781	0.0100236	0.0168071	0.0114126	0.0244419	0.0380067	0.0192251	0.0170633	0.0172964	0.0221509	0.0145897	0.013468	0.0128134	0.0155883	0.0152285	0.0130634	0.0246637	0.0146921	0.0116466	0.0185698	0.0138236	0.0129238	0.00977585	0.0156456	0.0177046	0.0177796	0.00764059	0.0120789	0.00862259	0.0178469	0.010831	0.0217711	0.0258145	0.0266161	0.0708236
</S>	0.0186737	0.0166848	0.0162368	0.0170641	0.0173012	0.0220643	0.0287124	0.0311801	0.0584442	0.0158215	0.0122014	0.0151116	0.00787064	0.0132934	0.0149616	0.0200876	0.0104295	0.0146102	0.00992533	0.0211692	0.0155783	0.011381	0.00943314	0.00952838	0.0108696	0.00962878	0.0093844	0.010352	0.0181732	0.0133425	0.0151261	0.0231754	0.0169782	0.0139138	0.0124895	0.00891385	0.00981232	0.0097087	0.0128348	0.021232	0.0223896	0.019129	0.0155246	0.0182622	0.0295215	0.029243	0.0393419	0.0620746	0.0332535	0.0875604
