 	b	á	n	a	b	á	n	d	z	é	s	i	b	á	á	m	i	p	ε	r	í	s	έ	k	á	s	i	m	é	l	é	n	g	é	</S>
ces	0.0457484	0.0954211	0.0726763	0.0139724	0.0230762	0.0294083	0.0560706	0.03632	0.0594129	0.0419282	0.0449747	0.03419	0.0625164	0.0719197	0.0259729	0.0184694	0.0146802	0.0144506	0.0157708	0.0184115	0.0165871	0.0101413	0.0160454	0.0180584	0.0197602	0.0139617	0.0093174	0.00741195	0.0104117	0.00764906	0.0100916	0.0131954	0.0162398	0.0224423	0.013296
petits	0.0360579	0.042135	0.0639198	0.0705656	0.0650488	0.0699402	0.0791859	0.0647273	0.0667399	0.0504215	0.0433575	0.0294189	0.0325793	0.0236334	0.0107124	0.0197302	0.0159353	0.0196526	0.0207248	0.027258	0.0223207	0.0151545	0.0142293	0.0135666	0.011255	0.0102272	0.00741114	0.00773757	0.00792978	0.00575261	0.0071439	0.00825907	0.00738885	0.00585958	0.00401981
enfants	0.0577171	0.0414463	0.0527474	0.0659144	0.0348482	0.0379251	0.0349738	0.047941	0.0456226	0.0515149	0.0498236	0.0532983	0.0385132	0.0322197	0.0240883	0.0313903	0.0268005	0.041389	0.0445678	0.0325826	0.0258653	0.0132032	0.0127568	0.0117166	0.00786023	0.0109884	0.0106444	0.00631922	0.00906182	0.00486204	0.00507982	0.00647262	0.00897272	0.0114372	0.00943548
ont	0.0288455	0.0260162	0.0444146	0.0543245	0.0327926	0.0218641	0.0240877	0.0288235	0.0251128	0.0176311	0.0188907	0.0268007	0.0221355	0.0109243	0.0162865	0.0148235	0.0241315	0.0241877	0.0263484	0.0145065	0.0154143	0.0206773	0.021905	0.0264707	0.0282292	0.0265242	0.0623487	0.06523	0.0674731	0.0399245	0.0296642	0.0237033	0.0167547	0.0139277	0.0388054
collé	0.0212417	0.0173186	0.019115	0.021623	0.0193984	0.0188403	0.0181827	0.0203716	0.0207938	0.0223733	0.0236458	0.0316534	0.0376603	0.0384807	0.046854	0.0389189	0.0473356	0.0519715	0.0552525	0.0395704	0.0367985	0.0286856	0.026515	0.0291858	0.0255393	0.01724	0.0243746	0.0175205	0.0166843	0.00934825	0.0125001	0.0254962	0.0315052	0.0336505	0.0543546
des	0.0181642	0.0117955	0.0118141	0.0127963	0.0156509	0.016516	0.0189119	0.017204	0.0176728	0.0212152	0.0256618	0.0297444	0.023937	0.0266259	0.0390126	0.0359315	0.0455419	0.0333083	0.0352451	0.0211004	0.0220642	0.0348629	0.0298908	0.0255101	0.0313491	0.0315955	0.0354576	0.0336557	0.0297816	0.0361522	0.0327185	0.0423476	0.0469284	0.0408922	0.048944
feuilles	0.0230618	0.0149496	0.0160021	0.0153049	0.0128227	0.012619	0.0128675	0.0152395	0.0173958	0.0170772	0.0158374	0.0202252	0.0175566	0.0130276	0.0141609	0.0139266	0.0203057	0.0299809	0.0349754	0.032938	0.0352634	0.0401546	0.0404819	0.0385185	0.0437577	0.0425988	0.0454032	0.0419528	0.0396686	0.0441721	0.0377143	0.0432497	0.0399077	0.0420926	0.0547899
sur	0.0141447	0.0115839	0.0128211	0.0155142	0.018543	0.0196675	0.0242657	0.0232078	0.0236482	0.0173042	0.0144643	0.0184944	0.0152705	0.00983406	0.021711	0.0165109	0.0337573	0.023162	0.0227417	0.0124307	0.00969059	0.0198632	0.024989	0.0227351	0.0313072	0.0256349	0.0460121	0.0514999	0.032967	0.0449298	0.0377956	0.0448658	0.0742228	0.0717956	0.0926143
leurs	0.0233488	0.0117135	0.0141318	0.0198579	0.0243177	0.0236712	0.0223382	0.01977	0.0191373	0.0143989	0.0124554	0.0170821	0.0107911	0.00683175	0.00939431	0.0130684	0.0192827	0.0229707	0.0273582	0.0281188	0.0300395	0.0476414	0.0439514	0.0323223	0.0438472	0.0323576	0.0496286	0.0522879	0.0513252	0.0496331	0.0415973	0.0434602	0.039041	0.0415926	0.0412359
visages	0.0340518	0.0174281	0.0209206	0.0187166	0.0116942	0.00769083	0.00671953	0.0080739	0.00736787	0.00514252	0.00550898	0.00510621	0.00496375	0.00331444	0.00451899	0.00600525	0.00826044	0.0124851	0.0131863	0.0157788	0.0177169	0.0354962	0.0345637	0.0275295	0.0367282	0.0310555	0.0493683	0.0423421	0.0516572	0.0550231	0.0661892	0.0666461	0.0811495	0.0900564	0.0975439
</S>	0.0483753	0.0186742	0.021112	0.020536	0.0177223	0.0159136	0.0144032	0.0179447	0.0147088	0.00838382	0.00648	0.00625787	0.00413278	0.00199924	0.00375521	0.00472387	0.011539	0.0243755	0.0268834	0.0221117	0.020254	0.0580638	0.0506722	0.045635	0.0352826	0.0282312	0.0350641	0.0337782	0.0270973	0.0269198	0.0330631	0.0388684	0.071614	0.0868625	0.0985612
