 	e	l	ú	ú	l	u	y	é	é	d	í	l	a	m	w	á	n	a	w	ó	a	d	í	i	n	g	u	á	o	k	á	m	b	a	έ	</S>
la	0.0111291	0.0120065	0.0147979	0.0103856	0.0117966	0.0109607	0.0141973	0.0188208	0.0197733	0.0395072	0.0426262	0.057556	0.0389841	0.0637044	0.0553934	0.0801771	0.0320455	0.0294318	0.0290726	0.0186028	0.0172021	0.0166366	0.0150276	0.0214617	0.019833	0.0187565	0.0218252	0.0227761	0.0300911	0.0292108	0.038966	0.0363814	0.0253914	0.0327096	0.0219252	0.0208368
manière	0.0111477	0.0405824	0.048663	0.0208228	0.016648	0.0119504	0.0222173	0.0186916	0.0320218	0.0421972	0.0648705	0.093831	0.0965175	0.0566809	0.0206641	0.00995781	0.00877567	0.0190868	0.0115985	0.0159429	0.0193195	0.0417897	0.0222546	0.031671	0.0389003	0.0225034	0.0141013	0.0350529	0.0124392	0.0198329	0.0352478	0.0114028	0.0141129	0.0124951	0.00363419	0.00237479
dont	0.0704229	0.0367096	0.0263238	0.0117561	0.0192503	0.0152392	0.01526	0.0105682	0.0184004	0.0240831	0.0589904	0.0250861	0.0474029	0.0466071	0.0167891	0.0241328	0.020546	0.0466984	0.0459826	0.016075	0.034831	0.0352887	0.0443272	0.0350352	0.026394	0.0286779	0.0199861	0.026828	0.0158899	0.0133546	0.0293728	0.0121061	0.0186254	0.0165805	0.0186635	0.0277151
cette	0.0552638	0.0543511	0.0438947	0.0388947	0.0200033	0.0107861	0.00733125	0.0078107	0.00761163	0.0125945	0.0227749	0.0267419	0.0318814	0.0130091	0.00389266	0.0112307	0.0189468	0.0295015	0.0153746	0.0290503	0.0582719	0.0222619	0.0255785	0.0539779	0.0353361	0.048329	0.0473624	0.0360828	0.0278417	0.020102	0.0226808	0.0261809	0.0124145	0.0233574	0.0256727	0.053604
enfant	0.0378139	0.0372748	0.0477691	0.0620796	0.0594538	0.0701294	0.0266871	0.0350091	0.0518928	0.0320004	0.0283684	0.0249173	0.0325209	0.0223896	0.0141673	0.0188604	0.0220033	0.0184092	0.0130092	0.0159743	0.0266041	0.0217157	0.0260318	0.0337814	0.0302768	0.0350067	0.0290125	0.0245145	0.0157084	0.011603	0.0159595	0.00928883	0.0105024	0.0105532	0.0115913	0.0171199
vomit	0.0284004	0.0307966	0.048386	0.0524601	0.0731005	0.0767785	0.0651428	0.0399629	0.0450738	0.0396442	0.0099749	0.00877333	0.0128675	0.0138896	0.00884856	0.00799374	0.0101766	0.00999613	0.008923	0.00992707	0.0135545	0.0129871	0.0237584	0.0354883	0.0272956	0.038572	0.0308488	0.0256556	0.0269694	0.0162228	0.0236205	0.0190214	0.014786	0.0165313	0.0333767	0.0401955
il	0.0486309	0.0499569	0.0587866	0.0507498	0.0564024	0.0699846	0.0469275	0.0301705	0.0399913	0.0214274	0.010955	0.00673477	0.0153111	0.0133742	0.0134133	0.0209846	0.022544	0.0209714	0.0267992	0.0450503	0.0408306	0.0232702	0.0149337	0.010228	0.00570856	0.00857223	0.0114566	0.00592256	0.0102924	0.00502101	0.00651792	0.0117704	0.00966691	0.0111	0.0532614	0.102282
a	0.0463544	0.0758992	0.0658121	0.070695	0.0825167	0.0936254	0.0695506	0.0667126	0.0557364	0.034106	0.0236424	0.0152235	0.02657	0.024618	0.0304456	0.0212521	0.0182767	0.0154763	0.0178263	0.00895623	0.0064067	0.0040662	0.00434979	0.00509647	0.00424859	0.00453993	0.00434386	0.00510646	0.00405949	0.00583197	0.00708	0.00452919	0.00584927	0.00874617	0.0177502	0.0447002
certainement	0.0708604	0.0526794	0.0420504	0.0373074	0.0356138	0.0257254	0.0184569	0.0165937	0.0146583	0.0111814	0.0181499	0.0120214	0.0179103	0.0167084	0.0193866	0.0220528	0.0310683	0.0255014	0.0218003	0.0153614	0.00769471	0.0151829	0.0067021	0.0116652	0.0135414	0.0131836	0.0146749	0.0183955	0.0228705	0.0299441	0.0244824	0.0292852	0.0203662	0.0361603	0.0777855	0.132978
des	0.0457313	0.0441428	0.052677	0.0396217	0.0534381	0.0555939	0.0467621	0.0631954	0.0603561	0.0430062	0.0640791	0.0186898	0.0257692	0.0228719	0.0165278	0.0151847	0.0150876	0.00917468	0.0116142	0.0178948	0.0131731	0.0114962	0.0111002	0.00634005	0.00650842	0.00758675	0.0105117	0.00605749	0.00872829	0.0113277	0.00812596	0.0105809	0.0120276	0.0190064	0.0357427	0.100268
ascaris	0.0533657	0.0413673	0.0436345	0.0364707	0.0327288	0.0285257	0.0194381	0.0202072	0.0158364	0.0108544	0.0128014	0.00869334	0.0111987	0.0088592	0.00902917	0.00635332	0.0112214	0.0106014	0.0123504	0.0153934	0.00693947	0.0148687	0.00485132	0.00771655	0.0135581	0.00710684	0.0156192	0.0101646	0.0310265	0.0338803	0.0306115	0.0537215	0.0323582	0.0550795	0.108059	0.165509
</S>	0.115637	0.069962	0.0600388	0.0531033	0.0343612	0.0283975	0.0298355	0.0302506	0.0196402	0.0143519	0.0171024	0.0124421	0.0110643	0.0109409	0.00734892	0.00674029	0.0153653	0.0222612	0.0147487	0.0361023	0.0444895	0.0348436	0.0146005	0.0112779	0.0120212	0.00969183	0.00884961	0.00869261	0.0128555	0.0152812	0.0168708	0.016521	0.0123696	0.0246987	0.0496558	0.0975857
