 	w	á	á	o	t	ó	n	í	o	b	ó	n	d	á	a	t	é	b	h	i	m	á	n	g	a	n	g	a	o	k	u	l	u	m	b	e	m	b	e	n	ω	m	έ	n	έ	</S>
si	0.160347	0.124778	0.133356	0.0234264	0.0322746	0.0184163	0.0235614	0.023324	0.029742	0.0214625	0.0265251	0.0225941	0.0192902	0.0209643	0.0173563	0.0175375	0.0145475	0.0114015	0.00856555	0.00596464	0.0042263	0.00518527	0.00852567	0.0037439	0.00480192	0.00519282	0.00391467	0.00493271	0.00900424	0.00807724	0.00953357	0.0110147	0.0092575	0.00958265	0.0114342	0.0126122	0.00999514	0.00994086	0.00963003	0.0123494	0.00978363	0.0107236	0.0164281	0.0133968	0.0167996	0.0144776
tu	0.158345	0.0894811	0.0552758	0.0445429	0.0427218	0.0368507	0.0514469	0.0494738	0.03927	0.0457378	0.0465798	0.0262427	0.0129517	0.023843	0.0140927	0.0302482	0.0379308	0.0182569	0.00968307	0.00685473	0.00481941	0.00609739	0.00519	0.00660151	0.00547636	0.00579792	0.00484077	0.00438187	0.00353312	0.00570798	0.0063605	0.00876729	0.0095982	0.0126725	0.00437208	0.00498546	0.00739697	0.00433664	0.00372565	0.00536722	0.0044299	0.00543498	0.00865088	0.00620925	0.00786547	0.00755146
ne	0.0122013	0.00966666	0.00908388	0.00903028	0.0113006	0.0182406	0.0371708	0.038549	0.0284037	0.068288	0.0572056	0.0673781	0.0674453	0.0683518	0.0484566	0.065497	0.0666657	0.0231427	0.0133921	0.00926787	0.00553682	0.00658514	0.0141844	0.0103214	0.0132105	0.0100262	0.00929841	0.0109946	0.014125	0.012813	0.0117448	0.0169439	0.0107393	0.0073964	0.00909097	0.00769935	0.00658317	0.00856454	0.00664388	0.00982217	0.00768028	0.00871683	0.0135983	0.0120742	0.0157973	0.0110715
suis	0.0420949	0.0230935	0.0130181	0.0133004	0.0142273	0.0233392	0.0271569	0.0278623	0.017895	0.0207286	0.020655	0.0241141	0.0249609	0.0220734	0.0254668	0.0430989	0.0621694	0.0251021	0.0389969	0.0254835	0.0210986	0.0156201	0.0211968	0.015169	0.016243	0.0161456	0.0128396	0.0216022	0.0232265	0.0133452	0.013001	0.0183501	0.0193307	0.0130049	0.0166701	0.0195846	0.0202272	0.020233	0.0181026	0.0174461	0.0198288	0.0193385	0.0165498	0.0200774	0.0151661	0.0217655
pas	0.00440157	0.00345059	0.00518957	0.0124865	0.0121036	0.013784	0.0187056	0.02153	0.0242667	0.0299196	0.0337421	0.0240149	0.0248806	0.0297205	0.0416794	0.095624	0.0880734	0.0621105	0.10065	0.0271938	0.0499706	0.0373134	0.02116	0.0360361	0.0200646	0.0166558	0.0212213	0.0156849	0.00707901	0.00386542	0.00478702	0.00396925	0.00332692	0.00319584	0.00477942	0.00219297	0.00321896	0.00407429	0.00359603	0.00249868	0.00537402	0.00599464	0.00710047	0.00831453	0.0103726	0.0246262
les	0.0137439	0.0117751	0.00763126	0.0153248	0.0165984	0.0219046	0.028875	0.0517393	0.0403938	0.0437635	0.0620177	0.0346276	0.022625	0.0335041	0.023644	0.0427965	0.042986	0.0251785	0.0265809	0.00974301	0.0112153	0.0126751	0.0225806	0.022554	0.0161258	0.0186499	0.0152511	0.0151034	0.00762523	0.0062763	0.00668845	0.00655096	0.00697346	0.00520174	0.00710909	0.00428247	0.00536923	0.0108685	0.00941964	0.0148897	0.01514	0.0197705	0.0287819	0.0297361	0.0341538	0.071555
conseils	0.0125698	0.00924771	0.00477307	0.0089699	0.0104264	0.0180888	0.0272603	0.0480813	0.0315283	0.0286682	0.0371839	0.0231198	0.0188106	0.0212095	0.0220201	0.0359085	0.0368773	0.0302302	0.0376962	0.0208249	0.0268301	0.03546	0.0376935	0.0403335	0.0265494	0.0220953	0.0225386	0.0211676	0.0131161	0.0125255	0.00905866	0.0116531	0.0112639	0.00598521	0.00856926	0.00835832	0.0100675	0.0183056	0.0128252	0.0170363	0.0155882	0.0171056	0.0181067	0.0193993	0.0206765	0.0541964
du	0.0288571	0.0269803	0.0160868	0.0230304	0.0260513	0.0369679	0.0617207	0.0713877	0.0443104	0.034363	0.0491865	0.02204	0.0148738	0.019616	0.0142075	0.0218251	0.0221399	0.0205248	0.0227117	0.0151768	0.0186431	0.0221827	0.023662	0.0257663	0.0160224	0.0129399	0.0151926	0.0137887	0.0104485	0.00817588	0.00815163	0.0073479	0.00797097	0.00660818	0.00626212	0.00612043	0.00758416	0.0107118	0.010154	0.0101172	0.0122279	0.0176812	0.0176599	0.0345114	0.0252078	0.0528035
guérisseur	0.00768945	0.00540104	0.00380085	0.00723272	0.00908413	0.0127411	0.0236306	0.0215079	0.0139765	0.0144245	0.0240502	0.0237808	0.025	0.0216721	0.0219587	0.026217	0.0230625	0.0282216	0.0271372	0.0349871	0.032863	0.0390159	0.0398191	0.0436331	0.0357728	0.0296396	0.024496	0.030493	0.0183635	0.0196466	0.0164548	0.0159798	0.0153754	0.0118345	0.00781388	0.00911134	0.00983192	0.00928668	0.0101587	0.0085142	0.0134455	0.0186878	0.0166278	0.0344382	0.0229776	0.0901434
c'	0.00672277	0.00669719	0.0059649	0.00881786	0.00843341	0.0123517	0.0180525	0.0161716	0.0118898	0.0127923	0.0165251	0.0171485	0.0175862	0.011499	0.00946129	0.0136273	0.0114388	0.0122874	0.0189814	0.0276612	0.0252484	0.0314674	0.0316454	0.0535466	0.0476897	0.0411739	0.0508738	0.0398502	0.0397668	0.028559	0.0218384	0.0270749	0.0181257	0.0237246	0.0202613	0.015392	0.0156437	0.01377	0.0139512	0.0137536	0.0151781	0.0186816	0.0290032	0.0237551	0.0291504	0.0467649
est	0.0208878	0.0149241	0.00830209	0.0112282	0.0131428	0.0112252	0.00773298	0.0082689	0.0104229	0.0120249	0.0117167	0.0120757	0.0137577	0.016049	0.0165743	0.0234685	0.0216272	0.0226334	0.0212988	0.0204807	0.0257099	0.0266127	0.0255174	0.0261265	0.0250899	0.0208611	0.0224047	0.0268376	0.0200453	0.0231135	0.021211	0.0219865	0.0235707	0.0224997	0.0283315	0.0266529	0.0310931	0.0303593	0.0280058	0.0269251	0.0308267	0.0302134	0.0243986	0.032429	0.0306817	0.0506544
toi-même	0.0270714	0.0416153	0.025262	0.0268731	0.0112605	0.0156954	0.0242877	0.0186592	0.0139316	0.0124328	0.0168682	0.0125275	0.0141687	0.0143942	0.00895552	0.0135572	0.0103567	0.0239309	0.0336303	0.0304485	0.0311927	0.0257838	0.0253724	0.0255033	0.0231684	0.0201322	0.025787	0.0246313	0.0139771	0.0125914	0.0180037	0.0188811	0.0216988	0.0250167	0.0232632	0.0230403	0.0249869	0.0290372	0.0241151	0.0315237	0.0208577	0.0219639	0.0164676	0.0179208	0.01844	0.0407168
qui	0.0580622	0.0734819	0.0370535	0.0260314	0.0130268	0.0094946	0.0145776	0.0123656	0.0124162	0.0103508	0.0110657	0.0095401	0.0109498	0.0112035	0.00813623	0.0118506	0.0107452	0.0169548	0.0255317	0.0163754	0.0186997	0.0144807	0.0197678	0.0194187	0.0148071	0.0199205	0.0167443	0.0181818	0.00908567	0.0143243	0.0219461	0.0202021	0.0281496	0.0274981	0.0227406	0.023563	0.027618	0.0271571	0.0218769	0.0220443	0.0191663	0.0312802	0.0267489	0.0307378	0.0242604	0.0603666
seras	0.0502066	0.069017	0.0300633	0.0227978	0.0107115	0.00708812	0.011049	0.00737809	0.00618443	0.00607921	0.00914166	0.011065	0.0129565	0.0128748	0.0094056	0.0153552	0.0128461	0.0266673	0.0426836	0.0419508	0.0423488	0.036553	0.0338154	0.0378848	0.0311816	0.0335895	0.0303634	0.0248069	0.0102802	0.00994757	0.0139427	0.0137734	0.0152582	0.0168799	0.0117684	0.012988	0.0133909	0.0120068	0.0103802	0.0112451	0.00788182	0.0158698	0.014824	0.0270139	0.0276372	0.0688471
contaminé	0.029916	0.0361564	0.0176	0.0120991	0.0136403	0.00855681	0.0137517	0.00813377	0.00587994	0.00761605	0.0134225	0.0197412	0.021804	0.0149815	0.0139028	0.0160397	0.0157488	0.0225815	0.0276442	0.0409117	0.0348654	0.0395311	0.0330835	0.0649123	0.0499454	0.0528901	0.03235	0.0269992	0.0105416	0.00900579	0.0105874	0.00862142	0.00849963	0.0111465	0.00742365	0.0077673	0.00739527	0.00546606	0.00564636	0.00550844	0.00445993	0.011048	0.011855	0.028731	0.0308984	0.120693
