 	i	b	a	a	d	í	í	m	i	t	ú	n	g	a	t	s	í	n	a	d	í	a	í	d	í	l	a	y	í	b	h	a	</S>
cet	0.00513904	0.00463126	0.00419352	0.00401205	0.00410208	0.00522851	0.0103235	0.0238199	0.0225563	0.0185268	0.0148098	0.012408	0.0130466	0.013828	0.017419	0.0237768	0.0314999	0.0313212	0.0314953	0.0613229	0.0591918	0.0946201	0.0721542	0.0801167	0.051388	0.0433166	0.0382963	0.0390964	0.0431592	0.0367939	0.0441365	0.0279261	0.0163433
homme	0.131666	0.20909	0.227646	0.136232	0.0862305	0.0561917	0.0141915	0.0129293	0.00335177	0.00216762	0.00101223	0.000658268	0.000841295	0.00137542	0.00158865	0.00157186	0.00116897	0.00208702	0.00136657	0.00178966	0.00302484	0.0136992	0.00949505	0.0117958	0.0131009	0.0117056	0.0106603	0.00927658	0.00554311	0.00619653	0.00565176	0.00459422	0.00210067
ne	0.086507	0.0495349	0.0657438	0.034666	0.0450343	0.0402121	0.0484807	0.0242063	0.0316083	0.025976	0.016525	0.0249388	0.0224493	0.0181546	0.0197126	0.0216555	0.020721	0.0162357	0.0129009	0.0162933	0.0238037	0.0381746	0.0226614	0.0408061	0.0445206	0.0368126	0.0384596	0.0318591	0.0273885	0.0157293	0.016675	0.0171402	0.00441315
trouve	0.0440077	0.0899292	0.0966615	0.067792	0.0345745	0.0252697	0.0208701	0.0157551	0.0137326	0.0256816	0.0235814	0.031958	0.0465945	0.0428828	0.0417203	0.0552157	0.0343858	0.0202024	0.0145321	0.0147547	0.0137298	0.0107238	0.00963453	0.00808811	0.0103226	0.0121314	0.010643	0.0212249	0.0117199	0.0224311	0.025487	0.0209206	0.0628415
pas	0.0448103	0.01893	0.0215522	0.0191073	0.0187653	0.0144572	0.0204718	0.0149664	0.0299167	0.0481255	0.0464149	0.0369344	0.0362979	0.0151532	0.0142945	0.0181135	0.0150739	0.017583	0.0157655	0.0206618	0.0254236	0.0257045	0.0337853	0.0363292	0.0429621	0.0494706	0.0404081	0.0433768	0.0391151	0.0353591	0.045553	0.043749	0.0513685
de	0.0754307	0.0389499	0.0403899	0.0330935	0.0300208	0.0343911	0.0365344	0.0367963	0.0245083	0.0344555	0.0415695	0.0436675	0.0412046	0.0234395	0.018238	0.0219572	0.024276	0.0212967	0.0218617	0.0192796	0.0189678	0.016089	0.027326	0.020928	0.017839	0.0167652	0.0219294	0.0191409	0.0277809	0.0294764	0.0373985	0.0378344	0.0471639
femme	0.0377247	0.0256153	0.0214095	0.0272741	0.0419028	0.0295989	0.0313276	0.025225	0.0383689	0.0728201	0.0546879	0.0352353	0.0269796	0.0180791	0.0139243	0.014455	0.0130083	0.0143423	0.013957	0.0166755	0.0132841	0.0184857	0.0176704	0.0221027	0.0283098	0.0318029	0.0424903	0.0393493	0.0428077	0.0454422	0.0460059	0.036656	0.0429818
parce	0.0386658	0.0462885	0.0314872	0.0250798	0.0121356	0.00857963	0.00983007	0.00661434	0.0131888	0.030854	0.0179077	0.0245087	0.024421	0.0276119	0.0224229	0.0324089	0.0284199	0.0261457	0.0214568	0.0239522	0.0189925	0.0244178	0.0136973	0.0163325	0.015755	0.0232221	0.0275858	0.0361981	0.0208648	0.0407222	0.0828725	0.0594659	0.147894
qu'	0.0777971	0.0722264	0.0465416	0.060314	0.039823	0.029014	0.0117761	0.00558006	0.0101172	0.0245571	0.03031	0.0272618	0.0202515	0.00729266	0.00746191	0.00763345	0.00896998	0.0136997	0.0160494	0.0246587	0.0223213	0.019513	0.0353388	0.024576	0.0360741	0.0329682	0.0245284	0.0423588	0.0290148	0.0429163	0.0371665	0.038993	0.0728951
il	0.0958448	0.0859405	0.0722682	0.0704954	0.0418535	0.0301957	0.0145181	0.00613269	0.00593011	0.0169853	0.0170836	0.021303	0.0182021	0.015221	0.0146194	0.0186588	0.019689	0.0195651	0.0187029	0.0302717	0.018873	0.0101026	0.0140988	0.00974467	0.0109637	0.0130476	0.0259661	0.0238473	0.0259082	0.0244644	0.0339703	0.0545481	0.100984
est	0.240608	0.131463	0.0458629	0.0231581	0.0157189	0.0101661	0.00853331	0.00718968	0.00732601	0.018553	0.019315	0.0230086	0.0234885	0.0298677	0.0226993	0.0310228	0.0267881	0.0199872	0.0132682	0.0229877	0.0130508	0.0115291	0.0145521	0.0103024	0.00955154	0.00832488	0.0137281	0.0140554	0.0100783	0.0176114	0.023469	0.0221919	0.0905427
un	0.130174	0.0779167	0.0312573	0.0219517	0.0133519	0.0093164	0.0119081	0.00891944	0.0171054	0.0266848	0.0250081	0.0261776	0.0254266	0.0206336	0.0173784	0.0237074	0.0208262	0.0246645	0.0232564	0.0246983	0.0264733	0.0275661	0.0268908	0.0269315	0.0267191	0.0262622	0.0245698	0.0294896	0.0197654	0.025403	0.0341627	0.0304916	0.0949126
voleur	0.0770267	0.0852582	0.0448473	0.0212982	0.00858228	0.00616315	0.00830292	0.00715811	0.0175345	0.0371618	0.0197274	0.0199556	0.018697	0.0200049	0.0157114	0.0216104	0.0182766	0.019139	0.018265	0.0187927	0.019147	0.0206712	0.0185078	0.0187964	0.0194897	0.0235326	0.0275753	0.0354102	0.0198133	0.0360536	0.0536272	0.045945	0.157918
</S>	0.110892	0.0656275	0.0360886	0.0304363	0.0116043	0.00580469	0.00584083	0.00317569	0.00586007	0.018259	0.0145546	0.0152607	0.0129916	0.0116977	0.0110058	0.0143196	0.0133485	0.0138854	0.0152847	0.0138893	0.0141321	0.0114274	0.0122655	0.0115822	0.0140197	0.0248601	0.0453606	0.0539963	0.0357854	0.0608707	0.0791053	0.0763375	0.130431
