 	e	k	u	n	g	a	y	á	a	n	d	z	á	a	é	b	h	i	y	é	e	y	a	á	m	á	l	á	a	b	e	n	g	i	</S>
une	0.00750769	0.00863211	0.00767675	0.012472	0.0185886	0.0300995	0.0254189	0.0250892	0.0452683	0.0324998	0.0463725	0.0562244	0.0483867	0.0485818	0.0468467	0.046383	0.0474447	0.032679	0.0318513	0.0258192	0.0210798	0.0147645	0.0185559	0.0246611	0.0233147	0.0161713	0.0263305	0.0281466	0.0247768	0.0203412	0.0206045	0.0251593	0.034108	0.0280713	0.0300725
bande	0.0306839	0.0658614	0.083102	0.0495681	0.0202835	0.0383621	0.0155974	0.00848325	0.0147444	0.0560925	0.0712299	0.078988	0.047114	0.111519	0.0858608	0.0833137	0.0502723	0.0344211	0.0129187	0.00692277	0.00341254	0.00217449	0.00143271	0.00133881	0.00153097	0.00330708	0.00144101	0.0030781	0.00519658	0.0042868	0.00313348	0.00223181	0.000847751	0.000736954	0.00051225
de	0.01796	0.0192504	0.0203589	0.0255392	0.0331818	0.0207886	0.028183	0.0355788	0.029927	0.0381686	0.025893	0.0221679	0.0259349	0.0110569	0.0116558	0.010263	0.0120658	0.0192945	0.0270592	0.0421809	0.0410918	0.0550984	0.046441	0.0596648	0.0507934	0.06204	0.0369722	0.0464272	0.0350958	0.0283414	0.0217437	0.0151403	0.00735863	0.0129082	0.00437489
buffles	0.0262299	0.0497655	0.053448	0.0591488	0.0714585	0.0518479	0.0499979	0.052144	0.0389787	0.0535822	0.0468673	0.036195	0.032315	0.0160623	0.0187492	0.0128351	0.0129798	0.0157135	0.0161025	0.0183291	0.0264723	0.0282761	0.0284868	0.0181758	0.0125293	0.0116501	0.014721	0.0138584	0.013061	0.0138617	0.0137206	0.0146442	0.0124781	0.0134522	0.031862
se	0.0449138	0.0478959	0.0407429	0.0412497	0.0406397	0.0383203	0.0349811	0.0262759	0.026405	0.0311502	0.0269473	0.0279885	0.0285733	0.0209186	0.0258476	0.0196527	0.0150625	0.0100569	0.0159186	0.0250344	0.0372685	0.0364377	0.0388804	0.035587	0.0279815	0.0306206	0.0273562	0.0225225	0.0192826	0.0180172	0.0176443	0.0176774	0.0191801	0.0290668	0.0339024
dirigea	0.0443788	0.037008	0.0286102	0.025279	0.024641	0.0241143	0.0217473	0.00676052	0.0111472	0.0150994	0.0176257	0.0171844	0.0149913	0.0207965	0.0264342	0.0218669	0.0260563	0.0191089	0.026889	0.0215751	0.0265849	0.0276176	0.0306518	0.0285149	0.0324674	0.0405816	0.0283896	0.0399184	0.0451791	0.0389805	0.0455316	0.0416982	0.0350177	0.0376958	0.0498564
vers	0.0215947	0.0283576	0.0308092	0.0321792	0.0408022	0.0349786	0.0461306	0.0454904	0.0408801	0.0423547	0.0376167	0.0344755	0.0291894	0.0244665	0.0375238	0.0274291	0.0180049	0.0148448	0.0127026	0.00728393	0.0143136	0.0229723	0.0232709	0.0316217	0.03243	0.0295186	0.0197603	0.0170114	0.0258949	0.0206696	0.0295165	0.0269514	0.0222745	0.0305078	0.0461722
les	0.0696944	0.0506686	0.040013	0.0412412	0.0391277	0.0358239	0.028887	0.0266511	0.0254724	0.0270791	0.0261952	0.0253252	0.0247377	0.018456	0.0247113	0.0177395	0.0145084	0.00964782	0.0103841	0.011678	0.0201667	0.0259168	0.0251807	0.0201816	0.0133207	0.0401915	0.0214003	0.0204328	0.0253952	0.0191431	0.0287515	0.0399216	0.0290372	0.0300404	0.0728785
chasseurs	0.116612	0.0856458	0.0461642	0.0228605	0.00626391	0.00964416	0.00645901	0.00817263	0.0141017	0.0188921	0.0208375	0.0218298	0.0221167	0.0265758	0.0366875	0.0321592	0.0400263	0.0322305	0.0416389	0.0626775	0.037206	0.0295498	0.0153696	0.00883537	0.00362469	0.033389	0.00683692	0.0085241	0.0114099	0.00835396	0.0209422	0.0262199	0.0111644	0.0161225	0.0908562
</S>	0.153585	0.0627926	0.0482228	0.033752	0.0203512	0.0196161	0.015884	0.0160133	0.010705	0.0130337	0.0134087	0.0138347	0.0124151	0.0103986	0.0152413	0.00975807	0.0085539	0.00802028	0.0144394	0.0228004	0.0352218	0.0471868	0.0410117	0.0285234	0.0142851	0.030835	0.0189844	0.0179044	0.0197372	0.0178834	0.0242793	0.0344547	0.0286622	0.0244934	0.0937109
