 	o	k	í	s	í	o	d	í	p	i	k	a	r	í	i	k	a	r	í	i	</S>
le	0.0122131	0.0145627	0.0181057	0.0135137	0.0122987	0.0153788	0.0166751	0.0194814	0.0285289	0.0714918	0.17251	0.103445	0.132943	0.0389405	0.043354	0.0597737	0.0508332	0.0410694	0.0491936	0.0402455	0.0454417
petit	0.0338473	0.071394	0.114522	0.105824	0.073707	0.0254405	0.0131145	0.0166401	0.0138134	0.0290564	0.0347302	0.0164983	0.0384265	0.101824	0.079435	0.0662578	0.0698161	0.0436881	0.030788	0.0106606	0.0105162
poisson	0.0502633	0.0569998	0.0373039	0.0163853	0.0128536	0.00838314	0.0116987	0.0122171	0.0164368	0.0159287	0.0214407	0.0587428	0.100874	0.161182	0.135206	0.1208	0.0597744	0.0200103	0.0381088	0.0369953	0.0083954
écailleux	0.0737707	0.142067	0.0719487	0.0619178	0.0367097	0.0339937	0.0343153	0.0260643	0.0270669	0.0250203	0.0235521	0.0302637	0.0219531	0.0770217	0.070351	0.068428	0.0380831	0.0253232	0.0406519	0.0348193	0.0366781
appelé	0.0441111	0.0369104	0.033998	0.0371752	0.0356114	0.0554155	0.058687	0.0556134	0.0443781	0.0507365	0.045325	0.0242115	0.0494121	0.0739071	0.0723657	0.0543287	0.0452417	0.0889277	0.0271056	0.032859	0.0336793
okísí	0.0289735	0.0393858	0.047741	0.0335229	0.0326842	0.0296669	0.03143	0.0640129	0.0904611	0.0459128	0.022081	0.0274502	0.0392739	0.0491084	0.0619327	0.0674953	0.0547199	0.070696	0.0430173	0.0390068	0.0814276
est	0.0584129	0.04359	0.0478774	0.036978	0.0367424	0.033267	0.0234548	0.0398751	0.0406857	0.0402934	0.0353106	0.0255899	0.0533093	0.0375249	0.0527421	0.0353455	0.0155144	0.0849146	0.0545034	0.0827599	0.121309
de	0.108281	0.0944038	0.204736	0.0624461	0.0439907	0.0217218	0.0190813	0.0445673	0.0428897	0.0370998	0.0176827	0.0173456	0.0158799	0.013571	0.022036	0.0211689	0.0116674	0.0265001	0.0266241	0.0348251	0.113481
couleur	0.0978284	0.0779142	0.0447057	0.0196139	0.0129799	0.00948935	0.00986817	0.0226779	0.0344455	0.0238948	0.0112383	0.0088793	0.0178692	0.0166187	0.0366569	0.0511669	0.0294335	0.0805532	0.146791	0.146119	0.101256
noir	0.0907644	0.0797246	0.0474552	0.0273529	0.0180436	0.0119437	0.00946276	0.0180101	0.0258819	0.0164929	0.00828482	0.00505208	0.00762195	0.0126303	0.0261239	0.0361239	0.023152	0.0601664	0.152075	0.165145	0.158493
foncé	0.0923739	0.108445	0.0691262	0.0684062	0.0417131	0.0235724	0.0190816	0.017556	0.0173204	0.0100361	0.0102012	0.00520462	0.0068785	0.0248349	0.0362817	0.0391687	0.0336582	0.0297798	0.0838314	0.0895394	0.172991
</S>	0.0849077	0.042634	0.0343539	0.0482783	0.0493366	0.047402	0.0490203	0.0487362	0.0543166	0.0389814	0.0392941	0.0142712	0.0228953	0.0224496	0.0365531	0.0497089	0.0543981	0.0329929	0.0666641	0.0662339	0.0965718
