 	a	y	ú	r	u	b	ó	b	á	a	k	y	é	n	á	i	l	ω	l	ώ	m	í	t	έ	b	h	ε	l	á	k	ó	n	y	i	</S>
les	0.136813	0.112537	0.118963	0.0219028	0.0190752	0.0129698	0.0098146	0.0105576	0.0192965	0.0291652	0.0231917	0.027306	0.0321646	0.0312188	0.0223284	0.0213405	0.0261307	0.0327311	0.024776	0.0170655	0.0124799	0.0138638	0.0210901	0.0243196	0.019823	0.0202499	0.014235	0.0111846	0.0193447	0.0132106	0.0164119	0.0152783	0.0142578	0.0193712	0.015531
femmes	0.017024	0.0133168	0.021633	0.0782182	0.148553	0.176902	0.118506	0.0806999	0.0406508	0.0322718	0.0166249	0.0128784	0.0145967	0.0147358	0.0153657	0.00904876	0.0198989	0.0105511	0.0114636	0.0150022	0.0111592	0.0130738	0.0143578	0.0106495	0.010063	0.0137155	0.013886	0.0102389	0.00877299	0.00662948	0.00547318	0.00480806	0.00392299	0.00255277	0.00275535
sont	0.0121825	0.016374	0.0250464	0.0199307	0.0183986	0.0176567	0.0277625	0.043739	0.0386076	0.045658	0.0492981	0.0641086	0.0936729	0.0708897	0.0552926	0.0271652	0.0225035	0.0183206	0.0153342	0.0171514	0.0148805	0.0152538	0.0196031	0.0210897	0.0185475	0.0305583	0.0276075	0.0339853	0.0286311	0.0299558	0.0196592	0.0107385	0.0087906	0.0107226	0.0108837
en	0.00884759	0.0250013	0.0265169	0.0287166	0.0239123	0.0274818	0.0204656	0.0247498	0.024897	0.0334307	0.0332384	0.0263241	0.0201947	0.0200988	0.0135342	0.0151633	0.0140954	0.012862	0.0196858	0.0225078	0.0246507	0.028423	0.0359833	0.0350043	0.0323079	0.0429952	0.0576308	0.0559667	0.0644235	0.0635274	0.0415044	0.0233695	0.0161313	0.016234	0.0201239
train	0.0169226	0.0157475	0.0186192	0.0182402	0.0186639	0.0155759	0.017405	0.0127432	0.0189218	0.0184786	0.0194625	0.0170496	0.0196928	0.0276666	0.0341754	0.0423964	0.0329977	0.0329386	0.0283866	0.0278492	0.0351126	0.0349826	0.0334647	0.0332651	0.0380042	0.0463287	0.0406089	0.0524251	0.0407267	0.0353439	0.0332854	0.0301032	0.0285363	0.0260704	0.0378091
de	0.0659303	0.0477764	0.11037	0.0269472	0.0191615	0.0111632	0.0241485	0.029281	0.0241758	0.0274068	0.0172628	0.0167897	0.0205394	0.0313122	0.0245154	0.0391222	0.025802	0.0404243	0.0271596	0.0219611	0.0220336	0.0224903	0.0166351	0.0180537	0.0192224	0.0122222	0.0162215	0.0189452	0.0134349	0.0208787	0.0215155	0.0296997	0.0252229	0.0240354	0.0681398
couper	0.0103589	0.00591126	0.0112834	0.0131437	0.0161806	0.0186149	0.0282688	0.0267221	0.0259296	0.0173008	0.0138623	0.0119959	0.018637	0.0309642	0.0556721	0.0484221	0.0562597	0.0512217	0.0622614	0.0517669	0.0405068	0.0400634	0.0344523	0.0270291	0.0262048	0.0274964	0.0285505	0.0238235	0.0263584	0.0258256	0.0259035	0.0215026	0.0208235	0.0235138	0.0331684
les	0.0489706	0.0335684	0.043748	0.0328806	0.0324144	0.0136411	0.0189662	0.0178489	0.0164245	0.0153998	0.0192937	0.0194272	0.0171695	0.0186326	0.0185406	0.0361805	0.0231556	0.033872	0.0286804	0.0258721	0.0224555	0.0236941	0.0273438	0.0246611	0.0282843	0.0268034	0.029284	0.0317106	0.0233073	0.0288027	0.0317224	0.0389063	0.0373197	0.0396628	0.0713554
arbres	0.0208171	0.0247011	0.0308967	0.034952	0.0360015	0.0197929	0.00916173	0.00912027	0.0102209	0.00949773	0.0127271	0.0123966	0.0111144	0.0124087	0.00905812	0.0172342	0.0154858	0.0182027	0.0223478	0.0222148	0.0227221	0.0286369	0.0325121	0.038513	0.0268872	0.0230713	0.0304813	0.0239331	0.0261027	0.0319853	0.0361713	0.0651489	0.0753899	0.0605832	0.119509
de	0.028077	0.0299245	0.0332137	0.0321116	0.0268682	0.00980772	0.00476471	0.00410004	0.00450523	0.00382407	0.00600211	0.00581386	0.00455487	0.00726879	0.00413982	0.013697	0.01178	0.0196944	0.0302465	0.0266919	0.0297266	0.0447441	0.0653743	0.0574784	0.0429273	0.0309991	0.037875	0.0442857	0.0282078	0.0312955	0.0370236	0.0528945	0.0515488	0.0513998	0.0871335
la	0.0199652	0.0200885	0.0205718	0.019816	0.0184693	0.00923069	0.00519729	0.00428175	0.00580008	0.0045825	0.00525454	0.00518545	0.00543238	0.00737371	0.00576673	0.0082166	0.00786525	0.00947878	0.0121314	0.0129943	0.0141986	0.0177985	0.022621	0.0357956	0.0310347	0.0408045	0.0542558	0.0645686	0.0593462	0.0673588	0.0715796	0.0754185	0.0762721	0.0797725	0.0814729
savane	0.0104564	0.0105125	0.0104168	0.0106251	0.0101305	0.00448986	0.00259239	0.00235273	0.0029171	0.00225322	0.0023995	0.00259386	0.00301092	0.00434422	0.00342935	0.00597347	0.0062492	0.0120274	0.0174256	0.0195447	0.0231145	0.0270088	0.0332279	0.0436155	0.0358631	0.0460627	0.0582476	0.0640516	0.0637229	0.0622659	0.0632217	0.078943	0.0682873	0.0930689	0.0955538
comme	0.00979824	0.00910386	0.00881523	0.0113365	0.0139728	0.0089189	0.00395563	0.00319766	0.00331024	0.00229624	0.00206865	0.00267837	0.00332955	0.00501563	0.00353363	0.00785413	0.00827657	0.0140218	0.0207612	0.0225596	0.024055	0.0288519	0.0395705	0.0442502	0.0390532	0.043002	0.0581292	0.0594862	0.0551259	0.0653682	0.0658683	0.0764268	0.0738986	0.0789759	0.0831336
bois	0.0345466	0.0262197	0.0276226	0.0207342	0.012746	0.00960804	0.00996853	0.00938093	0.010957	0.00756895	0.00802865	0.00798586	0.00817519	0.0113721	0.00871849	0.00869387	0.00836808	0.0115745	0.0209529	0.0215991	0.0229928	0.0258326	0.0302552	0.0406231	0.0359339	0.0344491	0.0461313	0.0602983	0.0310967	0.0388494	0.036411	0.0562982	0.0546254	0.0678792	0.133503
de	0.0177639	0.0138703	0.0142178	0.01154	0.00900288	0.00593783	0.00401482	0.00319942	0.00293105	0.00249102	0.00245546	0.00243468	0.00257721	0.00340206	0.00281578	0.00421217	0.00486327	0.0101108	0.0159301	0.0168858	0.0167863	0.0188625	0.0292765	0.0380264	0.0307956	0.0335397	0.0502634	0.0601315	0.0352326	0.0499247	0.0491183	0.0905352	0.0811758	0.118129	0.147546
chauffe	0.0219731	0.0269814	0.0263033	0.0224088	0.0219729	0.021948	0.0228137	0.0198943	0.0184303	0.0172372	0.0173939	0.014881	0.0148773	0.0139431	0.0138059	0.0124379	0.00944111	0.00850825	0.0133408	0.0147544	0.0154703	0.0159331	0.0187258	0.0213485	0.0168146	0.0204838	0.0221751	0.0280829	0.0164422	0.0210557	0.026579	0.0505493	0.0712396	0.1057	0.196054
</S>	0.0428249	0.0380075	0.0532097	0.0339936	0.0305003	0.0237151	0.0457233	0.0341454	0.0344211	0.0240099	0.0260864	0.0184479	0.0211331	0.0303581	0.0349309	0.0319476	0.0245367	0.021638	0.0233849	0.0221536	0.0195053	0.0187299	0.0186948	0.0190852	0.0177184	0.0178136	0.0184376	0.0210615	0.0168559	0.0182088	0.0194815	0.0257293	0.033137	0.0372162	0.0831568
