 	o	t	ó	n	g	i	n	g	ó	l	ó	b	ó	l	á	a	k	ώ	l	e	n	g	ω	s	í	</S>
le	0.00891562	0.010201	0.0108212	0.0166374	0.060721	0.0316185	0.0269252	0.0260156	0.0263429	0.0351946	0.0445079	0.0777856	0.11224	0.0822111	0.0576843	0.0506829	0.0459032	0.0384346	0.0358825	0.0269803	0.022983	0.0306718	0.0262225	0.0331154	0.0330459	0.0282564
vanier	0.0364575	0.0746722	0.0609799	0.0172507	0.0552651	0.0839365	0.211161	0.0973506	0.0925814	0.0450347	0.037659	0.0209323	0.0393654	0.0253487	0.0188739	0.0205516	0.0219592	0.0158439	0.00905296	0.00572778	0.00393942	0.00185672	0.00176134	0.000776048	0.000968744	0.000693598
est	0.0655726	0.0451025	0.0344901	0.0228231	0.0382276	0.0624463	0.0782709	0.0437284	0.048634	0.0525033	0.0530363	0.0343053	0.0860336	0.0902898	0.0760006	0.0748626	0.0441491	0.0194209	0.0105864	0.00649672	0.00275666	0.00195367	0.00232521	0.00144995	0.00184842	0.00268619
en	0.0402396	0.0343228	0.0328517	0.0301118	0.0431827	0.0641668	0.0586757	0.0476171	0.0369101	0.0398652	0.0378378	0.0297944	0.0197932	0.0188914	0.0182154	0.0321209	0.0446056	0.04142	0.0428831	0.0480088	0.0296724	0.0366771	0.037768	0.0360115	0.0396829	0.058674
train	0.0339583	0.0288927	0.0239835	0.0246526	0.0390046	0.0428439	0.0597419	0.0568813	0.0523635	0.0439719	0.0280454	0.0155279	0.0168328	0.0173425	0.0226652	0.0433869	0.0540191	0.0509571	0.0473474	0.0469446	0.0405929	0.0362696	0.0393308	0.0324503	0.0516781	0.0503155
de	0.149415	0.137837	0.12053	0.0827271	0.0359631	0.0440451	0.0353557	0.0327869	0.0284616	0.0281021	0.0222865	0.0319824	0.0301967	0.0325417	0.0218631	0.0124164	0.00539168	0.00394583	0.00446226	0.00648962	0.00709921	0.0133044	0.0122681	0.0162616	0.0199404	0.064326
redresser	0.107486	0.0972865	0.050661	0.0307314	0.0230983	0.0269718	0.0346516	0.0378331	0.0681749	0.0590578	0.0832838	0.0627541	0.0529036	0.041951	0.0219172	0.0227488	0.0151614	0.0125779	0.0120371	0.0122918	0.0116535	0.0120858	0.0131667	0.01506	0.0227623	0.0516926
la	0.0495022	0.0353337	0.0324069	0.019035	0.0132197	0.0189317	0.0214788	0.0211087	0.015893	0.0153938	0.0162694	0.0240643	0.00971475	0.00674825	0.0103562	0.016339	0.022912	0.0389581	0.0583927	0.0613157	0.0630055	0.0752653	0.0474378	0.0645808	0.0696937	0.172643
liane	0.0490697	0.0508782	0.034078	0.0224193	0.0136672	0.0182126	0.011908	0.00692077	0.0031352	0.00356911	0.00400721	0.00727686	0.00587549	0.0076147	0.0098054	0.0143342	0.0192846	0.0306843	0.0475064	0.0346437	0.0451025	0.0648577	0.053454	0.0704214	0.0938387	0.277435
</S>	0.185012	0.116629	0.0679184	0.0515648	0.0406923	0.0347567	0.0310148	0.0187714	0.0207308	0.0211587	0.0227436	0.0221251	0.0143675	0.00541914	0.00298353	0.00192525	0.00295692	0.00579856	0.0106248	0.0103894	0.0191007	0.0295748	0.0257909	0.0364997	0.0349465	0.166505
