 	a	n	d	z	é	s	i	b	á	á	m	i	w	ó	m	b	í	s	á	i	f	u	n	d	ε	d	í	</S>
ces	0.117325	0.104036	0.0441917	0.0305365	0.0241915	0.0164934	0.0168141	0.0233633	0.0413809	0.0511484	0.0506452	0.0539333	0.128173	0.0875712	0.0583537	0.0193663	0.0237349	0.0126373	0.011904	0.0129727	0.00947595	0.00841834	0.00674478	0.00724221	0.00727879	0.00844392	0.012533	0.0110912
petits	0.0524797	0.0297561	0.018587	0.0262892	0.101338	0.0564264	0.0589073	0.109962	0.0626066	0.0468317	0.0401879	0.0274948	0.0276846	0.0344989	0.0481841	0.0588148	0.0344192	0.0244141	0.0230049	0.0100772	0.0169892	0.0166683	0.0154423	0.0159704	0.00960905	0.013936	0.0081218	0.0112989
enfants	0.0532699	0.0461704	0.0586997	0.0664089	0.0551717	0.0465666	0.0651547	0.0512018	0.0441094	0.0344701	0.0325121	0.0310599	0.0306297	0.0477028	0.051221	0.049748	0.0454966	0.0267478	0.0422852	0.0185773	0.0176324	0.015385	0.0151346	0.0117197	0.0101726	0.0103446	0.00949611	0.0129114
ont	0.0232648	0.0306533	0.0334452	0.0311372	0.0316303	0.0323155	0.0692267	0.100732	0.0815553	0.0788401	0.0773944	0.0691534	0.02792	0.0250653	0.023841	0.0252935	0.0285574	0.0272518	0.0319466	0.0149957	0.0324457	0.0150008	0.0136687	0.00902776	0.0100492	0.0131297	0.00779832	0.0346604
mis	0.0173741	0.0201867	0.0219729	0.0255416	0.0238752	0.0255827	0.023771	0.0225352	0.0236865	0.0245498	0.0161516	0.015383	0.0218283	0.0441167	0.0576418	0.0417325	0.0535654	0.0369496	0.0481056	0.0288215	0.0368995	0.0260551	0.0513738	0.0587378	0.052116	0.0596784	0.0566629	0.0651047
à	0.0216036	0.0169088	0.0167329	0.0172544	0.0190623	0.0207119	0.0190709	0.0177719	0.0237265	0.0268834	0.0277845	0.0257829	0.0274114	0.0261278	0.0284739	0.0284996	0.0332492	0.0506375	0.0574917	0.0503712	0.0563158	0.0540521	0.0586026	0.0587	0.0560134	0.055591	0.0492254	0.0559433
sec	0.0192691	0.0137625	0.0131035	0.0127702	0.014275	0.021888	0.0154393	0.012919	0.0126285	0.0139725	0.0151492	0.0149239	0.0183163	0.0274819	0.0329119	0.0280304	0.0390445	0.051074	0.0742811	0.065364	0.0678227	0.0633956	0.0708158	0.0754334	0.0572102	0.0606441	0.0445939	0.0434793
ce	0.0302283	0.0269356	0.0219558	0.0214889	0.0275668	0.0427045	0.0367041	0.0305106	0.0321359	0.0306282	0.0304514	0.0276174	0.0280538	0.0301763	0.026604	0.0258541	0.0225657	0.0291067	0.0276387	0.0313104	0.0482795	0.0283989	0.0312671	0.0461118	0.0463724	0.0662466	0.070258	0.0828284
vaste	0.0334503	0.0314393	0.0304386	0.0295232	0.0287971	0.0276514	0.0209925	0.0148991	0.00779467	0.00742034	0.00527599	0.00525142	0.00703428	0.00876056	0.0102534	0.0112045	0.0140403	0.0300439	0.0335874	0.0341516	0.0659451	0.0628696	0.0582929	0.0721903	0.0614771	0.0925199	0.0855892	0.109106
étang	0.0379757	0.0357727	0.0328014	0.0311667	0.0302019	0.0277192	0.0257788	0.0192388	0.00789081	0.00645812	0.00525168	0.00515517	0.00470118	0.00748047	0.00961221	0.0102325	0.0121335	0.0279248	0.0248271	0.0182998	0.0527913	0.0312206	0.0309579	0.0375132	0.0487247	0.103001	0.118051	0.197118
</S>	0.0334713	0.026953	0.0320001	0.03045	0.0269034	0.0265441	0.0319661	0.0273934	0.0103803	0.00626847	0.00517718	0.00579768	0.00471068	0.00727577	0.00954206	0.0150754	0.0223609	0.030347	0.0397879	0.0267041	0.0556706	0.0393533	0.0347694	0.035363	0.0540938	0.072737	0.106346	0.182558
