 	s	á	p	o	o	y	é	a	n	d	z	é	s	i	á	b	h	i	l	o	k	ú	n	g	á	</S>
dans	0.0227768	0.0359432	0.0271028	0.0198495	0.0126651	0.0173167	0.0326229	0.0317008	0.0658049	0.0660533	0.0645709	0.0639941	0.0667233	0.0646128	0.0631199	0.0567486	0.037933	0.0202369	0.0188906	0.0183985	0.0242013	0.0265592	0.025652	0.0484001	0.0423324	0.0257901
ce	0.0569543	0.175965	0.0436405	0.0305027	0.0217762	0.015558	0.0231338	0.038354	0.0589568	0.0424239	0.0486304	0.042933	0.0584762	0.0122203	0.0225863	0.0250053	0.0238514	0.0190138	0.0348782	0.0698243	0.0571561	0.026955	0.0117907	0.00856346	0.0168858	0.0139648
village	0.0410277	0.0228131	0.0456107	0.0236727	0.0129693	0.012478	0.046727	0.0881079	0.0461114	0.0507661	0.0470859	0.059015	0.0371	0.025376	0.0394571	0.071751	0.0887111	0.0537429	0.0441804	0.0282718	0.0250585	0.0248463	0.0184685	0.0194602	0.0125166	0.0146746
les	0.0313293	0.0446115	0.0522025	0.042791	0.0298641	0.029656	0.0230989	0.0374914	0.0362245	0.0382351	0.0446517	0.0419541	0.0406069	0.0298853	0.0314486	0.0516935	0.0682728	0.0367613	0.0309837	0.0431278	0.0343471	0.0443416	0.0255889	0.0304114	0.0249693	0.0554519
enfants	0.0282228	0.0308825	0.0483582	0.0326236	0.0301079	0.0315367	0.0382422	0.0306251	0.0258771	0.0291549	0.032797	0.0459267	0.0631552	0.0571965	0.0576879	0.0431943	0.0326943	0.0248094	0.0213045	0.0148531	0.0313329	0.047669	0.0401041	0.0591307	0.0343352	0.068178
sont	0.0478348	0.0386478	0.0713102	0.0667149	0.0663901	0.0532991	0.0398182	0.0281328	0.0244625	0.0260448	0.0268779	0.0398141	0.0479246	0.0374928	0.0269928	0.0204308	0.0160656	0.0172421	0.0160414	0.0146114	0.0228481	0.031192	0.0383597	0.0439194	0.0473862	0.0901462
atteints	0.0482778	0.0362464	0.045809	0.0485957	0.0625295	0.0526372	0.0360972	0.0282908	0.0281327	0.0274741	0.0295202	0.0399175	0.0390932	0.0225619	0.0238735	0.0173131	0.0151633	0.0186798	0.0202495	0.0214836	0.0323144	0.0453386	0.055082	0.0572078	0.0556576	0.0924533
de	0.0163668	0.0159675	0.0131508	0.012923	0.0161057	0.0199824	0.0184396	0.0196085	0.026764	0.0349538	0.0393605	0.0428778	0.0400283	0.0390891	0.0490192	0.0461138	0.0326058	0.0361728	0.0284119	0.0385064	0.0580532	0.0629629	0.0717436	0.0734434	0.0688166	0.0785327
la	0.0385198	0.0236712	0.022106	0.0282506	0.0339057	0.0356807	0.0348229	0.0288136	0.0209218	0.0149919	0.0155244	0.0158732	0.0158771	0.00936971	0.0132241	0.0176042	0.029813	0.0517884	0.0541572	0.066033	0.063691	0.0670751	0.0712816	0.0729007	0.0729119	0.0811911
varicelle	0.0388507	0.0290229	0.0245457	0.02221	0.0203131	0.0110607	0.0100905	0.0129228	0.0176283	0.0143391	0.0118422	0.0123311	0.0150617	0.00975443	0.017569	0.0192959	0.0278992	0.0321568	0.0389608	0.063199	0.0629087	0.0759845	0.0790593	0.0829931	0.0947759	0.155224
</S>	0.0812204	0.0610539	0.0370779	0.0341121	0.0335752	0.0309267	0.0287257	0.0303686	0.0266942	0.0225725	0.018066	0.0194155	0.0175455	0.0116932	0.0125413	0.0180211	0.0237625	0.0258969	0.029495	0.0339827	0.0426172	0.0444812	0.0498663	0.050183	0.067572	0.148533
