 	w	á	o	b	á	n	g	á	ó	b	h	í	b	h	i	l	i	m	ó	l	e	b	á	m	b	á	l	á	l	í	í	n	ώ	n	g	í	w	a	</S>
sa	0.15033	0.126015	0.0597938	0.0303045	0.0256432	0.0300297	0.0315093	0.0320806	0.0484167	0.0314428	0.0326123	0.0242699	0.0256621	0.0273929	0.0340315	0.0227732	0.0170424	0.0224438	0.0164425	0.0133733	0.0104736	0.00700598	0.0113369	0.00853822	0.00912754	0.00728117	0.00778382	0.0091187	0.00686148	0.00756825	0.0108598	0.0103321	0.0111308	0.0146713	0.0138369	0.0128731	0.018137	0.0131477	0.00830664
joue	0.0272213	0.0271799	0.0300655	0.0639885	0.115982	0.156807	0.125515	0.0214414	0.0236265	0.00962621	0.00539898	0.00412386	0.00202013	0.00168362	0.00224639	0.000849232	0.00109263	0.00108667	0.00117086	0.00096565	0.00152553	0.00214602	0.00186472	0.00430492	0.0131721	0.00582693	0.0198779	0.0454833	0.0603022	0.0399538	0.0307369	0.056453	0.0389041	0.0106342	0.0168868	0.0213415	0.00421131	0.00203913	0.00224436
s'	0.0114261	0.0234839	0.0281245	0.018266	0.0296609	0.0311396	0.0354768	0.0489794	0.0261853	0.023799	0.0295116	0.027708	0.0212038	0.0188453	0.0188699	0.00969195	0.013365	0.0102514	0.0139895	0.0149721	0.0119925	0.0202409	0.0266703	0.0364632	0.0382269	0.0415642	0.0438303	0.0462817	0.0546866	0.0369307	0.0391042	0.0319102	0.0137932	0.0195642	0.0154805	0.0127972	0.0299454	0.0129704	0.0125974
est	0.0180161	0.0151788	0.0129725	0.00734129	0.00570466	0.00411628	0.00510504	0.00999447	0.0134876	0.0128547	0.00987656	0.0366849	0.0146924	0.0311143	0.0247373	0.0233056	0.0397183	0.0277873	0.029827	0.0517381	0.0367882	0.0517002	0.0381228	0.0436344	0.0499879	0.094845	0.0627422	0.0579062	0.0256149	0.0207704	0.0207652	0.0186768	0.0096421	0.00972268	0.00708944	0.0094933	0.00962859	0.00968373	0.0289329
contusionnée	0.0250984	0.023641	0.0267282	0.0211681	0.0207827	0.011956	0.0110118	0.0179471	0.00955192	0.00928724	0.0131535	0.0262142	0.0164117	0.0281268	0.0343042	0.0219529	0.0250312	0.0174037	0.0237293	0.0213221	0.0296199	0.0461707	0.0443154	0.0639119	0.047403	0.0429227	0.0386137	0.0523733	0.0255207	0.0361849	0.0193875	0.0282455	0.0130786	0.0152063	0.0119403	0.0121145	0.0153274	0.0184078	0.0344338
suite	0.013653	0.0112323	0.00954124	0.0128522	0.0099129	0.0114355	0.0103064	0.0111226	0.00872471	0.00855854	0.0140988	0.0151906	0.0146204	0.0179459	0.0250985	0.0208293	0.0230129	0.0170311	0.0234585	0.0274462	0.0267836	0.0324598	0.0375401	0.0447064	0.0429696	0.0488021	0.0377512	0.0478263	0.0307868	0.0431066	0.0304684	0.0388333	0.0345712	0.0323281	0.0281538	0.0295134	0.022303	0.0341641	0.0508609
à	0.0269226	0.0191256	0.0162565	0.00803672	0.0064459	0.0055629	0.00524551	0.00576976	0.00488617	0.00442415	0.00723286	0.00727166	0.00837241	0.0138431	0.0153803	0.018404	0.0201498	0.0231328	0.0256054	0.0382694	0.0354701	0.0361467	0.0296404	0.034305	0.0334795	0.0530432	0.0538243	0.0494683	0.0515376	0.0601321	0.0510776	0.0410365	0.0390146	0.0262762	0.0217123	0.0256676	0.0151728	0.0244715	0.0381863
la	0.0191281	0.0136628	0.0150792	0.0154903	0.0129321	0.00854622	0.0095927	0.0113857	0.00784389	0.00816309	0.00700181	0.0131209	0.00725781	0.0121645	0.0129977	0.00872152	0.0163038	0.0105796	0.010901	0.0164962	0.0211434	0.0512415	0.0684387	0.102013	0.0952447	0.103154	0.0553043	0.0407228	0.0247788	0.0225575	0.0167872	0.019702	0.0122712	0.0148591	0.0121289	0.0131084	0.0151798	0.0208963	0.0531
giffle	0.0280272	0.0257275	0.0380776	0.0273367	0.0136747	0.00469626	0.00558973	0.00635547	0.00386614	0.00457319	0.00452132	0.0119809	0.00526681	0.0107724	0.0117387	0.00897347	0.0148607	0.014434	0.0084579	0.0154684	0.0227221	0.0403348	0.0666284	0.0606653	0.103636	0.0479713	0.0445933	0.0553673	0.0169607	0.020404	0.0118838	0.0201007	0.0181787	0.00999902	0.00904487	0.00854398	0.0104735	0.0292934	0.138799
qu'	0.0220824	0.0233985	0.0348159	0.0154963	0.0118417	0.00801496	0.00890014	0.0111915	0.00899618	0.0115877	0.00791647	0.0143772	0.0089943	0.0139024	0.0164143	0.0125174	0.0341118	0.0220132	0.0233063	0.0307783	0.0214532	0.0495243	0.0394225	0.0361246	0.0448488	0.0397649	0.0363596	0.0358891	0.0154751	0.0229093	0.018539	0.02326	0.0181643	0.0212477	0.0181797	0.0238533	0.0255213	0.0272017	0.141605
