 	o	b	h	é	m	b	i	s	i	o	t	ω	m	b	í	l	i	l	á	a	n	y	i	á	y	i	n	d	a	m	í	k	a	l	i	s	a	l	ó	t	ω	m	b	í	l	i	</S>
le	0.00730884	0.0101976	0.0115421	0.0115019	0.0123274	0.0121391	0.0194344	0.0205939	0.0332709	0.0422927	0.0318542	0.0434538	0.0507161	0.0696339	0.0485498	0.0395107	0.019416	0.0248247	0.0145973	0.0109338	0.0105403	0.0152503	0.0120131	0.00898997	0.0122937	0.0105287	0.00833363	0.00816647	0.0065186	0.00703314	0.00534801	0.0120156	0.0115899	0.0116434	0.0255041	0.0216911	0.0281497	0.0243458	0.0262682	0.0196032	0.0226576	0.0233754	0.0258141	0.0277243	0.027182	0.0258942	0.0274264
chauffeur	0.0101806	0.0289434	0.0493544	0.0684971	0.0557014	0.0477748	0.0632236	0.0914087	0.0970616	0.0727004	0.0837663	0.0422601	0.064335	0.0309364	0.0239684	0.0190541	0.0121073	0.0160284	0.00689567	0.00622103	0.00759667	0.00705576	0.00928924	0.00441156	0.00664978	0.00548463	0.00371433	0.00935098	0.00611193	0.00328242	0.00253854	0.00245326	0.00252611	0.00156866	0.00203985	0.00105896	0.00153326	0.00143849	0.00185781	0.00632329	0.00217125	0.00639832	0.00400071	0.00493638	0.00283346	0.00146568	0.00149022
tourne	0.0399193	0.0281784	0.0208144	0.014571	0.0197847	0.0268884	0.0235772	0.0215594	0.017745	0.0166881	0.0168584	0.0139884	0.0123936	0.0175645	0.0203731	0.019348	0.0221252	0.0237622	0.0191556	0.0225183	0.024074	0.0131981	0.00940496	0.0127774	0.00802311	0.00693692	0.0116962	0.0127494	0.0136941	0.0187501	0.0330482	0.0225288	0.025228	0.0272022	0.025671	0.0323642	0.0260912	0.0455014	0.0452344	0.0346083	0.0284841	0.0299859	0.0156823	0.0140729	0.0122933	0.0148257	0.0180604
le	0.0196206	0.0260474	0.0267008	0.0263817	0.0336389	0.0378133	0.0408619	0.0383901	0.0313201	0.0350702	0.0263474	0.0267915	0.0224224	0.0235945	0.0203673	0.0210081	0.0220934	0.0204491	0.0210415	0.0197416	0.0211448	0.0214638	0.0194119	0.0162549	0.0145945	0.0204347	0.021337	0.0236436	0.0254701	0.019401	0.0137827	0.0145513	0.0142548	0.0127663	0.0112906	0.0109929	0.0126631	0.0108191	0.00759739	0.0097744	0.0140681	0.00860827	0.0117278	0.0175954	0.0203499	0.0271451	0.039155
volant	0.00654368	0.00595509	0.00662796	0.00584161	0.00642921	0.00705564	0.00734522	0.00740253	0.00889721	0.00917599	0.00917722	0.00932214	0.0102302	0.0125802	0.0140456	0.0161071	0.0191003	0.0262581	0.0299186	0.0390623	0.0296985	0.0339123	0.0338466	0.034523	0.031057	0.029108	0.0252886	0.0403831	0.0325957	0.0247238	0.0346932	0.027574	0.0222968	0.0239203	0.022187	0.0180546	0.0223292	0.0316668	0.0317015	0.0365298	0.024977	0.0254407	0.0252985	0.0219698	0.0186197	0.0183701	0.0221582
pour	0.0262698	0.0172399	0.0131873	0.00868511	0.00666885	0.00719452	0.00622281	0.00964213	0.0088203	0.0117822	0.00878459	0.0076882	0.00665708	0.00650607	0.012855	0.0206426	0.0372183	0.0403265	0.0547388	0.0519114	0.0590964	0.0793262	0.053307	0.038454	0.0277501	0.030406	0.0222779	0.0242416	0.0146359	0.0137492	0.0116993	0.0132938	0.0118602	0.00917765	0.00754528	0.0096197	0.00846682	0.00996799	0.00841449	0.011894	0.0127782	0.0139738	0.0163679	0.0186734	0.0168128	0.0299433	0.0632256
garer	0.0331632	0.0238788	0.0259086	0.0259654	0.0329188	0.0357654	0.0326018	0.0335763	0.0214454	0.0202438	0.0175257	0.0210696	0.014038	0.0200492	0.0360712	0.0299394	0.0387863	0.0205737	0.023687	0.0186579	0.0137169	0.0180794	0.018054	0.01149	0.01804	0.0181962	0.0164936	0.0184143	0.0142676	0.0118625	0.0157685	0.0182604	0.0160628	0.0155372	0.0181375	0.0133035	0.0164074	0.0129653	0.0119901	0.0170556	0.0127577	0.0207951	0.0204696	0.0270211	0.0230287	0.0249528	0.0310069
sa	0.0609694	0.0328489	0.022249	0.0171103	0.0143717	0.0124013	0.0129893	0.0121683	0.0162749	0.0135919	0.0110758	0.0156659	0.0104757	0.0143405	0.00860304	0.00910808	0.018583	0.0141039	0.024068	0.0365277	0.0285832	0.0561473	0.0298918	0.0310783	0.0301915	0.0366652	0.03277	0.0284419	0.0263883	0.027316	0.0200617	0.0280424	0.0235067	0.0220553	0.018811	0.0214789	0.0151035	0.0171708	0.00990288	0.0121032	0.00825659	0.013516	0.0137462	0.0119654	0.0106586	0.0133984	0.0352222
voiture	0.0361457	0.0328618	0.0290729	0.0173885	0.00898367	0.00477756	0.00674792	0.00994182	0.0116704	0.0131423	0.0134178	0.0134168	0.014426	0.0149828	0.0192875	0.0183631	0.0259153	0.021368	0.0247688	0.0319484	0.0216087	0.0306993	0.0288758	0.0219751	0.0241133	0.0267731	0.0176771	0.0202918	0.0150006	0.0139087	0.00738585	0.0148352	0.0137111	0.00987529	0.0130168	0.00969198	0.0112212	0.0063692	0.0119368	0.015889	0.0069631	0.0168596	0.02123	0.0344184	0.042978	0.0339262	0.140142
</S>	0.101395	0.0697225	0.0454253	0.0288022	0.016663	0.0120319	0.0112168	0.0113221	0.0109097	0.00943175	0.00674292	0.00813738	0.00537141	0.00757076	0.00469867	0.00531011	0.010573	0.0104161	0.0153553	0.0180655	0.0165679	0.0335128	0.0216765	0.0198047	0.016875	0.0286691	0.0234495	0.0215058	0.0188132	0.0140129	0.00741104	0.0123845	0.00748276	0.00626748	0.00722849	0.00863959	0.00977585	0.00845867	0.00766587	0.00994976	0.0118579	0.00946893	0.0147253	0.0251286	0.0246141	0.0309685	0.173924
