 	p	ώ	ω	y	é	é	t	i	á	m	w	á	n	a	l	a	n	g	ó	o	y	í	i	é	d	í	m	b	v	a	m	b	v	a	</S>
ce	0.0132522	0.0144672	0.0139208	0.0163313	0.0118431	0.0159044	0.0275953	0.0491526	0.0561225	0.0627341	0.0788483	0.0714149	0.0731488	0.0335207	0.0346732	0.0270351	0.0242566	0.0241757	0.0250016	0.0224188	0.00831151	0.00963633	0.0106901	0.00917253	0.0147765	0.0106485	0.0208623	0.0162192	0.029393	0.0344979	0.0311054	0.038108	0.0226907	0.0300562	0.0180147
que	0.078747	0.102935	0.162239	0.125887	0.0430055	0.013807	0.0259949	0.0385083	0.0461279	0.0309529	0.0216105	0.0222486	0.0119563	0.0156998	0.0205865	0.0178322	0.00953235	0.0122061	0.00975602	0.00807095	0.00655304	0.00583257	0.0121618	0.0125705	0.011978	0.0109255	0.0330396	0.0217214	0.0143963	0.0167703	0.0242428	0.0035547	0.00517904	0.00171121	0.00165976
l'	0.1318	0.0847555	0.0655165	0.0269141	0.0146015	0.02169	0.0221462	0.0142468	0.0105349	0.00813342	0.00696086	0.00918144	0.0139434	0.0147832	0.0127781	0.0302045	0.042395	0.0338654	0.0177494	0.0175432	0.0246457	0.0102665	0.0162476	0.0119831	0.00910861	0.0204093	0.0150917	0.03129	0.0452988	0.0483105	0.0430442	0.0492234	0.0260857	0.0268	0.0224515
enfant	0.0279252	0.0395676	0.0678545	0.0782559	0.0554847	0.0787616	0.0349931	0.0249698	0.0543049	0.0287637	0.0361104	0.0194049	0.0168405	0.0101865	0.0231289	0.0508838	0.0355569	0.0368819	0.0331667	0.0235957	0.0190686	0.0138151	0.0140646	0.0181487	0.0107411	0.01477	0.0147487	0.00862789	0.0202402	0.012698	0.0135205	0.00445469	0.00871647	0.00577073	0.0439775
raconte	0.0441843	0.0411323	0.0392607	0.036013	0.0334262	0.0452709	0.0252119	0.0219631	0.0258887	0.0190499	0.0151179	0.0136846	0.0190693	0.0188678	0.0290487	0.0399407	0.0351879	0.0396596	0.0218685	0.0292322	0.0331912	0.0225606	0.0394331	0.0230722	0.0181016	0.0297347	0.0231633	0.0279784	0.0309122	0.0214452	0.0233739	0.014326	0.0179324	0.0211659	0.060531
à	0.0670487	0.0575002	0.0520781	0.0662569	0.0581368	0.0505898	0.0452957	0.0416646	0.0336304	0.025442	0.026799	0.0118364	0.0143774	0.00992292	0.00930435	0.00826264	0.0151187	0.0138945	0.0170016	0.0158933	0.0295509	0.0137442	0.0178346	0.0221713	0.0153805	0.0183351	0.0174401	0.0346121	0.0159811	0.0192107	0.0147927	0.0260917	0.0214193	0.0195578	0.0738239
sa	0.0514304	0.0446998	0.0325227	0.0428895	0.0399296	0.0316641	0.0396118	0.0370996	0.0265656	0.0131837	0.0217668	0.0161388	0.0189921	0.0205654	0.0177152	0.0151152	0.0389889	0.0284383	0.0381705	0.0327865	0.0254277	0.0324202	0.0260261	0.0321176	0.0193288	0.0220458	0.0309212	0.0178829	0.0208851	0.00955884	0.0183969	0.00779763	0.0206749	0.0288329	0.0794088
mère	0.0575429	0.036299	0.0271846	0.0408287	0.0305351	0.0296825	0.0394679	0.0425704	0.0321364	0.028709	0.0288935	0.0149953	0.0197756	0.0231549	0.0304869	0.0381993	0.0461803	0.0424	0.0334671	0.0185513	0.0111795	0.00989864	0.0077482	0.0123272	0.00871014	0.00723006	0.0145735	0.012105	0.0172532	0.0184465	0.0275373	0.00905327	0.0351169	0.0442436	0.103516
est	0.122771	0.0642722	0.0505068	0.0524472	0.0372096	0.0276606	0.0171828	0.0162327	0.0124538	0.0115676	0.0113003	0.0100529	0.0118141	0.01193	0.0128485	0.0192484	0.0319472	0.0244389	0.036993	0.0190301	0.034515	0.0166599	0.0123879	0.0315991	0.0100492	0.0163315	0.0155146	0.00740902	0.0360456	0.0105923	0.0276395	0.00440654	0.0263771	0.0237183	0.124847
vrai	0.0598134	0.0458315	0.0427193	0.03661	0.0237182	0.0148363	0.00888655	0.00847932	0.00784186	0.00784772	0.00787884	0.00792385	0.00978888	0.00963337	0.011933	0.0203448	0.025867	0.0218051	0.0243718	0.0178878	0.0402973	0.0286469	0.0252214	0.0284317	0.0198272	0.0182371	0.020822	0.0133799	0.0306456	0.0207779	0.0471567	0.0188144	0.058761	0.0734531	0.141509
</S>	0.0594549	0.0465414	0.0437849	0.033533	0.0268915	0.0257758	0.0168797	0.0153944	0.0126341	0.00905806	0.00922098	0.0100779	0.0106433	0.00630213	0.00545706	0.00779733	0.0174677	0.014427	0.0199081	0.0194018	0.0497633	0.0226099	0.0222767	0.0366077	0.0201496	0.023892	0.0241739	0.0275985	0.0407536	0.0244316	0.0273105	0.0211047	0.0388415	0.0564621	0.153373
