 	e	t	ó	n	g	o	y	é	é	t	ó	í	b	í	s	í	l	a	m	w	á	s	í	é	d	z	e	é	b	h	i	i	t	i	b	h	í	</S>
l'	0.0143113	0.0228316	0.0237538	0.0259318	0.0295299	0.0282536	0.018401	0.0170978	0.0308855	0.043783	0.0471676	0.0553116	0.0563644	0.0509021	0.0408067	0.0297044	0.0290142	0.0327012	0.0258856	0.0111994	0.0254333	0.0236162	0.0236979	0.0199569	0.0137694	0.0170044	0.0150233	0.0161755	0.0127796	0.0200449	0.0168181	0.014574	0.0212842	0.0187226	0.0289838	0.0239996	0.0274161	0.0268635
étang	0.0247877	0.0336649	0.0258619	0.0360051	0.0521898	0.0847214	0.0540297	0.0307351	0.0367713	0.0380532	0.00767971	0.0115996	0.0120146	0.0235314	0.0108906	0.0329208	0.0131818	0.0180206	0.0167026	0.0241871	0.0187893	0.015616	0.0302942	0.0161618	0.0147478	0.0156514	0.0346338	0.0257361	0.0399694	0.0395535	0.0381767	0.0335798	0.0232701	0.0214061	0.0245539	0.00826165	0.00588665	0.00616309
où	0.0599678	0.0450045	0.0375235	0.0261162	0.0304044	0.0353919	0.0207807	0.0163534	0.0159021	0.0109861	0.0144946	0.018672	0.0277994	0.0333946	0.0412787	0.042479	0.0363589	0.0373522	0.0273747	0.0297978	0.038463	0.0279805	0.0187728	0.0314084	0.0195954	0.0228265	0.0186802	0.0326502	0.0385132	0.0183067	0.0164434	0.0330674	0.0184051	0.0158313	0.0129277	0.0102777	0.0107587	0.0076595
mon	0.00930604	0.00969357	0.0175004	0.0196056	0.0209212	0.0175198	0.0151296	0.0102502	0.00719606	0.00802954	0.00726147	0.00759317	0.00994822	0.019551	0.0246411	0.0332134	0.0424218	0.0657039	0.0990733	0.0235538	0.0178453	0.0294859	0.0110529	0.0325557	0.0359033	0.0399915	0.0466066	0.0300829	0.0480039	0.0207003	0.0213319	0.0268037	0.0248536	0.0207896	0.0328092	0.0279211	0.0360682	0.0290813
épouse	0.0560105	0.0279344	0.0181284	0.0157296	0.018852	0.0297684	0.0148809	0.012989	0.0178039	0.0191428	0.0214551	0.0254945	0.0303529	0.0322888	0.0278223	0.0353443	0.0346083	0.0289489	0.0325737	0.041856	0.0193125	0.0217911	0.0240905	0.050858	0.0174489	0.0216957	0.0307909	0.0394523	0.0426536	0.0334904	0.0203757	0.0137141	0.0168215	0.012538	0.0194979	0.0134962	0.0126884	0.0472998
et	0.0270329	0.0289615	0.028328	0.0250543	0.0240852	0.0235553	0.0211823	0.0189448	0.0147422	0.012444	0.00834298	0.00711549	0.00844435	0.0081024	0.0142076	0.019789	0.0327203	0.0556552	0.0682068	0.0546936	0.0211316	0.0371766	0.0196509	0.0416785	0.0250028	0.0403403	0.0355978	0.0206342	0.0362009	0.011309	0.0119592	0.0140532	0.0131146	0.0142554	0.0142297	0.0239057	0.0225692	0.0955825
moi	0.0178568	0.0173755	0.0182457	0.0190272	0.0183263	0.0182449	0.0158206	0.0193632	0.0160106	0.0117029	0.00980199	0.00976197	0.0119476	0.0120962	0.0212065	0.0347806	0.0355306	0.0456399	0.0397491	0.039827	0.0205768	0.041396	0.0350325	0.0395644	0.0387369	0.0508556	0.0397859	0.0273308	0.044968	0.0200608	0.022423	0.0251747	0.0220522	0.0184136	0.0213185	0.0267776	0.0207208	0.0524967
avons	0.0872582	0.0673158	0.0450423	0.0354144	0.0315027	0.0236393	0.0160299	0.0160183	0.0110838	0.00989519	0.0131517	0.0127671	0.0196234	0.0173951	0.0435416	0.0588154	0.0526242	0.0421439	0.0250907	0.0426744	0.0164408	0.0232198	0.0139894	0.0247227	0.0140098	0.0179517	0.0228656	0.0111058	0.0123875	0.0138718	0.00905032	0.00704594	0.00897294	0.0130832	0.0113672	0.0135431	0.0237348	0.0716102
péché	0.171263	0.0914554	0.0415701	0.0154686	0.00803207	0.0040969	0.00282248	0.00338962	0.00390911	0.00615644	0.00509744	0.0106036	0.0201546	0.0221992	0.0548155	0.0560384	0.048833	0.0299189	0.0234963	0.0211058	0.0216595	0.0256606	0.0193321	0.0221843	0.0184048	0.0195851	0.0254707	0.0132481	0.00772578	0.0101913	0.00802446	0.00546019	0.00947229	0.0118856	0.0192806	0.0161053	0.0314055	0.0744777
à	0.0567031	0.0327835	0.0207649	0.0185345	0.0196577	0.0257348	0.0238777	0.0274039	0.0224935	0.0198922	0.0207806	0.0283459	0.0274187	0.0306596	0.0249272	0.0285688	0.0298109	0.0248355	0.0284087	0.0253186	0.0211168	0.027881	0.0285198	0.0440198	0.0302652	0.0384052	0.0350061	0.0303498	0.026777	0.0191159	0.0166529	0.00874937	0.0115481	0.0109543	0.0127969	0.0174187	0.0199463	0.0635568
l'	0.0807454	0.0331618	0.0284428	0.0254838	0.0254598	0.026414	0.0242146	0.0208455	0.012469	0.0100944	0.0109834	0.00922959	0.00954418	0.0105118	0.0150885	0.0164922	0.0198075	0.020182	0.0235264	0.0161778	0.0163844	0.0212044	0.0179484	0.0358852	0.021287	0.0292497	0.0381191	0.0367762	0.03998	0.0317338	0.031017	0.0226199	0.028631	0.0235971	0.0321478	0.0300184	0.0405499	0.0639763
écope	0.09513	0.0430524	0.0222501	0.015162	0.0110751	0.00573567	0.00383297	0.00517192	0.00601178	0.00964304	0.0128008	0.0112932	0.0138255	0.0113394	0.0160622	0.0106846	0.0197059	0.0250238	0.0312762	0.0232607	0.050154	0.0530114	0.0306183	0.0391708	0.0307491	0.0285799	0.0177167	0.0140597	0.0137931	0.0124836	0.00908508	0.00490112	0.00919302	0.012408	0.0255814	0.0300109	0.0731181	0.153028
n'	0.0705465	0.0326842	0.027722	0.0237167	0.0213707	0.0158836	0.0108601	0.00914842	0.00661357	0.00732931	0.00979039	0.0101714	0.0106784	0.0140202	0.0170923	0.0201779	0.0309982	0.0399393	0.0500005	0.0298658	0.0531149	0.0578343	0.0470699	0.0546649	0.0273813	0.0256624	0.031122	0.0189109	0.0149655	0.0124505	0.0106304	0.0121908	0.0123167	0.013218	0.0227221	0.0246561	0.0258328	0.0766467
avait	0.169853	0.0670885	0.0468717	0.0365015	0.0331863	0.0227808	0.0147457	0.0124713	0.0114784	0.0127765	0.0152914	0.0114067	0.0106421	0.00984687	0.0157804	0.0183275	0.0251864	0.0276575	0.0319596	0.0200741	0.0184723	0.0254107	0.0149514	0.0301056	0.0167163	0.0241483	0.021848	0.0108264	0.0121035	0.0080996	0.00772333	0.0119074	0.0149193	0.0191143	0.0314485	0.0257917	0.0273673	0.0651197
