 	b	í	s	í	l	é	t	i	n	g	i	m	b	ó	s	i	m	í	k	í	é	ó	t	s	é	y	ó	m	b	á	n	g	é	</S>
nous	0.198492	0.266186	0.0880515	0.0719128	0.0340932	0.0338059	0.00984254	0.0207032	0.00508437	0.00477893	0.0158973	0.0146948	0.0118263	0.012433	0.00404373	0.00453712	0.00482111	0.00773927	0.00795457	0.00720614	0.0114212	0.00999889	0.0120003	0.0119549	0.012744	0.0121878	0.0100192	0.0111607	0.00954936	0.013427	0.0090546	0.0180898	0.0173503	0.0169381
avons	0.0422858	0.0499805	0.0399646	0.0482231	0.038131	0.0404474	0.0599565	0.051939	0.025361	0.0246808	0.0753622	0.0861268	0.0784565	0.045675	0.0367606	0.0216034	0.0178852	0.0150404	0.0153546	0.00849907	0.0159213	0.0264366	0.0169183	0.0142709	0.0112304	0.0119205	0.0136989	0.0132944	0.0107538	0.0161683	0.00477944	0.00806271	0.00530245	0.00950852
attaché	0.0101938	0.00873639	0.0107119	0.0111056	0.0136801	0.0185027	0.0317278	0.0247839	0.0492967	0.0448128	0.0682984	0.0548055	0.131422	0.108624	0.0825354	0.0656932	0.0416379	0.0290981	0.0185503	0.0134408	0.0126348	0.0150868	0.0127225	0.0132063	0.0124621	0.0120486	0.0112475	0.00944441	0.00874216	0.0101162	0.0106226	0.00884354	0.016098	0.00906725
le	0.026824	0.0236482	0.0227416	0.0234163	0.023043	0.0249117	0.0274475	0.0252101	0.0413091	0.0593468	0.0511569	0.0537207	0.0545198	0.0528921	0.0484498	0.0292857	0.0204486	0.015348	0.0179528	0.0147331	0.0142292	0.0149667	0.0166042	0.0162034	0.0156643	0.0165797	0.0182252	0.0191071	0.0191413	0.0217412	0.0213106	0.0282183	0.0532075	0.0683956
cabri	0.00911386	0.00972898	0.00818232	0.0081227	0.00694467	0.00726328	0.00794372	0.00642356	0.00509194	0.00991423	0.0139289	0.0224501	0.0166895	0.00965526	0.00903725	0.0167445	0.0172808	0.0214111	0.0191907	0.025159	0.0513422	0.0511716	0.0754177	0.057124	0.056538	0.0824255	0.0703885	0.0831103	0.0568292	0.0289924	0.0329006	0.0337126	0.029666	0.0401051
sous	0.0036066	0.00364226	0.00221162	0.00519202	0.00726242	0.0107526	0.00721667	0.00904468	0.0115453	0.0131764	0.0218634	0.0158723	0.0175049	0.0247422	0.0326607	0.029861	0.0316313	0.0308312	0.052296	0.0387074	0.0387135	0.0433251	0.0370712	0.0470089	0.0503464	0.0355332	0.0350052	0.0342359	0.0492507	0.0504918	0.0409024	0.0439357	0.0609959	0.0635631
le	0.0492513	0.0515011	0.0301693	0.0585745	0.0398552	0.0371638	0.0298328	0.0317318	0.0249573	0.0335089	0.0254725	0.0245612	0.02415	0.0218226	0.0213999	0.0244523	0.0135718	0.0109749	0.0129032	0.013961	0.0131194	0.0129511	0.0162928	0.0155729	0.0189864	0.0164733	0.0178375	0.0200715	0.0211943	0.0203728	0.029989	0.0302473	0.0470733	0.140003
manguier	0.0068787	0.00606388	0.00664597	0.00398034	0.00359391	0.00369757	0.00368504	0.00359754	0.00389442	0.00492697	0.00671743	0.00684631	0.00618901	0.00549529	0.00901188	0.0105352	0.0152708	0.0181077	0.0314818	0.0416951	0.0503842	0.0534887	0.0538076	0.0533264	0.0616844	0.0558201	0.0580022	0.0645253	0.0658545	0.0449307	0.0616142	0.0638486	0.0569754	0.0574225
avec	0.0220517	0.0201927	0.0174434	0.018311	0.0179522	0.0199987	0.0205379	0.0185877	0.0164739	0.0244648	0.0190185	0.0148973	0.01723	0.0159147	0.0160212	0.0190421	0.0154355	0.0171625	0.0172708	0.0191187	0.0210283	0.0201283	0.0248905	0.0231457	0.0293174	0.0283254	0.0311463	0.0350703	0.037255	0.0363176	0.0727874	0.0571026	0.0791848	0.137175
une	0.0615672	0.0541424	0.0437837	0.0346053	0.0237406	0.0222065	0.0213445	0.0217193	0.020277	0.0428321	0.0297	0.0207555	0.0207394	0.0168291	0.0148307	0.0168963	0.00879481	0.00905404	0.0138802	0.0132216	0.0130634	0.0131339	0.0152167	0.0184971	0.0184615	0.0160999	0.0199549	0.0194457	0.0170424	0.0217879	0.0513183	0.0364132	0.0608749	0.16777
corde	0.0197861	0.0110381	0.0126607	0.00864273	0.00893009	0.00835077	0.0080354	0.00850137	0.00875702	0.00937418	0.0138284	0.0177011	0.0190193	0.0139635	0.0142156	0.0118969	0.011863	0.0119643	0.0259789	0.0226308	0.0267877	0.0329877	0.0281664	0.0451919	0.0455685	0.0320192	0.0363619	0.0344225	0.04326	0.0391589	0.0749969	0.0658063	0.0929929	0.135141
</S>	0.0208713	0.0186703	0.0105672	0.00985753	0.010357	0.00898164	0.00929992	0.0105679	0.011662	0.0209394	0.0285015	0.0387864	0.039487	0.0309191	0.0280928	0.0247482	0.016302	0.0173691	0.0236208	0.0288246	0.0319014	0.0338352	0.0325143	0.0344076	0.0291701	0.0218797	0.0252069	0.0229732	0.0259429	0.020674	0.0421095	0.0341164	0.0709397	0.165904
