 	n	g	á	l	í	i	l	ω	n	d	ω	ω	b	á	a	s	á	n	g	o	n	d	a	y	í	k	o	ó	</S>
je	0.0744915	0.453552	0.254574	0.109185	0.0533542	0.020331	0.00322351	0.0012774	0.000987826	0.000841909	0.00159425	0.00196379	0.00217693	0.001993	0.00162751	0.000890163	0.000862748	0.000964401	0.000563532	0.00116368	0.00204029	0.0010936	0.00150683	0.00194301	0.00273426	0.00171633	0.00105909	0.00106239	0.00122659
les	0.0184112	0.00667227	0.00750745	0.00756267	0.0164154	0.0227856	0.0422193	0.134908	0.139877	0.125451	0.104515	0.103898	0.0720313	0.0406071	0.0160882	0.0131263	0.0102412	0.0100303	0.00899343	0.00661436	0.00637246	0.00392905	0.0051307	0.00567998	0.00797311	0.0108388	0.00497592	0.00947926	0.0376656
suis	0.0851804	0.030011	0.0355115	0.0482592	0.0392378	0.0358347	0.0256107	0.0207515	0.0240168	0.01454	0.0197425	0.0270328	0.0225184	0.0352056	0.0481358	0.0420307	0.0449693	0.0376577	0.0241858	0.029051	0.0205879	0.0224223	0.0146896	0.0267637	0.0216473	0.0351272	0.0376908	0.0488171	0.0827707
dans	0.0174929	0.00964467	0.00945988	0.00729661	0.0123515	0.00744903	0.0149688	0.0274125	0.022688	0.031767	0.0321572	0.034056	0.0375788	0.0589176	0.0700419	0.0415351	0.0410759	0.0363463	0.0267461	0.0427095	0.0381972	0.0652321	0.042598	0.0699991	0.063114	0.0319278	0.0511802	0.0325906	0.0234658
le	0.0148169	0.0103142	0.00966789	0.00568427	0.0114775	0.00650499	0.010755	0.0275648	0.0305496	0.0560931	0.0615177	0.0684705	0.0498581	0.0784135	0.0494128	0.0255811	0.0273322	0.0268215	0.0266126	0.0469172	0.0319823	0.0561624	0.036243	0.0381479	0.0402237	0.0264865	0.0395183	0.0357047	0.0511659
champ	0.0242234	0.0903988	0.0753479	0.0462001	0.0190824	0.0172927	0.00706303	0.00764546	0.00891517	0.00754914	0.00835899	0.0091286	0.00755431	0.013701	0.0196102	0.0332954	0.0343612	0.0547855	0.055856	0.0594038	0.0372754	0.0449334	0.0354504	0.0471716	0.0477807	0.0408059	0.0459564	0.0409408	0.0599124
de	0.0484733	0.0332981	0.0401265	0.0369878	0.0278529	0.0315726	0.0196513	0.023575	0.0250073	0.0297934	0.0296866	0.0286001	0.0239774	0.038412	0.0336712	0.038197	0.0351892	0.0462825	0.0401171	0.0284775	0.0215912	0.0287054	0.0223655	0.0249208	0.0295054	0.0286655	0.0405411	0.0459037	0.0988524
canne	0.0664648	0.037073	0.0433171	0.0185875	0.0359595	0.0147047	0.0118867	0.0145693	0.0123434	0.0115418	0.012725	0.0130975	0.0100192	0.0127168	0.0151663	0.0194006	0.0285517	0.0385457	0.0408271	0.0443153	0.0420705	0.0415511	0.0441134	0.0486667	0.0551977	0.0572114	0.0589111	0.0607449	0.0897202
à	0.0351988	0.0190974	0.0280558	0.0336619	0.0250159	0.0230086	0.0170678	0.0135812	0.0164822	0.0149976	0.0138353	0.0190489	0.018287	0.024124	0.0246612	0.029596	0.0336203	0.0290827	0.0260492	0.0194674	0.0198657	0.0304522	0.0274687	0.0293101	0.038942	0.0529057	0.0623873	0.0791312	0.195598
sucre	0.068854	0.0280527	0.0347876	0.0275485	0.0256026	0.0194528	0.0159681	0.0212135	0.0154205	0.0135801	0.0170778	0.0123746	0.0108754	0.0124626	0.0172837	0.0106758	0.0163275	0.0227563	0.0158534	0.0273667	0.0216751	0.0255546	0.0213586	0.0343634	0.0514325	0.0798552	0.0963535	0.111752	0.124121
</S>	0.0304079	0.010164	0.0161165	0.0179785	0.0156151	0.0160246	0.0159555	0.0156418	0.0181802	0.0259561	0.0214773	0.02602	0.0210597	0.0284044	0.0242301	0.0265049	0.031628	0.0298925	0.0274164	0.0326096	0.0331459	0.0374801	0.0299065	0.0411952	0.044729	0.0601643	0.072986	0.0843669	0.144743
