 	é	d	i	o	t	ú	ú	g	h	á	m	ó	ó	d	i	b	á	a	k	a	n	g	á	a	b	h	ó	l	á	m	á	b	v	á	r	e	</S>
c'	0.0433843	0.0867928	0.0277866	0.030318	0.0503754	0.0385273	0.0336647	0.0321718	0.0381631	0.0431747	0.033744	0.0399198	0.0434854	0.0455315	0.0526317	0.0446963	0.0358438	0.0126038	0.015866	0.0100427	0.0107909	0.0103799	0.0133418	0.0155702	0.0134804	0.0145174	0.0259065	0.0203499	0.0187794	0.0148045	0.00930477	0.0117419	0.0116546	0.0118132	0.00844853	0.0125632	0.0178292
est	0.0793416	0.0402287	0.0228359	0.0151625	0.0177188	0.0160678	0.0190272	0.0245891	0.0208963	0.01593	0.0129669	0.0144287	0.0352699	0.0424335	0.0337051	0.0567155	0.0608416	0.0675499	0.0631402	0.0435191	0.0435547	0.0220775	0.025485	0.0231253	0.0246126	0.0254921	0.0229551	0.023702	0.0163442	0.0150051	0.0176023	0.00603562	0.00807827	0.00524081	0.00334391	0.00635813	0.00861917
de	0.0738693	0.0650955	0.0316007	0.029866	0.0262709	0.0300144	0.0315858	0.029492	0.0408071	0.0375046	0.0255533	0.059664	0.0954495	0.0542048	0.0470402	0.0354938	0.0253346	0.01252	0.0244767	0.0131433	0.0162198	0.00904288	0.010177	0.00739816	0.00734809	0.00519924	0.00702062	0.00479569	0.0061643	0.0117022	0.0061973	0.00849192	0.0136417	0.0213362	0.0173972	0.0110167	0.0478644
l'	0.0441843	0.0595872	0.0787879	0.0947767	0.131985	0.0865476	0.0408507	0.0318396	0.0253882	0.0250348	0.0215507	0.0146103	0.0261909	0.0395493	0.0269158	0.0268899	0.0201605	0.0137302	0.0169551	0.0149962	0.0216948	0.0108509	0.0133347	0.0066884	0.00664003	0.0032267	0.00500685	0.00304848	0.00307467	0.00314516	0.00183063	0.00352945	0.00597768	0.0109054	0.00691385	0.00875099	0.0448499
argile	0.0365866	0.0437973	0.0428821	0.0348959	0.0414106	0.0339773	0.0367305	0.0471916	0.0383814	0.0317028	0.035027	0.0346211	0.0411703	0.0600947	0.0544643	0.0481453	0.0357255	0.0349765	0.0376379	0.0237506	0.0178974	0.00982608	0.0064747	0.00379443	0.00382802	0.0027365	0.00254957	0.00464428	0.00508792	0.00514024	0.00295397	0.00423591	0.00916725	0.0162903	0.015028	0.0235084	0.0736676
dont	0.0549663	0.0277585	0.0299777	0.0246082	0.0243714	0.0183644	0.0277252	0.0321288	0.033992	0.0355923	0.0278107	0.0230777	0.019802	0.0242284	0.0228854	0.0271284	0.0226849	0.042589	0.0350181	0.0382441	0.0326643	0.0410985	0.0265024	0.013446	0.0202017	0.0153194	0.0126727	0.0221818	0.0239959	0.0206844	0.0140114	0.0184836	0.0229944	0.0223335	0.026351	0.0275136	0.046592
on	0.102289	0.045082	0.0292656	0.0194515	0.0214712	0.0174388	0.0182714	0.020874	0.0189308	0.016325	0.0103527	0.00885129	0.00844593	0.0108176	0.0157967	0.0229181	0.0243928	0.034183	0.039919	0.0467818	0.0280755	0.042665	0.0341188	0.0402127	0.0289431	0.0380191	0.0411949	0.0400054	0.024344	0.0202233	0.0269752	0.0125947	0.0155918	0.0114889	0.011337	0.0131952	0.0391573
se	0.115999	0.0514592	0.046578	0.0413506	0.0280027	0.0192784	0.0198351	0.0194544	0.0152368	0.0124452	0.0127364	0.0118604	0.0117574	0.0149523	0.0161011	0.0175844	0.0178751	0.0161077	0.0153223	0.0158587	0.0138637	0.0136551	0.0138353	0.0149459	0.01514	0.0155973	0.0175332	0.0204811	0.0252303	0.0297218	0.0265766	0.0280627	0.0346618	0.0476514	0.0457703	0.0453313	0.0721466
sert	0.109301	0.0649772	0.0536394	0.040822	0.0209042	0.0121916	0.0135062	0.0218854	0.0160643	0.0131254	0.0116679	0.0122378	0.0118259	0.0131243	0.0151336	0.0147375	0.0171525	0.0101896	0.0103544	0.00999466	0.00805123	0.0139072	0.0139114	0.0160173	0.0192106	0.0193234	0.0178862	0.0229667	0.0256731	0.0349155	0.0237324	0.0374278	0.0371025	0.0453154	0.0394374	0.0416403	0.0906471
pour	0.0749794	0.0403489	0.0292686	0.0297878	0.0268256	0.0290658	0.0311266	0.0283869	0.0320425	0.0310961	0.0170529	0.0149767	0.0208056	0.00728547	0.00640194	0.00542176	0.00525772	0.0103778	0.0103938	0.0189085	0.0154912	0.0185656	0.0208903	0.023477	0.0277988	0.0259639	0.019661	0.023832	0.0342885	0.0357608	0.0528075	0.038744	0.0380373	0.0346655	0.0341991	0.0346929	0.0513141
boucher	0.0579523	0.0246586	0.0210464	0.0204963	0.0152038	0.0132196	0.0117575	0.0140348	0.0104501	0.0068422	0.00579566	0.00775619	0.00741385	0.00715345	0.00663486	0.00885784	0.0132026	0.0175106	0.0176022	0.0247643	0.0182027	0.026438	0.0213871	0.033374	0.0411634	0.0524767	0.0299232	0.0447392	0.0431351	0.0551121	0.0501682	0.0590489	0.0439838	0.0390314	0.0475344	0.0365355	0.045393
les	0.0557479	0.024534	0.0202014	0.0207652	0.0148831	0.0129773	0.014429	0.021057	0.021308	0.0188356	0.0188173	0.014889	0.0168967	0.011136	0.0077357	0.00761848	0.010774	0.0128651	0.0157902	0.0215356	0.0162286	0.0301537	0.0252253	0.0305444	0.0383002	0.0326975	0.0232712	0.024379	0.022757	0.0269505	0.029937	0.0423648	0.0383039	0.0463372	0.0634792	0.0581814	0.0880924
trous	0.0697758	0.0320545	0.027242	0.0235827	0.0167167	0.0146485	0.0134168	0.015809	0.0135002	0.00729881	0.00651225	0.00789152	0.0066811	0.00673098	0.00665547	0.00611991	0.00753989	0.00738642	0.0095671	0.00829536	0.00806715	0.00876656	0.0101193	0.0147718	0.0283457	0.0276327	0.0202158	0.0320127	0.0361523	0.0366328	0.0393972	0.0686028	0.0536055	0.0658472	0.0785532	0.0564421	0.10741
