 	k	o	b	h	á	y	a	á	e	y	e	a	b	a	á	l	ó	o	s	e	n	g	á	w	á	a	o	d	i	í	i	k	á	m	b	í	</S>
prenez	0.022249	0.0149153	0.0203916	0.0361001	0.0541927	0.0507895	0.0439827	0.0629747	0.0632994	0.0896237	0.0779785	0.0504319	0.0437419	0.0631031	0.0239768	0.0256553	0.0171116	0.0145362	0.00936328	0.00675855	0.0129624	0.0134529	0.0111879	0.0109242	0.00811666	0.00868253	0.0118412	0.0104444	0.00537425	0.00590309	0.0237109	0.0154358	0.0174131	0.0124026	0.0148682	0.0130711	0.0130329
quelque	0.0507484	0.0374504	0.0436967	0.0459526	0.047763	0.0475946	0.0474158	0.0493074	0.0631082	0.0600915	0.0765485	0.0527012	0.0593422	0.073482	0.0614404	0.0531049	0.0478744	0.0177583	0.00705831	0.00413439	0.0022098	0.00543479	0.00877242	0.00581598	0.00374618	0.00121296	0.00158037	0.00118337	0.00111356	0.00186684	0.00259888	0.0019206	0.00166293	0.00248343	0.00297889	0.00268996	0.00615578
chose	0.0148082	0.0201194	0.0148804	0.0117021	0.0139102	0.0111666	0.0261031	0.0223542	0.0354298	0.0310114	0.0335977	0.0257396	0.0279137	0.0217978	0.0326531	0.0303324	0.0495876	0.0845014	0.070959	0.0446913	0.0811351	0.0800633	0.0526146	0.0367207	0.0140367	0.00827042	0.0123121	0.00978308	0.00548299	0.0121982	0.010928	0.00822115	0.00927912	0.0088293	0.0091823	0.00866347	0.00902053
pour	0.0513381	0.0401987	0.0291453	0.0155555	0.0134118	0.0144838	0.0150774	0.0124602	0.00873062	0.00770805	0.00577277	0.00508013	0.00570752	0.00552484	0.0124783	0.0138043	0.0308313	0.0788956	0.183091	0.117325	0.0643442	0.0146529	0.030532	0.0261113	0.028454	0.0271005	0.0184318	0.0155389	0.0143074	0.00937107	0.0113352	0.00632138	0.0114633	0.0120381	0.0105837	0.0132715	0.0195227
vous	0.0340767	0.0221689	0.0156902	0.0116599	0.0102062	0.00789653	0.0113733	0.0128169	0.015688	0.0166472	0.0114525	0.00766794	0.0109249	0.0108331	0.0137165	0.0177013	0.0485274	0.130142	0.121422	0.0931154	0.0655165	0.0359759	0.0407423	0.011446	0.0101665	0.00803453	0.00926187	0.00610363	0.0168438	0.00924459	0.0212888	0.00816647	0.0216444	0.0473263	0.0205208	0.0169195	0.027071
en	0.0228822	0.02114	0.0202272	0.0202655	0.0201402	0.0197128	0.0178782	0.0138464	0.0092791	0.00928118	0.00948531	0.00928834	0.0129573	0.0100549	0.0105375	0.0112076	0.0145011	0.0252843	0.0473077	0.0467939	0.0610909	0.0296342	0.0540378	0.0280782	0.0349997	0.0174123	0.0296375	0.0192669	0.0194689	0.0185614	0.0308978	0.0190535	0.0324945	0.0506023	0.0495695	0.0576033	0.0755205
servir	0.0375092	0.0346771	0.0250836	0.0275214	0.0229553	0.0191786	0.0129241	0.0108143	0.00997655	0.0111733	0.0122382	0.013487	0.0196732	0.0154551	0.020427	0.024312	0.037564	0.0557123	0.0568852	0.0677074	0.0501381	0.0330613	0.0468476	0.0265851	0.0237899	0.0117883	0.011012	0.00916812	0.00862386	0.00711248	0.0156849	0.00902217	0.0185126	0.0271445	0.0361095	0.0453789	0.0847457
au	0.0265806	0.0196895	0.0169897	0.0152607	0.0177041	0.0172341	0.0212124	0.0194465	0.0176004	0.0229343	0.0280064	0.0143968	0.0218548	0.0202583	0.0169292	0.0167632	0.0230601	0.0471662	0.0667696	0.06546	0.0621821	0.0367725	0.0478097	0.0458356	0.0430128	0.0380389	0.0320037	0.0191487	0.0121257	0.00384848	0.0147902	0.00414101	0.0169484	0.0157772	0.0201443	0.0322358	0.0398676
besoin	0.0785263	0.0536905	0.0444794	0.0367838	0.0448362	0.0350089	0.0307793	0.0218464	0.0263364	0.0294839	0.0331202	0.0271839	0.0267442	0.024551	0.0234973	0.0238954	0.0269341	0.0208324	0.0138669	0.0113854	0.00875686	0.0069184	0.0107779	0.00850211	0.00676279	0.00567656	0.0068084	0.00429301	0.0026099	0.00337391	0.0185708	0.00604084	0.0313725	0.0415574	0.0490526	0.064119	0.0910254
</S>	0.0652891	0.0355842	0.0231322	0.0202053	0.0220862	0.0180978	0.0178146	0.0109153	0.0126067	0.0153703	0.0170302	0.0141801	0.0131946	0.0116688	0.0128051	0.0136062	0.0189858	0.0224792	0.0278949	0.0307453	0.0229319	0.0226742	0.029718	0.0359875	0.0327279	0.0306092	0.0278692	0.0194409	0.0280537	0.026406	0.0398	0.0325855	0.0437203	0.0434303	0.0444726	0.0470084	0.0488726
