 	a	d	z	o	o	n	a	b	ó	l	á	a	w	ó	ó	r	á	o	n	g	y	e	n	g	a	m	á	m	b	á	n	g	é	</S>
adzoona	0.0955531	0.0319693	0.0118543	0.0124897	0.00781431	0.00832843	0.0136644	0.0197565	0.0289466	0.0466342	0.0390912	0.078668	0.0824346	0.0567101	0.0454581	0.0397305	0.0375455	0.027448	0.0187058	0.0254512	0.0248461	0.0208546	0.0208222	0.0210792	0.0215097	0.0156011	0.0136139	0.0142869	0.0105831	0.0186018	0.0145345	0.0172084	0.034341	0.0238641
est	0.0687317	0.168145	0.251326	0.125406	0.21688	0.0385404	0.0178667	0.00839166	0.0101718	0.0104981	0.012122	0.006028	0.00807006	0.00390483	0.00295828	0.00449371	0.00578417	0.0041428	0.00279098	0.003312	0.00347444	0.00349631	0.00180188	0.00108755	0.00316973	0.00440132	0.00307199	0.00250767	0.00199649	0.00214511	0.000905597	0.000701705	0.00116296	0.000512762
en	0.0572385	0.0672321	0.102347	0.0674176	0.0533435	0.0517807	0.0390191	0.0176427	0.0207211	0.0197545	0.0207865	0.0197723	0.0178327	0.0192414	0.035604	0.03625	0.044429	0.0369962	0.015825	0.024506	0.0175586	0.0133117	0.0133606	0.0119189	0.0230085	0.0239641	0.0234662	0.0139684	0.0176479	0.0144164	0.0114114	0.00786433	0.0230627	0.0173007
train	0.025099	0.0387719	0.0525749	0.0378121	0.0409542	0.0468603	0.0334568	0.0246372	0.0221336	0.0171017	0.0196476	0.0212719	0.0172634	0.0337723	0.0457584	0.032185	0.0468186	0.030118	0.0290852	0.0418775	0.0321238	0.0236684	0.0286097	0.028373	0.0335648	0.0483274	0.0334884	0.024231	0.0187385	0.0146491	0.00984675	0.00740506	0.0222538	0.0175208
de	0.0584023	0.0183563	0.0207674	0.0162955	0.0151971	0.0207496	0.0199136	0.0288357	0.0746354	0.122661	0.0914919	0.067485	0.0480913	0.0188569	0.0179131	0.0191597	0.00836443	0.0119986	0.0153455	0.0121122	0.0132172	0.0178011	0.0132472	0.0128134	0.00945327	0.0132459	0.0117832	0.0144365	0.00895385	0.0150346	0.0163259	0.0260942	0.0288545	0.0921062
racler	0.0656505	0.030381	0.0284974	0.018062	0.0247302	0.0295957	0.0372326	0.0302318	0.0473408	0.101545	0.0749731	0.0879347	0.0469466	0.0316727	0.0363371	0.0419836	0.0289915	0.0297786	0.0175274	0.0176554	0.0138092	0.0162631	0.0112935	0.0100134	0.0125055	0.00915908	0.00746186	0.00887734	0.00395455	0.00651133	0.00524339	0.00899254	0.0127063	0.0461418
avec	0.0406341	0.0257598	0.0336487	0.0287032	0.0269353	0.0246237	0.0136165	0.00524568	0.00529653	0.00641471	0.00657817	0.0055039	0.00524223	0.00548041	0.00527952	0.00627691	0.0178247	0.0177128	0.0464005	0.0189126	0.0468461	0.0369742	0.0227826	0.0158988	0.0399776	0.0585291	0.0507391	0.0396625	0.0452071	0.0541317	0.0453929	0.0496128	0.0635111	0.0846445
ses	0.0341852	0.0330437	0.0484997	0.0498088	0.0590554	0.0677149	0.0573573	0.0238333	0.0254507	0.0165924	0.0168494	0.0150771	0.0169564	0.0177068	0.0143538	0.0144924	0.0215734	0.0158008	0.0221176	0.0121024	0.0217434	0.0150353	0.0106353	0.00550394	0.0104942	0.0284692	0.0236696	0.0183068	0.0308413	0.0308925	0.0410814	0.0285765	0.0531499	0.0990289
dents	0.148882	0.132295	0.198884	0.149569	0.0652874	0.0107513	0.00386033	0.00171943	0.00234677	0.00201976	0.00282295	0.00275094	0.00448593	0.00556268	0.00199447	0.00184923	0.00841486	0.0051443	0.0142942	0.00510189	0.0149683	0.00592407	0.0051402	0.0018171	0.00724781	0.0116539	0.00993072	0.0112662	0.0103015	0.011597	0.014072	0.0145146	0.0271637	0.086366
le	0.0381784	0.0328098	0.030858	0.0432621	0.030424	0.0244097	0.0195528	0.00390381	0.00683237	0.0058984	0.00615252	0.00653605	0.00795224	0.0103113	0.00877922	0.0122907	0.0297892	0.0326077	0.0443892	0.0307958	0.048223	0.0241791	0.0278016	0.0105501	0.0160112	0.0238157	0.0169026	0.0308818	0.013435	0.0191042	0.0248036	0.0432899	0.0721183	0.20315
noyau	0.0452282	0.0378974	0.0436633	0.0372469	0.03164	0.0156708	0.00636315	0.00323498	0.00438535	0.00618256	0.00649419	0.00678347	0.00673717	0.0080092	0.00793003	0.00553164	0.0184813	0.0213008	0.0486814	0.0443906	0.0507646	0.0181412	0.0194529	0.00875568	0.0323789	0.0364592	0.0312709	0.0472204	0.0214826	0.0292509	0.0296667	0.0556581	0.0798713	0.133774
de	0.0264175	0.0210207	0.0268334	0.0350814	0.0279206	0.0431386	0.0541645	0.040704	0.0510271	0.0331057	0.0191359	0.017356	0.0112228	0.0110466	0.0166742	0.0197762	0.0151065	0.0189969	0.0250481	0.0185363	0.0277045	0.0241472	0.0270011	0.0227829	0.0128281	0.0292283	0.0233665	0.0281503	0.0180548	0.022988	0.0329924	0.0402234	0.0499773	0.108242
la	0.0322968	0.0262783	0.0254592	0.0239235	0.0193259	0.0217713	0.0211221	0.007067	0.0130605	0.0075275	0.005236	0.00551295	0.00582283	0.00439069	0.00954428	0.0126704	0.0151728	0.0298609	0.0443467	0.0409779	0.0463624	0.0421386	0.0603774	0.0465053	0.0423746	0.0355081	0.0385186	0.0417524	0.034236	0.0380171	0.0394364	0.0460532	0.0454193	0.0719328
mangue	0.0166078	0.0130488	0.00801568	0.00733565	0.00719267	0.00657504	0.00311202	0.002136	0.0037231	0.00264938	0.00273876	0.00376704	0.00373528	0.00691646	0.00456324	0.00463707	0.00809005	0.00917806	0.0239887	0.0198024	0.0262593	0.0143528	0.0251224	0.0180496	0.0390128	0.0401036	0.0510101	0.0374229	0.0555133	0.057791	0.0889176	0.11483	0.128688	0.145112
