 	n	g	a	n	g	a	b	ó	l	á	a	k	ώ	ώ	o	k	ω	n	í	</S>
le	0.0420877	0.0747516	0.105688	0.0684629	0.0569901	0.0160443	0.0224603	0.0274181	0.029169	0.0282294	0.0284969	0.0292146	0.0324349	0.0480056	0.108706	0.115459	0.102968	0.0428168	0.0124394	0.00815768
guérisseur	0.191403	0.111465	0.068569	0.0912281	0.0950833	0.141977	0.146125	0.0565076	0.0476198	0.0161728	0.0113401	0.00516293	0.0053974	0.00165733	0.00152755	0.00158395	0.00203288	0.0018034	0.00202889	0.00131385
est	0.0123645	0.0221538	0.0207029	0.0494182	0.0762444	0.130017	0.152541	0.135267	0.137736	0.0445702	0.0398907	0.0247742	0.0178746	0.0216602	0.025862	0.0214547	0.0266773	0.0164079	0.0136475	0.0107371
en	0.0306325	0.0325857	0.0282119	0.0409389	0.0399332	0.0599297	0.0636799	0.0423116	0.0379972	0.0497419	0.0339715	0.0595066	0.063179	0.0891304	0.0666698	0.0653927	0.050925	0.0459596	0.0402091	0.0590935
train	0.0745302	0.0347168	0.030279	0.0335534	0.0315371	0.0343119	0.0367636	0.0229431	0.0317086	0.0403632	0.0576434	0.0691023	0.119196	0.0736395	0.0589575	0.076594	0.0519995	0.04035	0.0356127	0.0461976
de	0.0306842	0.0224332	0.0190124	0.0156032	0.020223	0.0198854	0.0365507	0.0558116	0.0610057	0.0548422	0.061873	0.0300308	0.047498	0.043471	0.0194564	0.0261493	0.0239635	0.0345948	0.0750356	0.301876
masser	0.0235042	0.0206674	0.0207326	0.0242423	0.0308162	0.0434193	0.0524441	0.088305	0.0736724	0.0964174	0.0939896	0.0824615	0.0768809	0.0655542	0.04325	0.0385028	0.0294276	0.025542	0.0245961	0.0455745
le	0.118384	0.0997529	0.0654921	0.0783479	0.051578	0.0688574	0.0360824	0.0166525	0.0134453	0.013785	0.0151139	0.0196284	0.021657	0.0176146	0.0217462	0.035754	0.0458876	0.0534665	0.0634868	0.143267
malade	0.0502426	0.0311923	0.0217004	0.0245691	0.0218328	0.0351067	0.0194747	0.00953802	0.0132261	0.0288501	0.0336993	0.0405077	0.0601456	0.0263565	0.0292297	0.0578947	0.0625761	0.0701076	0.0761118	0.287638
</S>	0.0772733	0.0766604	0.0438595	0.0612821	0.0479752	0.0557828	0.0278162	0.0139898	0.0120282	0.0116666	0.0139827	0.0166373	0.0225058	0.019758	0.0255009	0.0423021	0.060719	0.070671	0.0873638	0.212225
