 	m	w	á	s	í	y	a	n	g	á	á	b	v	u	m	u	s	u	a	s	á	n	g	í	m	í	l	á	m	b	a	l	ó	n	g	a	n	d	a	</S>
ma	0.00297042	0.00321537	0.00338281	0.0099434	0.00567182	0.00619719	0.00955716	0.0185759	0.0216033	0.0354083	0.0580164	0.103118	0.0585152	0.054127	0.0262081	0.0275929	0.0218836	0.0198671	0.0166274	0.0161106	0.0166074	0.0121304	0.0106015	0.0101768	0.00963511	0.0114149	0.0137059	0.0145145	0.0278961	0.0330002	0.0387378	0.0299669	0.0304966	0.0376796	0.0268095	0.0317391	0.0358047	0.0328057	0.0262561	0.0314291
femme	0.12014	0.133696	0.186348	0.0773064	0.0962904	0.081768	0.0723219	0.0344794	0.0213382	0.0182385	0.00635177	0.00676914	0.00112201	0.00188813	0.00261177	0.00281722	0.00293053	0.00134996	0.00144304	0.00096408	0.000931694	0.00226119	0.00471272	0.00577595	0.00706692	0.00690071	0.00757569	0.00395214	0.00751123	0.00787585	0.00791024	0.0107077	0.0185422	0.0220057	0.00580273	0.00320399	0.00400846	0.00171833	0.00084412	0.000518219
a	0.0150557	0.030267	0.0317044	0.0402931	0.053605	0.0379744	0.061502	0.0806215	0.0561431	0.047807	0.042701	0.0200064	0.0157722	0.00958488	0.0121017	0.0183248	0.0271004	0.0263169	0.0281486	0.0167843	0.01879	0.0164871	0.012094	0.0131458	0.0097243	0.0136253	0.0100908	0.0106909	0.0184307	0.0301785	0.0407836	0.017836	0.0277121	0.0195634	0.0156603	0.0136835	0.0137626	0.00977813	0.00977757	0.00637116
fait	0.0291223	0.0144181	0.0137339	0.00640234	0.0116937	0.0107418	0.0139157	0.012951	0.0151895	0.0250126	0.0300535	0.0361082	0.0334182	0.0341697	0.0342778	0.0201741	0.0249579	0.028817	0.0346354	0.0459253	0.0452972	0.0319004	0.0404715	0.0427908	0.0332179	0.0247834	0.0175008	0.0190228	0.0139407	0.0237116	0.0218019	0.0174748	0.02	0.0175218	0.021081	0.0139401	0.0233298	0.0259437	0.034612	0.0359401
moisir	0.0388954	0.0110809	0.0130486	0.00580806	0.00748735	0.00816495	0.00909619	0.00929352	0.00922405	0.0107756	0.0113931	0.0157479	0.0173058	0.0242563	0.0226165	0.0225347	0.0192421	0.0300576	0.0233075	0.0418031	0.0474372	0.0677395	0.076814	0.0709144	0.0557847	0.0406829	0.02665	0.0156523	0.0123467	0.0129668	0.0117298	0.0178764	0.0128599	0.015654	0.0232243	0.0170182	0.0260521	0.0276334	0.0292199	0.0406043
le	0.0175544	0.00936484	0.00864891	0.00552001	0.00512968	0.00561402	0.00525251	0.00629278	0.00889375	0.00836874	0.0054001	0.00663592	0.0078985	0.0142679	0.0164873	0.0160935	0.0170139	0.0195582	0.018787	0.0255895	0.0285256	0.0428519	0.0493476	0.0923882	0.090265	0.0597895	0.0471341	0.0380103	0.0257069	0.0283832	0.0256184	0.0283527	0.0251343	0.0250775	0.0257047	0.0227545	0.017918	0.0252239	0.0297322	0.0437097
maïs	0.0287542	0.0232969	0.0222252	0.0207307	0.0181077	0.0172907	0.0183277	0.0161315	0.0240198	0.0213276	0.0441079	0.0249507	0.0378008	0.0243227	0.0482266	0.0325559	0.0322426	0.0345004	0.0246444	0.0443663	0.0377654	0.0290841	0.0148222	0.0200624	0.0235821	0.0185134	0.0136101	0.00827367	0.00600656	0.00733476	0.00839298	0.0128876	0.0168964	0.0181052	0.0166917	0.0185376	0.0215685	0.0264917	0.0331949	0.0902486
pour	0.0442388	0.0342857	0.03003	0.0263112	0.0226101	0.0213819	0.0209158	0.018483	0.0264223	0.0232539	0.016869	0.0156039	0.0191791	0.027342	0.0358777	0.0241908	0.0311502	0.0318256	0.0214614	0.0271911	0.02152	0.0239363	0.0263941	0.0307207	0.0221664	0.0207592	0.023614	0.0151247	0.0142341	0.0141674	0.0161433	0.0242476	0.0160719	0.0157191	0.0284662	0.0164263	0.01896	0.0291941	0.0290486	0.0744625
la	0.0794101	0.0351362	0.0347172	0.0214581	0.0245011	0.0233564	0.0186873	0.0136902	0.0100374	0.0126368	0.0112443	0.00932525	0.0104612	0.0137619	0.0167965	0.0112256	0.0129024	0.0166341	0.0139057	0.0298068	0.0667662	0.0731176	0.0390793	0.0244818	0.0343419	0.0131587	0.00990114	0.0108137	0.00805385	0.0100848	0.017932	0.0114616	0.0174133	0.02029	0.0179978	0.0132552	0.0287529	0.0310052	0.048728	0.0836703
préparation	0.0293073	0.021548	0.0218735	0.0167161	0.0117633	0.0130628	0.0102746	0.0112424	0.0108773	0.0139818	0.0316247	0.0242826	0.0336133	0.0248774	0.0333245	0.0226696	0.0193689	0.0236221	0.0205278	0.0266366	0.0313991	0.0669136	0.0412056	0.0391771	0.0714184	0.0332155	0.0345829	0.0113355	0.00524332	0.00219966	0.00279547	0.00297172	0.00515295	0.0119251	0.00870639	0.011063	0.0347953	0.0325925	0.0410398	0.0910721
