 	b	á	n	a	b	á	n	d	z	é	s	i	á	b	o	m	i	e	b	v	é	n	d	é	m	é	k	u	l	a	</S>
les	0.0402611	0.0542809	0.0309316	0.0469163	0.0404942	0.0246794	0.0304078	0.0413863	0.0417015	0.036642	0.0401967	0.0371613	0.054524	0.0838737	0.0698339	0.0236252	0.0139128	0.0121611	0.0124848	0.0206197	0.0145052	0.023571	0.0290067	0.0247744	0.0254708	0.0219807	0.0200665	0.0227156	0.0264196	0.0211892	0.014206
petits	0.0669833	0.0613346	0.0913657	0.0810919	0.089417	0.0706205	0.0530309	0.0471703	0.0337759	0.0324043	0.0311364	0.0179559	0.0188156	0.0191589	0.0194679	0.0267194	0.0489398	0.011103	0.0183783	0.0189455	0.0124489	0.0123616	0.0150074	0.0191442	0.0177247	0.0157571	0.0110895	0.0126333	0.0146057	0.00794004	0.00347244
enfants	0.0584843	0.0358656	0.03614	0.0438631	0.0345124	0.0451312	0.0385276	0.052113	0.0369617	0.0393159	0.0485734	0.0416467	0.0355176	0.0202339	0.0304682	0.0253418	0.0349137	0.0244649	0.0357718	0.0248856	0.0200517	0.024733	0.0247764	0.0360464	0.0375996	0.0365211	0.0216429	0.0205384	0.0186693	0.00979418	0.00689481
ont	0.0149634	0.0182361	0.0274495	0.0254997	0.0158505	0.0142179	0.0121933	0.0144939	0.0135459	0.0151134	0.0189992	0.022759	0.0280218	0.0361654	0.0363724	0.0527341	0.0694541	0.104404	0.0673192	0.0413699	0.0269838	0.0480332	0.022886	0.0269841	0.0388862	0.0378651	0.043787	0.0412846	0.0257739	0.0175803	0.0207729
pris	0.0346642	0.0229532	0.0232491	0.0219352	0.021396	0.0224394	0.0252936	0.0275767	0.0293784	0.0306582	0.0295095	0.0340298	0.0313043	0.0286502	0.0287515	0.0322776	0.0326315	0.0560298	0.0407159	0.0450028	0.0271986	0.0412495	0.0353122	0.0299801	0.0308492	0.0235003	0.0259095	0.030139	0.030391	0.0372777	0.0697461
l'	0.0181738	0.0130281	0.0135357	0.0178344	0.017586	0.0231455	0.0223482	0.0268779	0.024001	0.0204058	0.0261685	0.0256932	0.027266	0.0234164	0.0241303	0.0281276	0.0266877	0.0456382	0.0323058	0.0414122	0.0376178	0.0508231	0.0532354	0.0429356	0.0503209	0.0448715	0.0447577	0.0489736	0.050834	0.0368558	0.0409922
ebvéndé	0.0424132	0.0184906	0.017039	0.0178352	0.0188852	0.0231474	0.0306241	0.0295837	0.0370801	0.0343399	0.0344479	0.0329979	0.0254793	0.0197913	0.0156033	0.021312	0.0215592	0.0316097	0.0379852	0.055107	0.0605361	0.0539843	0.0342405	0.0415058	0.0331297	0.0301088	0.0172818	0.0317279	0.0205514	0.0426834	0.0689192
au	0.0311364	0.0229503	0.0233636	0.0204262	0.0222013	0.0244796	0.0257953	0.0221626	0.0261752	0.023879	0.0351401	0.0337143	0.0194889	0.0180737	0.0224456	0.0220514	0.0272528	0.0185221	0.0193104	0.0182005	0.029272	0.0384393	0.0476241	0.0352871	0.0489039	0.0583417	0.0407348	0.0454471	0.0363011	0.0461919	0.0966875
piège	0.0552183	0.0309046	0.0431154	0.0340123	0.0358997	0.0305799	0.0308092	0.027672	0.0263686	0.0359212	0.0331082	0.0247746	0.016527	0.0199481	0.0199813	0.0239665	0.0335395	0.0298853	0.0300716	0.0214031	0.0158721	0.0127245	0.0135261	0.0173736	0.0229167	0.0241628	0.0249073	0.0308564	0.0338014	0.0456136	0.154539
</S>	0.0573327	0.0318125	0.0267796	0.0230046	0.0259698	0.0218559	0.017915	0.0100331	0.00805554	0.00796955	0.00635107	0.00711417	0.00567223	0.00439154	0.00703252	0.0100613	0.0150727	0.0145813	0.0256928	0.0299337	0.0384715	0.0426435	0.0451173	0.0412887	0.0429675	0.0538645	0.0607508	0.0679655	0.0546158	0.0600043	0.135679
