 	w	a	á	m	a	a	s	i	n	g	á	e	k	y	é	n	á	á	y	é	é	d	i	n	d	é	e	y	á	n	z	a	m	b	é	</S>
il	0.108106	0.249853	0.419126	0.122698	0.0201824	0.00749912	0.00200014	0.00151483	0.00160632	0.0015471	0.00137668	0.00216275	0.00178519	0.00227004	0.00291275	0.00300614	0.00307893	0.00309758	0.00301254	0.00271603	0.0026386	0.00272854	0.00282951	0.00277821	0.00294132	0.00283235	0.00273618	0.00238709	0.0027315	0.00248962	0.00230857	0.00245836	0.0023702	0.0025011	0.00251679	0.0012008
m'	0.0162826	0.0142093	0.0124366	0.0178919	0.0382487	0.0403797	0.063503	0.0853454	0.105118	0.0875186	0.104518	0.0886195	0.077278	0.0542246	0.0439496	0.0355399	0.0186503	0.0100735	0.00888597	0.00586724	0.00522229	0.000967134	0.00327243	0.00198548	0.00302104	0.00434336	0.00308167	0.00609385	0.00772005	0.00352822	0.00424838	0.00292218	0.00441702	0.00559424	0.00686167	0.00817989
a	0.0134312	0.0138569	0.00992319	0.0125601	0.015446	0.00928601	0.0170929	0.0378737	0.0255757	0.0257491	0.0346033	0.0473205	0.0377873	0.0521977	0.0526432	0.0664319	0.0489249	0.0427364	0.0378365	0.0408357	0.0284129	0.0227287	0.0536498	0.0242412	0.0279205	0.016311	0.020702	0.0206246	0.0244936	0.0158469	0.0166763	0.0163521	0.016371	0.0180809	0.0191822	0.0162942
demandé	0.00832297	0.0123737	0.0121418	0.0127634	0.0176974	0.0132142	0.0108654	0.0120811	0.0117899	0.0164095	0.0250737	0.0337438	0.0386786	0.040669	0.036328	0.0561769	0.054906	0.0576798	0.0588114	0.062336	0.123942	0.0401362	0.0565645	0.0226358	0.026015	0.0151939	0.0151233	0.0120865	0.0133277	0.0132091	0.0119819	0.00953862	0.0103682	0.00969659	0.0117561	0.0163623
où	0.00798294	0.00679469	0.00934351	0.00938063	0.0121899	0.0138874	0.0144235	0.0159578	0.0117023	0.0112904	0.0219653	0.0190067	0.0182938	0.010932	0.010094	0.0169128	0.0225103	0.0216753	0.0519515	0.0498334	0.0682159	0.0421122	0.0481336	0.0454755	0.0445694	0.0242309	0.0416466	0.0374517	0.0443136	0.0398555	0.0491006	0.0274571	0.0279605	0.0303803	0.0256775	0.0472909
se	0.00853333	0.00921087	0.010162	0.0036436	0.0053435	0.00692961	0.0116759	0.0122712	0.0126963	0.00900817	0.0117697	0.0119767	0.010983	0.012179	0.0108161	0.014593	0.0171295	0.0210699	0.0481837	0.0422643	0.043839	0.0182939	0.0457568	0.0285687	0.0258916	0.0286023	0.0438518	0.0545815	0.0563096	0.0474459	0.0703386	0.0651856	0.060602	0.0408239	0.0402315	0.039238
trouve	0.0102264	0.00893271	0.00959498	0.0102091	0.026385	0.0195738	0.0215161	0.0229196	0.0206679	0.0196662	0.0162309	0.0183017	0.0113407	0.00997201	0.0113666	0.010069	0.0128265	0.0129887	0.0258206	0.0225576	0.016411	0.0173466	0.0248867	0.0309055	0.0280034	0.0465153	0.0490003	0.0466903	0.0324145	0.0386815	0.0560224	0.0417275	0.068612	0.0473846	0.0570409	0.0771915
l'	0.0113728	0.0111569	0.0120186	0.0138582	0.0423749	0.0253655	0.0257327	0.0284733	0.0294143	0.0283261	0.0176938	0.0220717	0.0167545	0.0183432	0.0203944	0.0114538	0.0124479	0.0135201	0.0123061	0.00897539	0.00666199	0.00554238	0.0135059	0.0164656	0.0139599	0.0273094	0.0302885	0.0254251	0.0212822	0.0192792	0.0420882	0.0329031	0.11068	0.0651238	0.0994112	0.0880186
église	0.00794515	0.00804359	0.0098391	0.00937846	0.0159973	0.0124424	0.0125035	0.0132388	0.0159775	0.0139049	0.00781414	0.012878	0.0102578	0.0149021	0.0185108	0.00825246	0.00983023	0.0115181	0.0139291	0.0144524	0.0138948	0.0114636	0.0306986	0.0338317	0.0324013	0.041219	0.0416173	0.0338947	0.029978	0.028511	0.0537907	0.0579737	0.0941006	0.0864861	0.0932008	0.0753223
</S>	0.010088	0.0146069	0.0155572	0.0163261	0.0178925	0.0158466	0.016955	0.0190471	0.0252564	0.0284562	0.0370662	0.0299647	0.0370399	0.0249947	0.0294091	0.0378124	0.028831	0.0240592	0.0230619	0.0268475	0.0373126	0.0272211	0.0317879	0.0234342	0.0181454	0.0167619	0.0172076	0.0142027	0.0129695	0.0149672	0.0138078	0.0196484	0.036211	0.0479867	0.0580094	0.131208
