 	o	y	ú	r	ú	w	ó	á	m	i	k	y	é	n	a	m	w	á	n	a	</S>
cette	0.0118648	0.0198534	0.0180527	0.00793316	0.0075768	0.00841834	0.00936493	0.0086813	0.0226087	0.0271698	0.0348539	0.0392569	0.0546608	0.0727371	0.111494	0.0638312	0.135738	0.0830967	0.124589	0.0849234	0.0532952
femme	0.0885538	0.154419	0.153411	0.0718298	0.125731	0.0974788	0.0882167	0.0601783	0.0267311	0.0131252	0.0285435	0.0180691	0.0294741	0.0120058	0.00794872	0.00647899	0.00422977	0.00474125	0.00400058	0.00427283	0.00055983
a	0.0382456	0.0183686	0.0156216	0.0485489	0.0701746	0.106088	0.117189	0.136429	0.0473267	0.0386313	0.0503791	0.0430855	0.0530631	0.0577296	0.0547952	0.0299366	0.0251401	0.0132097	0.011773	0.0161038	0.00816103
sevré	0.0293207	0.0291825	0.039869	0.0700754	0.0806187	0.0989476	0.083831	0.0730402	0.0465397	0.0442246	0.0249267	0.0178911	0.0290783	0.056521	0.0597116	0.0496967	0.0248373	0.0377616	0.0253414	0.0398648	0.0387201
son	0.122199	0.0750557	0.0881473	0.132296	0.0691184	0.0625031	0.0424189	0.0507266	0.0290618	0.0319836	0.0235648	0.0173934	0.0193654	0.0215164	0.0206226	0.0258001	0.012309	0.0344836	0.0287048	0.0292312	0.0634992
enfant	0.0723043	0.066813	0.0952424	0.168309	0.0717432	0.0622395	0.0453906	0.0258453	0.0168931	0.00982681	0.0155603	0.0228084	0.0373426	0.04718	0.0417274	0.0618345	0.0115161	0.0313296	0.0260702	0.0359792	0.0340445
prématurément	0.0431687	0.0279168	0.0304898	0.0547388	0.030198	0.0362838	0.0349606	0.0312794	0.017601	0.0152932	0.0173264	0.0242265	0.0417825	0.0547886	0.0533609	0.0676601	0.0338065	0.0782968	0.0926338	0.0874499	0.126738
pour	0.189457	0.103313	0.0804644	0.0739308	0.0363273	0.0414345	0.0246456	0.0192877	0.0202039	0.0202053	0.00957197	0.0157734	0.0209488	0.0238502	0.0186364	0.028871	0.0151248	0.0579528	0.0521463	0.0673418	0.0805127
reprendre	0.188499	0.149173	0.102838	0.0683903	0.0341347	0.026055	0.0201245	0.00812807	0.0107429	0.00899234	0.00458359	0.00617842	0.0116475	0.0149739	0.0119507	0.0208897	0.0152771	0.0402495	0.0378285	0.0901596	0.129183
les	0.0888922	0.0797349	0.0949518	0.0646596	0.0408258	0.055058	0.0413842	0.0174028	0.0178951	0.00966013	0.00713614	0.0151103	0.0283087	0.0166195	0.00978836	0.0340703	0.0118975	0.0521016	0.0385932	0.0945432	0.181367
relations	0.0659206	0.0607159	0.0827958	0.0456128	0.0245388	0.0439621	0.0224545	0.0105626	0.00758873	0.00662049	0.00907343	0.00917981	0.0125334	0.0122813	0.0125395	0.0389968	0.0202945	0.0875107	0.102061	0.116688	0.208069
sexuelles	0.101664	0.0629253	0.066723	0.0880467	0.0586674	0.0465682	0.0382803	0.0340516	0.0282736	0.0248972	0.014231	0.0204802	0.0219365	0.0181818	0.0172406	0.0392516	0.0197583	0.0557611	0.0485378	0.079673	0.114851
</S>	0.112478	0.0584567	0.0620585	0.0597051	0.0351987	0.0410724	0.0252785	0.0268786	0.0162118	0.0216901	0.0129568	0.026606	0.0360511	0.0352379	0.0331919	0.0891833	0.0261292	0.0673106	0.0469289	0.0692536	0.0981224
