 	i	t	ó	n	g	a	l	á	n	d	é	e	y	á	l	e	k	ώ	ώ	l	i	l	í	i	t	á	á	p	o	o	é	t	s	ω	</S>
la	0.0305572	0.0189432	0.00702622	0.00545267	0.00746525	0.0172242	0.0285325	0.0206347	0.0306958	0.0220923	0.0451004	0.0597962	0.0393451	0.0754253	0.0562897	0.0567289	0.0447211	0.0431618	0.0306702	0.0268839	0.0496016	0.0282855	0.0259194	0.0252863	0.0255473	0.0291605	0.0279672	0.0188983	0.0140932	0.0124222	0.0142888	0.0108374	0.014041	0.0153342	0.02157
construction	0.103917	0.238277	0.202696	0.172116	0.0719924	0.0153207	0.0206872	0.0192199	0.00961546	0.0108858	0.00748594	0.0122647	0.00734597	0.0138262	0.00545838	0.00281356	0.00372439	0.00431103	0.00298815	0.00297133	0.00412455	0.00380247	0.00541703	0.00446021	0.00476585	0.00354315	0.00480405	0.00873709	0.00816487	0.00731808	0.00679891	0.00642897	0.00194181	0.00112955	0.000647025
du	0.0272894	0.0326309	0.0176709	0.019311	0.0315566	0.02757	0.0275531	0.0367282	0.0244022	0.0302774	0.0252841	0.0306747	0.0344789	0.0237319	0.0584576	0.0473809	0.0636659	0.0637621	0.0659511	0.0566173	0.0346914	0.0277966	0.023057	0.0209724	0.0209166	0.0191432	0.0173524	0.00996361	0.0122974	0.00913491	0.00979804	0.0173536	0.0120109	0.0135604	0.00695742
bâtiment	0.0227929	0.0450223	0.0383531	0.0327141	0.0420829	0.0381964	0.0210609	0.0249208	0.0224427	0.0369447	0.0361206	0.0390123	0.0644025	0.022417	0.0522515	0.0416859	0.0609006	0.0580639	0.0670236	0.0690182	0.0192091	0.0149289	0.015233	0.0127529	0.011269	0.0106447	0.00760189	0.00604842	0.00862309	0.00751168	0.00822089	0.0083936	0.00716543	0.008459	0.0185115
de	0.0577091	0.052468	0.0415449	0.0365108	0.0285666	0.0205751	0.0202319	0.022187	0.0211841	0.0234986	0.0210212	0.0264023	0.0263928	0.013218	0.0242974	0.0272212	0.028329	0.0476774	0.0499529	0.0650869	0.0296472	0.0338031	0.0334913	0.0221202	0.0186467	0.0176344	0.0140149	0.0177318	0.0175017	0.0202733	0.0226105	0.0203678	0.0243618	0.0186915	0.0350286
l'	0.065042	0.0323168	0.0231774	0.0207987	0.0145768	0.0091043	0.012098	0.0125856	0.0113487	0.0112987	0.00965209	0.00975054	0.0114226	0.0084958	0.0125057	0.015435	0.0238668	0.0629706	0.0711181	0.079289	0.057352	0.0672869	0.049677	0.0247443	0.0202361	0.0130939	0.0108907	0.01266	0.0155522	0.0190341	0.0181409	0.0179895	0.0348115	0.0332309	0.088447
école	0.0638485	0.0278979	0.0275304	0.0337874	0.0243437	0.0151015	0.0236072	0.0197047	0.0152935	0.0138405	0.0108561	0.0104925	0.0101365	0.0142689	0.0295678	0.022227	0.0349772	0.0619739	0.0563172	0.0672149	0.0377557	0.0386707	0.034465	0.0333293	0.0199395	0.0250167	0.0228683	0.0175082	0.0190502	0.0173475	0.0151267	0.0229953	0.0201337	0.0295445	0.0632616
concerne	0.0461328	0.0169004	0.0153737	0.0146723	0.0153589	0.0140833	0.0151063	0.0166112	0.0154374	0.013389	0.0077706	0.0064144	0.00752957	0.00780336	0.0157022	0.0163907	0.0305079	0.0452894	0.0687962	0.0490563	0.0410647	0.0480231	0.0461927	0.0383549	0.0355896	0.030613	0.0262236	0.0288938	0.0395503	0.0318706	0.0243102	0.0216776	0.0317464	0.026558	0.0910057
tout	0.0343886	0.0167022	0.0194296	0.0182736	0.0157965	0.0124357	0.0134954	0.0128492	0.0104346	0.00884782	0.00614188	0.00563474	0.00778171	0.00763975	0.0239728	0.0246848	0.0372788	0.066821	0.0716984	0.0648651	0.044501	0.0498695	0.0419947	0.0358969	0.0301138	0.020732	0.020768	0.0187496	0.0218013	0.0256311	0.0240755	0.0247408	0.0392781	0.0401211	0.0825542
le	0.0402494	0.0184779	0.0176608	0.0173748	0.0156263	0.0100928	0.0042148	0.00391793	0.00419717	0.00398123	0.00334357	0.00349183	0.00465507	0.00339528	0.00822331	0.0087008	0.0119609	0.0225088	0.0296729	0.0365771	0.0303749	0.0448378	0.0506137	0.0435126	0.0303969	0.0248047	0.0275753	0.0353115	0.0411637	0.0514356	0.0522807	0.0678502	0.0700101	0.0783356	0.0831741
village	0.025315	0.00682882	0.00618288	0.00750238	0.0072847	0.00540907	0.00175528	0.0016149	0.0014655	0.00124371	0.00128733	0.00177994	0.00319521	0.00363602	0.0137523	0.0107677	0.0190895	0.0349501	0.039406	0.0508449	0.0320287	0.0512295	0.0621824	0.0516123	0.030726	0.0307821	0.0353256	0.0451946	0.0374617	0.0462164	0.0425412	0.0620774	0.0581405	0.0881388	0.0830314
</S>	0.109052	0.0228943	0.0178219	0.016801	0.0136379	0.00834336	0.00803134	0.00993371	0.00785378	0.00645282	0.00284219	0.0023068	0.00269079	0.00242153	0.0132832	0.0115211	0.0226793	0.0293718	0.0458697	0.0406762	0.0302253	0.0457321	0.0442526	0.0420909	0.0360133	0.036591	0.0364618	0.038352	0.0319309	0.0259113	0.0214212	0.0345655	0.0393505	0.0589783	0.0836389
