 	m	w	á	n	a	b	o	l	á	a	d	i	b	h	í	l	á	n	d	z	ú	n	g	u	</S>
l'	0.00417331	0.0107059	0.0168363	0.014927	0.0169234	0.0052038	0.00309336	0.00544466	0.0113062	0.0218922	0.0371156	0.0566634	0.0661393	0.0490132	0.0938505	0.168474	0.103796	0.0356382	0.0346942	0.0419886	0.0415022	0.0465112	0.0441329	0.0332236	0.0367505
enfant	0.125698	0.0254735	0.0779863	0.135957	0.201685	0.140451	0.108711	0.0402056	0.0335964	0.0232301	0.0385291	0.0131328	0.00841131	0.00627088	0.0041712	0.00212842	0.00383152	0.00179188	0.00162916	0.00137247	0.00103135	0.00129628	0.00128607	0.00125064	0.000873759
est	0.0228306	0.0210254	0.0316232	0.025945	0.0423825	0.052537	0.077952	0.0905235	0.145022	0.153635	0.082304	0.0271458	0.0187314	0.0223378	0.0231832	0.0225404	0.0378777	0.0251406	0.0220824	0.0183842	0.00927345	0.00848338	0.00558277	0.00735643	0.00609993
en	0.0256983	0.0142207	0.0173702	0.0123377	0.0151773	0.0169252	0.0249851	0.0217259	0.0329192	0.0458295	0.054723	0.0591337	0.0590718	0.0770866	0.0876934	0.0964616	0.0624551	0.0344042	0.0275254	0.038848	0.0329908	0.0294715	0.0301955	0.0407756	0.0419748
train	0.0520701	0.0292031	0.0341777	0.0438385	0.0408507	0.0290757	0.0333726	0.0261688	0.0341052	0.0389129	0.0399149	0.0298203	0.022239	0.0288043	0.0389162	0.0421635	0.0335151	0.0400867	0.0384645	0.0390383	0.0611496	0.0582443	0.0496675	0.0537454	0.0624551
d'	0.0313907	0.0100995	0.0085648	0.00446639	0.00473683	0.0056854	0.00641611	0.00604878	0.00712258	0.00998631	0.00820463	0.0149428	0.0173193	0.0139918	0.0135165	0.0180815	0.00693601	0.0145205	0.0157974	0.0356958	0.055676	0.0839493	0.0603833	0.0769041	0.469564
ouvrir	0.119244	0.0368225	0.0363274	0.0349858	0.0435212	0.0657485	0.0696265	0.0530416	0.0424908	0.0358335	0.0351761	0.0385141	0.0603076	0.0691997	0.0570305	0.0208424	0.0101601	0.0162177	0.0107819	0.0117502	0.0110729	0.0119677	0.01661	0.0226374	0.0700899
la	0.171741	0.126444	0.0922838	0.0603401	0.0357403	0.0450184	0.039981	0.0380964	0.0250576	0.0135078	0.00972753	0.00988891	0.0112156	0.0136305	0.0219247	0.0155811	0.011963	0.019778	0.0179442	0.0213537	0.0271139	0.0292578	0.0300434	0.0294318	0.082935
marmite	0.0503186	0.035382	0.0249587	0.0122942	0.00879054	0.0115587	0.0091469	0.0070235	0.00506684	0.0033335	0.00439515	0.0065742	0.00828493	0.0100386	0.0178705	0.0169294	0.0185221	0.0440988	0.0348247	0.0405296	0.0779568	0.108822	0.109318	0.0855679	0.248394
</S>	0.146845	0.0698282	0.0414634	0.0304899	0.0229975	0.0273252	0.026295	0.0302207	0.023647	0.0189319	0.0175129	0.0193877	0.0154233	0.0139716	0.0110079	0.0116091	0.0114979	0.0172887	0.0175038	0.0197842	0.0332839	0.0430389	0.0504926	0.0595306	0.220623
