 	n	g	á	í	d	í	o	b	h	e	r	á	o	s	ε	r	έ	i	b	h	í	s	i	l	á	n	g	á	l	á	m	b	ώ	n	g	ω	l	a	n	ω	k	a	á	</S>
je	0.101382	0.193593	0.132187	0.229068	0.120758	0.0463091	0.00675723	0.00560382	0.00468141	0.00401738	0.00398727	0.0040306	0.00444229	0.00667527	0.00397339	0.00791985	0.00650748	0.00527181	0.00277322	0.0020959	0.00192795	0.00160822	0.000993742	0.00176432	0.00223682	0.00154105	0.00224924	0.00262302	0.00303471	0.00509993	0.00448894	0.00228365	0.00339302	0.00376075	0.00464242	0.00679083	0.00764122	0.00899616	0.0087217	0.00892414	0.00692292	0.00498921	0.00731888	0.00601202
ne	0.0469784	0.0462131	0.0368121	0.0532345	0.0415965	0.0393167	0.047127	0.0374328	0.0696896	0.0584878	0.038428	0.0385602	0.0326897	0.0212468	0.0198032	0.0190297	0.0270745	0.0246224	0.0156182	0.016811	0.0120427	0.0132897	0.0136881	0.00873878	0.0146299	0.0143135	0.0228667	0.0234402	0.0271248	0.0199041	0.016503	0.00992835	0.00573236	0.00386239	0.00267173	0.00540242	0.00608197	0.00484937	0.00321084	0.00480927	0.0070571	0.00566729	0.0120901	0.0113234
peux	0.0652781	0.0533105	0.0515805	0.034631	0.052987	0.0434626	0.0430923	0.0426804	0.0293827	0.0169856	0.0151162	0.0177035	0.0135951	0.0101669	0.0173995	0.0192775	0.0267352	0.0346991	0.0275323	0.0162887	0.0196704	0.0244066	0.034996	0.0388362	0.0321168	0.0332148	0.0141003	0.0272565	0.0241903	0.0172576	0.011232	0.0205392	0.0126212	0.00702417	0.00474936	0.00441745	0.00340561	0.00362394	0.00443898	0.00450103	0.00512544	0.00462992	0.00760945	0.00813194
pas	0.0248899	0.0206363	0.0172655	0.0294004	0.00646943	0.00350284	0.00631087	0.0150667	0.0121394	0.0310431	0.0227857	0.0224489	0.0191323	0.0224373	0.0194343	0.020574	0.0204053	0.0304718	0.042349	0.0381197	0.067464	0.0489514	0.0759624	0.0255361	0.0278836	0.0281546	0.0256699	0.0165629	0.0171227	0.0169807	0.010019	0.010917	0.0121634	0.010637	0.0133177	0.0135883	0.020465	0.0133419	0.0243912	0.0168432	0.03699	0.0148544	0.0113155	0.0159858
te	0.00581191	0.00462274	0.00369905	0.00649466	0.00483524	0.00599675	0.0190533	0.018067	0.0163342	0.0279583	0.0236619	0.0230874	0.0146818	0.0122435	0.0143205	0.013988	0.0128202	0.0190019	0.0283621	0.0301876	0.0344173	0.0217441	0.0255058	0.0255773	0.0351699	0.0309112	0.0380833	0.0307094	0.0326882	0.0320945	0.0314202	0.027349	0.0272864	0.0215456	0.0270342	0.021282	0.0220999	0.0186226	0.0289777	0.0343619	0.036238	0.0303299	0.0281706	0.0331534
montrer	0.0128682	0.0117891	0.00892908	0.0214489	0.011818	0.0102588	0.00939271	0.0081235	0.00897308	0.0110573	0.0115841	0.0124833	0.0105341	0.00811682	0.0164386	0.00870106	0.015268	0.0194066	0.0267843	0.0218229	0.0272121	0.0270012	0.0255913	0.0278102	0.0296588	0.0302978	0.036188	0.0333305	0.0365748	0.0423439	0.041972	0.0358098	0.0434518	0.0323317	0.04449	0.0271788	0.0174605	0.0141125	0.0137976	0.0181533	0.0157592	0.0196726	0.0378172	0.0561858
l'	0.00845509	0.0044903	0.00389088	0.00359662	0.00209997	0.00226107	0.00331126	0.00557072	0.00605733	0.00652004	0.00702649	0.00723959	0.00603503	0.00483227	0.0101293	0.00807871	0.012026	0.0170538	0.0308725	0.0359056	0.0370322	0.0385491	0.0344579	0.0307058	0.0469467	0.0622947	0.0721094	0.0601233	0.0774449	0.060936	0.0606324	0.0531413	0.040397	0.0310859	0.0241983	0.0120592	0.00783861	0.00539503	0.00712172	0.0070792	0.00642949	0.00823745	0.0145932	0.0157385
endroit	0.00692757	0.00886114	0.00970942	0.0174486	0.013025	0.0103826	0.00476574	0.00430856	0.00446665	0.00425263	0.00552336	0.0077978	0.00723078	0.0053306	0.0108458	0.00792029	0.0126274	0.0176311	0.0232022	0.0207462	0.0329808	0.0288637	0.0234005	0.0244884	0.0232178	0.0264887	0.0330135	0.0305457	0.0478545	0.0378232	0.0289246	0.0184454	0.0255082	0.0216548	0.0247987	0.0188138	0.0388957	0.0253534	0.0294738	0.0205408	0.0416061	0.0384062	0.0661155	0.0897827
où	0.0133489	0.00743474	0.00518023	0.00763524	0.0124556	0.0109442	0.00739526	0.0102194	0.00969206	0.00720251	0.00804179	0.00900747	0.00873683	0.00598838	0.0112779	0.00886544	0.00999624	0.016977	0.0194981	0.0218452	0.0192003	0.0171399	0.0253219	0.0297726	0.0376702	0.0537497	0.0684453	0.0493665	0.0606658	0.0518228	0.0412076	0.0271397	0.0250687	0.0219438	0.0340657	0.0214225	0.0186432	0.0113274	0.0156056	0.0141977	0.0209258	0.0228491	0.0370278	0.063678
je	0.0374792	0.0191834	0.0112908	0.0113988	0.0120318	0.0119481	0.0142691	0.0146612	0.0123212	0.0100623	0.00747992	0.0079867	0.00879583	0.00897917	0.0079632	0.0095654	0.00819758	0.0102562	0.0143671	0.0159576	0.0261345	0.0275845	0.0220367	0.0259845	0.0213587	0.0394016	0.0469838	0.0269138	0.0412183	0.0326786	0.0391839	0.0329499	0.0410837	0.0216051	0.0315701	0.0176968	0.0225676	0.0203373	0.0233911	0.0222444	0.0286652	0.0277246	0.0309309	0.0755599
