 	m	w	á	b	h	á	b	ó	m	ó	o	b	h	é	m	b	á	s	í	b	h	y	á	á	g	h	á	</S>
l'	0.00366444	0.00616721	0.0223466	0.0149112	0.0231028	0.0270971	0.0347206	0.0364354	0.0426689	0.0424337	0.0591063	0.0702819	0.0536639	0.0464043	0.0470763	0.0382766	0.0396549	0.0353483	0.0354975	0.0342211	0.0293137	0.0331426	0.0302779	0.0279829	0.0500242	0.029602	0.0270095	0.0595683
héron	0.127178	0.052733	0.0310821	0.020778	0.0359682	0.0231651	0.010022	0.0383585	0.0279444	0.0393493	0.0357281	0.0216653	0.0667411	0.0270751	0.0917999	0.0730233	0.0617505	0.0440134	0.0120849	0.0420859	0.0191001	0.0208523	0.0183459	0.0224152	0.0137796	0.00485716	0.0105363	0.00756759
est	0.0247016	0.0369171	0.0289109	0.0287733	0.0397269	0.0768956	0.0641253	0.0682187	0.039852	0.0439544	0.0393471	0.011561	0.0591447	0.0144325	0.0400061	0.0376876	0.0451446	0.0396284	0.0642344	0.02357	0.0338219	0.0328455	0.0279089	0.016172	0.0213247	0.0168773	0.0157661	0.00845138
en	0.0294803	0.00829387	0.0114733	0.0132912	0.0158349	0.0314451	0.0337929	0.0315819	0.0265828	0.0190405	0.0340514	0.0190215	0.0172963	0.041454	0.0491506	0.0589146	0.0563361	0.0701165	0.0644355	0.0386282	0.046345	0.0339581	0.040859	0.0363718	0.0351578	0.0362211	0.0411903	0.0596751
train	0.0258051	0.00823613	0.020235	0.0190586	0.0248174	0.0305953	0.0297401	0.0286385	0.0271125	0.0254536	0.0501384	0.0396018	0.0314149	0.0613507	0.0656744	0.0659797	0.0522733	0.0428401	0.0350225	0.0349217	0.0363364	0.0331563	0.0383995	0.0268701	0.0314327	0.0222024	0.0446469	0.0480458
de	0.0946808	0.0212177	0.0345533	0.0237743	0.0346039	0.0411412	0.0321066	0.0179905	0.0291576	0.0434435	0.0361183	0.0427164	0.0523294	0.0499174	0.0443395	0.0530086	0.0281404	0.0425464	0.030634	0.017123	0.0125599	0.00845603	0.0167767	0.0129192	0.0188961	0.0202825	0.0304579	0.110109
se	0.0543186	0.0242629	0.0234534	0.0349548	0.0333001	0.0545696	0.0523225	0.029104	0.0308836	0.0336426	0.0546744	0.0294104	0.0143035	0.0451862	0.0552276	0.0533353	0.0641911	0.0501696	0.0259028	0.018851	0.0139894	0.0134037	0.0159285	0.013753	0.0193368	0.0184254	0.0425437	0.0805557
promener	0.0546867	0.031889	0.0323724	0.0418698	0.0362868	0.043653	0.0357323	0.0287372	0.0340161	0.0375238	0.0587319	0.0391897	0.0290813	0.0562874	0.0494626	0.0358714	0.0318681	0.0305983	0.0124167	0.012939	0.0173274	0.0142283	0.0252019	0.01026	0.0191436	0.00930793	0.0650015	0.106316
dans	0.089031	0.0588342	0.068623	0.0945418	0.0690242	0.059384	0.0355185	0.0207937	0.0154825	0.0197344	0.0230215	0.0265869	0.00457588	0.0259442	0.0208697	0.0171908	0.0165914	0.0294236	0.0171532	0.0232423	0.0244098	0.0265611	0.0282129	0.0183542	0.0254635	0.0161608	0.0480866	0.0771841
la	0.0672429	0.0496368	0.0375345	0.0518767	0.0495398	0.044589	0.0310777	0.0115705	0.0110964	0.00911614	0.0126464	0.0109281	0.00604708	0.0123972	0.016217	0.0169584	0.0203326	0.0334806	0.0244522	0.0368912	0.0461868	0.0249427	0.0648873	0.0372451	0.0654171	0.0471952	0.0664546	0.09404
savane	0.0388684	0.0380776	0.0242197	0.0318282	0.0212578	0.0203333	0.0235879	0.0255884	0.0194339	0.0159981	0.0281045	0.031899	0.0142326	0.0355873	0.0450816	0.0381339	0.0298859	0.0447053	0.023157	0.026814	0.0361876	0.0248236	0.0545605	0.0208385	0.0413745	0.0232603	0.104391	0.11777
brûlée	0.0944311	0.0973917	0.0602295	0.0738133	0.0847623	0.0475691	0.0244482	0.0132474	0.0122419	0.0103088	0.0156006	0.0113382	0.006309	0.0146585	0.017576	0.0114488	0.0107682	0.0172384	0.0109423	0.013542	0.0209658	0.0113458	0.0401598	0.0109711	0.0229122	0.0129674	0.0771087	0.155704
</S>	0.0525575	0.0263884	0.0229951	0.0285215	0.0241016	0.0261969	0.025206	0.0182362	0.0171592	0.0139805	0.01841	0.0168869	0.0134434	0.0259945	0.027909	0.0304246	0.0255177	0.0310743	0.0343642	0.0360728	0.0498085	0.0380686	0.0621005	0.0408334	0.0644888	0.0762922	0.0693618	0.083606
