 	n	g	á	í	n	y	í	m	i	n	i	l	e	k	ώ	ώ	l	i	p	á	b	h	a	m	b	ε	s	í	l	a	n	ω	</S>
j'	0.0639497	0.232448	0.351788	0.105605	0.0463845	0.00964519	0.00558103	0.00193489	0.00266872	0.00418477	0.00740289	0.0124395	0.0155199	0.0147966	0.0102578	0.00880001	0.00830524	0.00616621	0.00632586	0.0066013	0.00733984	0.00699238	0.00729029	0.00612367	0.0060751	0.00624819	0.00590625	0.00581913	0.00515072	0.00528233	0.00468872	0.00535641	0.00692165
ai	0.0397734	0.0220637	0.0742091	0.0516488	0.0365119	0.0194225	0.0262016	0.0489541	0.0634962	0.050899	0.0466653	0.0592365	0.0498251	0.0537071	0.0585136	0.037932	0.0302235	0.0284741	0.025378	0.0203458	0.0167933	0.00866477	0.00991982	0.00857481	0.00900181	0.00911556	0.0094861	0.0114276	0.0251351	0.0142494	0.0108697	0.0090973	0.0141834
raté	0.0181798	0.0187284	0.0165541	0.0250397	0.0234485	0.0373333	0.0611551	0.0577426	0.0723532	0.0442083	0.0592489	0.0572134	0.0641179	0.0548912	0.0613222	0.0524073	0.0225273	0.0142215	0.0211346	0.0204	0.0230563	0.0206854	0.0234691	0.012262	0.0131969	0.00981366	0.0105005	0.0101272	0.0141847	0.014167	0.0107833	0.0231941	0.0123325
les	0.0176631	0.0171918	0.0302116	0.0260674	0.0504481	0.0310847	0.0295133	0.0438234	0.0146769	0.0239493	0.0174934	0.0169149	0.0286621	0.0365807	0.033134	0.0355164	0.0468022	0.0736374	0.0525915	0.0367934	0.0345657	0.0323552	0.0320572	0.0185292	0.0170351	0.0134649	0.0126689	0.0166465	0.0184441	0.0171895	0.0247649	0.050559	0.0489644
cours	0.0157683	0.0152808	0.0100203	0.0123699	0.0216977	0.0352835	0.0438197	0.0493989	0.0336203	0.0290233	0.0309121	0.0308283	0.0287531	0.0307417	0.0498465	0.0342134	0.0284975	0.0237576	0.0227117	0.020728	0.0299186	0.0267069	0.0295842	0.0396377	0.036149	0.036324	0.0374674	0.0337817	0.0283389	0.0293168	0.0222824	0.0310771	0.0521425
aujourd'	0.0158985	0.0115836	0.0102842	0.0232696	0.0107506	0.0120419	0.0288282	0.0286381	0.0283815	0.0253116	0.0223805	0.0137228	0.0139453	0.0132703	0.0226286	0.0276695	0.0295403	0.0382802	0.0401518	0.0300298	0.0404416	0.0300642	0.0339427	0.0357157	0.0370246	0.0391495	0.0441306	0.0459135	0.0445484	0.0464563	0.0427117	0.0495052	0.0637892
hui	0.0209993	0.0209284	0.0276085	0.0142967	0.0139848	0.0237437	0.0439397	0.0414071	0.0320529	0.0243246	0.0303873	0.0253498	0.0298596	0.0311205	0.0415881	0.0430716	0.0334005	0.028532	0.0282104	0.0180008	0.0261334	0.0229972	0.0223521	0.0279284	0.0274573	0.030053	0.0305493	0.0241536	0.0266527	0.0268438	0.0302827	0.0369159	0.0948744
par	0.0214224	0.0156714	0.0353275	0.0222404	0.00888716	0.0157574	0.0261507	0.0209644	0.0198113	0.0174478	0.0168057	0.0117414	0.0150258	0.0141264	0.0181097	0.0215767	0.0233117	0.0287988	0.026423	0.0203207	0.0258679	0.0235045	0.0274541	0.0324574	0.0439776	0.0474444	0.049423	0.0421753	0.045855	0.0454564	0.0543175	0.0581704	0.103976
ta	0.0168486	0.0136164	0.0174772	0.0148825	0.0109494	0.0129342	0.0105005	0.0120331	0.010829	0.0100375	0.0118059	0.0105621	0.0125446	0.0132013	0.0167088	0.0186002	0.021033	0.0262877	0.0259715	0.023397	0.0278357	0.027745	0.0282783	0.0382584	0.0532365	0.0561971	0.0617641	0.0571224	0.0630103	0.0637006	0.0682075	0.068438	0.0759857
faute	0.014898	0.0140152	0.0121399	0.0103778	0.00745083	0.0091147	0.00906173	0.0170743	0.0133849	0.0145251	0.0202512	0.0231164	0.0241996	0.0267129	0.036322	0.0298381	0.0318565	0.0331477	0.0283174	0.0297924	0.0235769	0.0178489	0.0197406	0.0190894	0.0279678	0.0311059	0.0443032	0.0489294	0.0605746	0.0643593	0.0775276	0.0757441	0.0836358
</S>	0.0300294	0.0190138	0.0134074	0.0141906	0.0154119	0.0177034	0.0193371	0.0428279	0.0183877	0.0177282	0.0207002	0.0171101	0.0180912	0.0251186	0.030745	0.0384549	0.0269015	0.0323738	0.0439586	0.0375077	0.03665	0.0241325	0.025992	0.0196183	0.0313701	0.0280128	0.0277819	0.0320819	0.0408663	0.0437817	0.0459194	0.0523262	0.092468
