 	o	m	b	ω	r	i	m	ó	ó	b	έ	r	έ	e	d	ú	n	u	y	ó	y	ú	r	u	s	á	d	z	á	n	d	e	ó	d	i	b	v	á	n	y	i	k	a	á	</S>
le	0.00609284	0.0103146	0.010662	0.0116732	0.0110103	0.0244194	0.0207105	0.0304684	0.0231981	0.0367492	0.0433766	0.0560888	0.0495876	0.050862	0.043197	0.041683	0.0301153	0.0251509	0.0190486	0.0255486	0.0245953	0.0138728	0.0150923	0.0140152	0.00804987	0.00710961	0.0110066	0.00707922	0.00890752	0.0105007	0.00688697	0.00832754	0.00863892	0.00670028	0.0108852	0.01253	0.0142349	0.0190523	0.0225419	0.0370157	0.0392166	0.0293156	0.0342733	0.0361167	0.0240782
soldat	0.0336814	0.0631146	0.0855709	0.146979	0.0935638	0.089734	0.0801264	0.0484324	0.0274001	0.0175529	0.0131883	0.0152535	0.0179976	0.0334937	0.0234814	0.0173662	0.0090584	0.00982574	0.00606972	0.00442322	0.00227143	0.000939929	0.00100478	0.000572832	0.00031047	0.000552887	0.000498549	0.000372976	0.000616098	0.00142103	0.000962504	0.0015323	0.00205564	0.00631659	0.00858996	0.00460066	0.0110923	0.025632	0.018775	0.0227106	0.0281438	0.0132832	0.00665495	0.00207123	0.00270498
qui	0.153622	0.0985541	0.059125	0.0318197	0.0136968	0.0144579	0.0114715	0.00884886	0.0189073	0.0129359	0.0138154	0.0165553	0.0141819	0.0189182	0.0198016	0.0534773	0.0581199	0.0661406	0.02809	0.0111081	0.00967128	0.00804297	0.00385507	0.00367886	0.00264994	0.00375529	0.00491394	0.00560509	0.00589959	0.00867343	0.00699119	0.0112818	0.0104169	0.00663263	0.0126378	0.0104973	0.0169883	0.0367711	0.0447863	0.0169085	0.0187566	0.0107086	0.00681057	0.00560721	0.00381239
est	0.0235203	0.0197336	0.0189619	0.0278813	0.0280389	0.0220687	0.0172182	0.0192995	0.0222787	0.0161691	0.0190689	0.0226102	0.0207185	0.0231491	0.0284271	0.0400794	0.0327352	0.0349431	0.0295419	0.0365176	0.0454513	0.0203593	0.019164	0.0155442	0.0163012	0.0161989	0.011567	0.0174461	0.0138702	0.0174495	0.0244713	0.0317769	0.0263723	0.0240619	0.0308317	0.0170843	0.0128092	0.0256243	0.0146923	0.0109922	0.0125854	0.0109685	0.0109471	0.0173708	0.0330988
en	0.0902414	0.04524	0.0443266	0.046571	0.0506962	0.0566641	0.0468794	0.0375968	0.0333407	0.023887	0.0183201	0.0125751	0.0150701	0.0147547	0.0144039	0.0305662	0.0145038	0.0140231	0.00755205	0.00650426	0.0075028	0.00726754	0.00818765	0.00645649	0.00781512	0.00739946	0.00802134	0.00917137	0.0108349	0.00892184	0.00975744	0.0192058	0.00907578	0.0132703	0.0154479	0.0135358	0.0160503	0.0137351	0.0466749	0.015739	0.0250421	0.0188399	0.0238699	0.0213824	0.0330785
train	0.0457289	0.0319913	0.0349654	0.0270217	0.0292153	0.0307341	0.0253784	0.0150672	0.0251265	0.0158078	0.0127189	0.01205	0.0121627	0.0151599	0.0110018	0.0161334	0.00891234	0.0111786	0.00971546	0.00709254	0.0088524	0.0117333	0.00954065	0.00833485	0.0101422	0.0113905	0.0139663	0.0103763	0.0106117	0.014694	0.0155382	0.0147786	0.0132605	0.0242892	0.0338981	0.0180971	0.0274355	0.0373384	0.085471	0.0379154	0.0432096	0.0342134	0.0344429	0.0310733	0.0422346
de	0.0238715	0.0286642	0.0332198	0.0322488	0.0308869	0.0280828	0.0270839	0.0213313	0.0396781	0.0347298	0.0342038	0.0218145	0.0188994	0.0114737	0.013466	0.0247274	0.0213659	0.019711	0.0160968	0.0172374	0.0217109	0.0237639	0.0219599	0.0198896	0.0189351	0.0176052	0.0179987	0.0308994	0.0261252	0.0319831	0.0240755	0.0280387	0.0198796	0.0238299	0.0179725	0.0082044	0.00743969	0.0145954	0.0181861	0.0148621	0.0112901	0.0110998	0.0142748	0.0118173	0.0447703
frapper	0.0431785	0.0331279	0.0273221	0.0195203	0.0119716	0.00944465	0.00926457	0.00627285	0.015017	0.0127223	0.0181438	0.0126489	0.0104163	0.00831946	0.00819426	0.0126172	0.0163745	0.0199779	0.017499	0.0182101	0.0200486	0.0318031	0.0250665	0.0344717	0.031137	0.0381716	0.039427	0.0382603	0.0504024	0.0410342	0.032416	0.0325361	0.0275595	0.0251582	0.0185793	0.0144902	0.0133979	0.0162526	0.0218939	0.00913076	0.00818478	0.00960918	0.0144165	0.0211343	0.0551753
la	0.0216959	0.0157384	0.0186238	0.0137022	0.0124764	0.0137549	0.00791872	0.00429962	0.00663673	0.0065049	0.00756987	0.00681999	0.00666353	0.00672012	0.0125034	0.015024	0.0201445	0.0159394	0.0126569	0.0183655	0.0203805	0.0254739	0.0201039	0.031621	0.0300346	0.0480727	0.042005	0.0437905	0.0485665	0.0397746	0.0494595	0.0395634	0.0362989	0.0462254	0.0379795	0.0356518	0.0184711	0.00941344	0.0155541	0.00845227	0.00842192	0.00959987	0.0128582	0.0172658	0.0612027
vieille	0.0151057	0.0153421	0.0140982	0.0110919	0.00859731	0.00739932	0.00620997	0.00557686	0.00702064	0.00604662	0.00864273	0.0106892	0.0112563	0.012441	0.0196086	0.018442	0.0252502	0.0242003	0.0231464	0.0213498	0.0193454	0.017677	0.0176031	0.0204537	0.017874	0.0358577	0.0242262	0.0165106	0.0284537	0.0332645	0.0301163	0.0239685	0.0303808	0.0313577	0.0277122	0.0302361	0.0236901	0.0109334	0.0173774	0.0121783	0.0142984	0.0204336	0.035603	0.0339736	0.154959
femme	0.0481785	0.029404	0.0215872	0.0196481	0.0174786	0.0106451	0.00572451	0.00332537	0.0042239	0.00400044	0.00403445	0.00241928	0.00245638	0.00257386	0.00312637	0.00663971	0.00921476	0.0115072	0.0148488	0.0199598	0.0265225	0.0409665	0.0356636	0.0483897	0.0515889	0.0469835	0.0589244	0.0725408	0.0612885	0.0478746	0.0319021	0.0223388	0.0188725	0.013813	0.0155623	0.00978626	0.00707249	0.00722184	0.011593	0.00467733	0.00422937	0.00668826	0.0170263	0.0157102	0.0817669
dans	0.036643	0.0275042	0.022251	0.0178634	0.0141654	0.00941174	0.00809057	0.00511019	0.00732595	0.00800464	0.00789478	0.00797232	0.00667019	0.00789812	0.00922905	0.0104083	0.0112827	0.0122827	0.0147594	0.0224201	0.0318797	0.0262861	0.0259789	0.0286452	0.0312472	0.0281634	0.026026	0.0345876	0.0298187	0.0285024	0.0341082	0.0363654	0.03468	0.0285756	0.0264287	0.0139152	0.0110447	0.00591784	0.0199141	0.0145777	0.0236448	0.0251368	0.0419518	0.0362142	0.0892017
le	0.04967	0.0372575	0.0303238	0.0273538	0.0211547	0.0146372	0.010494	0.0114258	0.0181713	0.0171789	0.0185771	0.0131434	0.00838387	0.0066043	0.00808218	0.0171939	0.0206243	0.0242304	0.0246469	0.0234669	0.0227314	0.0230467	0.0153071	0.0207179	0.0193632	0.0220368	0.0245138	0.0205679	0.0209925	0.0238293	0.0298115	0.0186626	0.0215907	0.0193223	0.0233466	0.0170791	0.0147309	0.0177986	0.0221134	0.0161349	0.0141461	0.0172815	0.024453	0.0482051	0.0795969
marché	0.0345186	0.0223273	0.017346	0.0161488	0.0147771	0.00705437	0.00430329	0.00291826	0.00468577	0.00476969	0.00515202	0.00467638	0.00391916	0.004068	0.00495762	0.0062284	0.006101	0.00696023	0.00794977	0.012162	0.0142032	0.0134955	0.0107466	0.0138327	0.0138562	0.0160961	0.0189204	0.0250681	0.0191705	0.021244	0.0274771	0.0271584	0.0280335	0.0298093	0.0340158	0.0420709	0.023046	0.0154867	0.032822	0.034279	0.0385623	0.0432309	0.060855	0.0787502	0.126746
n'	0.079509	0.0379589	0.0197444	0.0131983	0.00799241	0.00328598	0.00223374	0.00172794	0.00299407	0.00388576	0.00528747	0.00360066	0.00303459	0.00364043	0.0042858	0.00786093	0.00779687	0.0105893	0.012736	0.0161294	0.0167043	0.0190357	0.0152197	0.0198197	0.0196173	0.0190098	0.0298669	0.0409757	0.0273044	0.0300705	0.0285939	0.0216639	0.0198128	0.0151634	0.021584	0.0139383	0.00886031	0.0150182	0.034051	0.015614	0.0170719	0.0206913	0.0478427	0.0561273	0.178851
est	0.114081	0.0734633	0.0411907	0.0339613	0.0236797	0.0132902	0.0115089	0.00661912	0.013034	0.00971472	0.00980732	0.00421277	0.00331625	0.00319311	0.00348829	0.00695062	0.00967731	0.0132421	0.0144442	0.0129751	0.0193035	0.0226117	0.0140669	0.0224435	0.0209139	0.0198934	0.0226086	0.0306642	0.0269737	0.028494	0.0335054	0.0241207	0.0262165	0.017242	0.0230838	0.0209053	0.0161598	0.0144888	0.0187097	0.00690108	0.0060652	0.00898487	0.015301	0.0229234	0.0955696
pas	0.0979405	0.0359957	0.0221826	0.0182248	0.0118907	0.00627472	0.0038971	0.00223947	0.00364019	0.00521539	0.0060259	0.00679885	0.00544372	0.00824669	0.010933	0.0164439	0.0173206	0.0201984	0.0162145	0.0182871	0.0178393	0.015025	0.0159465	0.0174692	0.0155081	0.0190469	0.0216694	0.0235338	0.0206408	0.0211239	0.0212284	0.0221075	0.0243129	0.0185162	0.019378	0.0145648	0.00838637	0.012252	0.028376	0.0390956	0.0383801	0.0445437	0.0556449	0.0558876	0.0761091
