 	o	t	ó	n	g	i	m	í	a	b	ó	l	á	a	t	u	m	b	á	i	t	e	t	é	m	a	</S>
le	0.00882278	0.00840739	0.00907821	0.0082931	0.0113303	0.00858409	0.00826375	0.0132667	0.0314043	0.0519696	0.0500543	0.0686752	0.0783083	0.0603892	0.0614848	0.0539394	0.0509668	0.0478875	0.0442919	0.0405629	0.0440079	0.038927	0.0440226	0.0522698	0.0394017	0.0348532	0.0305372
vanier	0.0669162	0.0926245	0.0966115	0.0389085	0.0600991	0.03923	0.0316081	0.0347631	0.0324118	0.0411087	0.0374299	0.0430425	0.0394243	0.0289919	0.0344944	0.0324655	0.0392539	0.0470635	0.0451296	0.0364586	0.0327321	0.0197221	0.0140036	0.00808725	0.00388545	0.00204466	0.00148902
est	0.0397126	0.0229335	0.0215792	0.0229246	0.0369719	0.0364589	0.0360645	0.0405606	0.0205557	0.020762	0.0114414	0.0135707	0.0107073	0.0130215	0.0135105	0.0401145	0.0847671	0.119683	0.174343	0.118411	0.0361525	0.0111474	0.0137682	0.0122086	0.00866565	0.0141619	0.0058026
en	0.0418252	0.0604384	0.062031	0.0646733	0.0603322	0.0597524	0.0385859	0.0305226	0.0213958	0.0145255	0.0177546	0.0185957	0.0157565	0.0185492	0.0173316	0.0141564	0.0152142	0.0152009	0.0210794	0.038389	0.0476596	0.0538924	0.0438798	0.044947	0.0433298	0.0439652	0.0762164
train	0.0299647	0.0259312	0.0275936	0.0212081	0.0233237	0.0210871	0.0274103	0.0344505	0.0396298	0.0342454	0.0373725	0.0273367	0.0159067	0.0134348	0.0144414	0.0166586	0.0329532	0.0449092	0.069759	0.0624769	0.0676172	0.0533079	0.0577209	0.0599249	0.0496335	0.0454908	0.0462114
de	0.0466683	0.0548145	0.0498085	0.0594144	0.0501891	0.042335	0.0471109	0.0428152	0.0325145	0.0530115	0.0505997	0.054769	0.0474222	0.0655042	0.069209	0.0423585	0.0276679	0.0177467	0.0134337	0.00940182	0.00705031	0.0116182	0.0120979	0.0165157	0.0130718	0.0129192	0.0499321
brûler	0.0473159	0.0317381	0.0266215	0.0206122	0.0184318	0.0240247	0.0562795	0.0588503	0.0614784	0.0710971	0.0841585	0.0687613	0.0632996	0.0472712	0.0377999	0.0321446	0.0386826	0.0326805	0.0309397	0.0246855	0.0159851	0.010196	0.0152158	0.0194097	0.0159259	0.0204694	0.0259254
les	0.0284201	0.0316992	0.039327	0.0366052	0.0375514	0.0404638	0.075226	0.0448202	0.0495816	0.0357154	0.0391205	0.0287487	0.027721	0.0253205	0.0205227	0.0122594	0.0135257	0.0108119	0.0140708	0.0238815	0.035925	0.058501	0.0398829	0.028397	0.0438087	0.0486147	0.109478
fibres	0.0440827	0.0411514	0.04364	0.0380542	0.0329765	0.0221833	0.0148385	0.013676	0.0126647	0.0101278	0.00993524	0.0084862	0.00866312	0.0108065	0.0100222	0.00844811	0.0121401	0.0118377	0.0171571	0.0374895	0.0640913	0.0918295	0.0775614	0.0654648	0.0820537	0.0851908	0.125428
de	0.0479259	0.055592	0.0654062	0.0609139	0.0558515	0.0544432	0.055095	0.0495339	0.0452811	0.0321686	0.0227326	0.0148819	0.0096139	0.00880184	0.00671169	0.00497066	0.00730354	0.00812552	0.00875299	0.010489	0.011636	0.0244986	0.0188893	0.0230542	0.0444746	0.066574	0.186278
liane	0.0671628	0.0521043	0.0424202	0.0414967	0.0383403	0.0155419	0.00993737	0.0102597	0.0100806	0.0101067	0.011503	0.00943416	0.0115949	0.0128659	0.0111284	0.00881124	0.0107565	0.00701486	0.00655948	0.00693197	0.0203663	0.0509201	0.0682648	0.0849668	0.0949256	0.116024	0.170481
</S>	0.0721088	0.0484391	0.0387317	0.0381368	0.0347581	0.0150612	0.00990723	0.0102333	0.00879449	0.00834309	0.0112846	0.00819959	0.00832587	0.00839828	0.00738467	0.00343371	0.0050564	0.00436651	0.0059937	0.0100613	0.0343886	0.0620413	0.0830679	0.0968756	0.0888732	0.113061	0.164674
