 	k	a	a	g	h	á	y	a	n	g	á	y	o	y	ú	r	u	á	k	o	b	h	i	l	e	m	b	ω	ω	m	í	b	ω	n	g	ω	l	á	m	b	e	á	</S>
ma	0.0157801	0.0273936	0.0300327	0.0272361	0.0428038	0.0139803	0.0346671	0.0521149	0.0572582	0.10766	0.0704546	0.0649659	0.0477071	0.0299899	0.0341325	0.0198353	0.0321797	0.0205078	0.019365	0.0209086	0.0194214	0.0144906	0.00582641	0.00542297	0.00391707	0.00419665	0.00439881	0.00522638	0.00466701	0.00574796	0.00836103	0.0134079	0.0109366	0.0105496	0.0137057	0.0136972	0.016154	0.0136223	0.0140745	0.0112497	0.0111784	0.0108995	0.00987519
grand-mère	0.0796447	0.0573122	0.0515253	0.0636597	0.0635693	0.0627497	0.0448383	0.0229765	0.0217878	0.0360017	0.0300325	0.0337357	0.0331327	0.0280059	0.0423803	0.0223888	0.0165327	0.0105479	0.00862375	0.0205356	0.0172111	0.0147649	0.0306852	0.0201842	0.0147672	0.00831512	0.00716112	0.0192477	0.00743925	0.00544491	0.00444292	0.0401443	0.0176491	0.0105224	0.0125695	0.00553197	0.00504828	0.00350369	0.00205465	0.00198908	0.000704945	0.000451104	0.000186274
a	0.0445362	0.044542	0.0326191	0.032995	0.0214282	0.0275963	0.028272	0.0279353	0.0266588	0.0282929	0.0260254	0.0377985	0.0374192	0.0314038	0.0221002	0.0297049	0.0178576	0.0213143	0.023552	0.0182106	0.0181174	0.0261665	0.0180386	0.0206401	0.0124085	0.0127609	0.0165615	0.0184539	0.0211479	0.0169692	0.0238918	0.0240749	0.0358753	0.0220776	0.0255188	0.0207175	0.0192863	0.0215484	0.0134724	0.00907042	0.00815797	0.00884097	0.00594055
pris	0.0358817	0.0190429	0.0158704	0.0154897	0.0137833	0.0113842	0.012287	0.0101046	0.011536	0.0147358	0.0213278	0.0254109	0.0283508	0.0408456	0.028485	0.037004	0.0474914	0.0294627	0.029526	0.0339332	0.0305743	0.0324679	0.0402258	0.0310374	0.0344185	0.0368641	0.0386294	0.0403925	0.0501144	0.0222272	0.0231147	0.0160902	0.0107564	0.0111779	0.0184616	0.00764705	0.0102909	0.00593962	0.00740326	0.00800183	0.00696978	0.0119405	0.0233017
de	0.0333041	0.0260013	0.0219124	0.0226515	0.018963	0.0223549	0.0211936	0.0249716	0.0132286	0.0167487	0.0167648	0.0115865	0.0138209	0.0119685	0.0115036	0.0178979	0.0206203	0.0197363	0.0206139	0.0250636	0.024602	0.0402501	0.0600617	0.0465806	0.0724996	0.0415654	0.0371442	0.0379542	0.0340742	0.0256745	0.0070077	0.00775023	0.00765153	0.00976962	0.00779691	0.0100061	0.0102586	0.0126156	0.0144328	0.0169368	0.0175744	0.0166221	0.050265
la	0.0164171	0.0126975	0.0100076	0.00913153	0.00979833	0.0107021	0.0110394	0.0151047	0.00948876	0.0096444	0.0139033	0.0121717	0.0134569	0.0120899	0.0122202	0.0129457	0.0113745	0.017366	0.0179532	0.0215763	0.0319867	0.0371077	0.0407447	0.0630702	0.0523099	0.0631649	0.0544275	0.04676	0.0378234	0.0366912	0.022481	0.0168701	0.0185529	0.0153307	0.0144943	0.016426	0.017724	0.018435	0.0187484	0.0206116	0.0248258	0.0341463	0.038179
latérite	0.0163046	0.0187101	0.0199427	0.0163572	0.0181138	0.0202261	0.0235257	0.0244762	0.00928373	0.0159763	0.0126891	0.00991483	0.011823	0.0128082	0.0136867	0.0184336	0.0181141	0.0196955	0.0272778	0.0293623	0.0343186	0.0287808	0.0243834	0.0261427	0.0167422	0.0205894	0.0190998	0.0241434	0.01931	0.0199274	0.0127882	0.0290552	0.018924	0.0239512	0.0304341	0.0306054	0.037452	0.0409446	0.0322545	0.0322005	0.0352628	0.0303789	0.0555891
noire	0.0116979	0.00928679	0.0104116	0.00826939	0.0104353	0.00969214	0.0118626	0.0135614	0.00447976	0.00595609	0.00711602	0.00631099	0.00938926	0.0109709	0.00741144	0.0111859	0.0114563	0.0217063	0.0173535	0.025117	0.0345928	0.0420673	0.0348192	0.0382727	0.0254613	0.0314537	0.0381997	0.0491831	0.0356731	0.0259244	0.0286684	0.0419607	0.0250832	0.0397195	0.0338481	0.0269445	0.033402	0.0267228	0.0192547	0.0267769	0.0327221	0.0368899	0.0486894
pour	0.0388758	0.0238708	0.0220229	0.0193401	0.0191095	0.0184743	0.0102512	0.00941269	0.00703071	0.00913284	0.0124605	0.0132451	0.0128087	0.0187929	0.0131481	0.0204264	0.0190352	0.0213963	0.0254366	0.0352424	0.0450105	0.0450132	0.04827	0.0514192	0.0507094	0.0599639	0.0439998	0.0418669	0.0391865	0.0253177	0.0123633	0.0120737	0.00594654	0.00753905	0.00936427	0.0077858	0.0102318	0.0108032	0.0100787	0.0159579	0.0206923	0.0188346	0.0380586
fabriquer	0.06005	0.0202841	0.0146931	0.0155478	0.0118013	0.0112149	0.00878852	0.0121363	0.0052202	0.00821925	0.00801561	0.00796357	0.00890779	0.00991644	0.00761242	0.0129852	0.0108145	0.011489	0.0120593	0.0180146	0.0207967	0.0267749	0.0280922	0.0334514	0.0317631	0.0449013	0.0369497	0.0386296	0.0382663	0.0209278	0.0222929	0.0189967	0.0199392	0.025897	0.0289172	0.0292559	0.0273984	0.0253657	0.0298113	0.0338934	0.0366199	0.0423756	0.0629497
