 	o	n	d	o	n	g	o	l	á	a	s	é	b	h	á	o	l	έ	n	g	έ	s	á	k	ώ	</S>
ondongo	0.0097743	0.00999403	0.00784104	0.0087283	0.0522588	0.0568079	0.0687376	0.0657676	0.0445785	0.0392889	0.0242958	0.0261278	0.0220356	0.0346537	0.0528106	0.0650209	0.0787909	0.0694636	0.0570248	0.059749	0.034603	0.0233683	0.0234943	0.0203242	0.0264965	0.0179638
est	0.0931943	0.0790504	0.0280767	0.0197581	0.0295479	0.0435615	0.0263564	0.0609122	0.0858503	0.0914254	0.103612	0.0833034	0.0290908	0.0356213	0.0274038	0.0258195	0.0205894	0.0158815	0.0114201	0.0145265	0.0110039	0.0129234	0.0122578	0.0117546	0.00928904	0.0177698
parti	0.0388619	0.0216253	0.0455242	0.121942	0.0894915	0.0800572	0.0551267	0.028435	0.0320756	0.0295411	0.0252837	0.0461734	0.0238197	0.0371179	0.0452631	0.0434826	0.0649591	0.0708162	0.0454999	0.0214114	0.0078305	0.00330878	0.00603042	0.00468394	0.00395606	0.0076831
récolter	0.0689469	0.0663625	0.0608793	0.0294362	0.0261611	0.037031	0.0416786	0.0417729	0.044189	0.0336449	0.0237749	0.0338243	0.0209167	0.0274529	0.0329553	0.0257764	0.0263475	0.0265959	0.0254087	0.0170763	0.019396	0.0148475	0.0345976	0.0446066	0.0472712	0.12905
le	0.0112963	0.0226033	0.0258946	0.0126144	0.0147888	0.0212399	0.0235692	0.0302125	0.031582	0.0515749	0.0452175	0.0507202	0.0361538	0.0523064	0.0777768	0.0707617	0.0492365	0.0364048	0.0372694	0.0228997	0.0181307	0.0230269	0.0264509	0.0448496	0.0556945	0.107725
vin	0.0785948	0.0782795	0.0917888	0.054607	0.0274687	0.0195544	0.0211658	0.0199626	0.0207647	0.0182162	0.0198772	0.02056	0.0197441	0.0202406	0.0313541	0.0372012	0.0292701	0.0312324	0.025252	0.0285508	0.0174921	0.02575	0.03181	0.0468837	0.0645048	0.119874
de	0.0397738	0.0361526	0.0412549	0.0347039	0.027317	0.0266557	0.0283089	0.0299411	0.0331387	0.0340908	0.0215288	0.0228706	0.0201119	0.0201776	0.0348092	0.0258398	0.0173506	0.0210972	0.0272373	0.0269434	0.0246008	0.044959	0.0500193	0.0686297	0.0879483	0.154539
palme	0.0693041	0.0484131	0.054229	0.0438521	0.0341819	0.032469	0.0292928	0.0232678	0.0205567	0.0171772	0.0154041	0.0116675	0.00843763	0.0102902	0.0149655	0.0255387	0.0327903	0.0426559	0.0509888	0.0537937	0.0509886	0.0516018	0.0546707	0.0571686	0.0618093	0.084485
dans	0.0615413	0.0403674	0.0436677	0.0440024	0.0379598	0.0416292	0.0443759	0.0250725	0.0185526	0.0100638	0.00453802	0.0047271	0.00467537	0.00434598	0.00475838	0.00747026	0.0106431	0.0188616	0.0278993	0.0375982	0.0482864	0.0680274	0.0667157	0.0909768	0.0871438	0.1461
la	0.04995	0.027482	0.019097	0.0214637	0.021894	0.0227002	0.018251	0.0185207	0.00965803	0.00798223	0.00708991	0.00511114	0.00517323	0.00568411	0.0072006	0.00980712	0.0111324	0.0129948	0.0294532	0.0255042	0.0469125	0.094336	0.0881805	0.121331	0.116087	0.197004
forêt	0.0427236	0.0386435	0.0347711	0.0328733	0.0324145	0.0257814	0.0165687	0.00933077	0.00857185	0.00635364	0.00612988	0.00572889	0.00582262	0.00634949	0.00701724	0.00800563	0.00901831	0.0140449	0.0359245	0.0508378	0.0756514	0.0972087	0.0961662	0.101813	0.0912286	0.14102
</S>	0.0654312	0.0487697	0.0417535	0.0342378	0.0319623	0.0227502	0.0222213	0.0185468	0.0157174	0.0113656	0.00914919	0.00611761	0.00650213	0.00702857	0.00636342	0.00891344	0.0136232	0.0222902	0.0318862	0.0451674	0.0483037	0.0809702	0.0743435	0.0870588	0.0841456	0.155381
