 	b	í	s	í	l	a	n	ω	l	é	m	i	y	á	n	a	a	</S>
il	0.0904215	0.151238	0.206666	0.239578	0.0873286	0.046827	0.0296769	0.0243809	0.0392411	0.0204445	0.0160082	0.01268	0.00857296	0.00836372	0.00631069	0.00408434	0.00363768	0.00453955
y	0.202951	0.317897	0.119685	0.0503673	0.0523827	0.0267528	0.00811985	0.0108847	0.0544541	0.0212466	0.011529	0.016372	0.013969	0.0172968	0.0126035	0.0154289	0.0215013	0.0265586
a	0.135866	0.0938001	0.0662623	0.0711816	0.0866636	0.0734907	0.0380442	0.0464294	0.0709745	0.0794761	0.0355657	0.0365719	0.0168607	0.0169399	0.0307774	0.036814	0.0342815	0.0300001
belle	0.0236359	0.019764	0.0158202	0.0153531	0.0161996	0.0183371	0.0319345	0.0363415	0.0627219	0.0940029	0.11278	0.0661682	0.0903669	0.0602023	0.0698678	0.0851482	0.0952868	0.0860686
lurette	0.0249847	0.0259885	0.0184753	0.0231943	0.0392539	0.0448683	0.0363009	0.0497139	0.0751852	0.0914487	0.104828	0.0831058	0.0836383	0.10203	0.0737489	0.0363705	0.0365254	0.0503403
qu'	0.0998819	0.0762527	0.0588536	0.0329178	0.0238649	0.0255388	0.0213424	0.0235598	0.0427232	0.0400964	0.0499031	0.0573567	0.0557591	0.0610741	0.0682085	0.077375	0.0833541	0.101938
on	0.0853914	0.0942593	0.0567569	0.0448613	0.0410048	0.0381483	0.0464291	0.0314006	0.0250497	0.017042	0.0288778	0.0427902	0.0677414	0.0647523	0.0638705	0.0724723	0.0692779	0.109874
s'	0.0789189	0.0613423	0.0434376	0.0318299	0.0176627	0.00863668	0.0128742	0.012335	0.0188894	0.0220334	0.0414587	0.0417817	0.0778863	0.0917007	0.0894624	0.111253	0.0946095	0.143888
est	0.235733	0.107391	0.0635563	0.0246507	0.01789	0.0135694	0.0167291	0.0199001	0.0367521	0.0550222	0.0606028	0.0293468	0.0404899	0.0328845	0.0355817	0.0550297	0.0478151	0.107056
vu	0.169906	0.0805675	0.04504	0.022096	0.0146625	0.0150042	0.0147825	0.0211247	0.0529699	0.0951994	0.0807407	0.0393621	0.04785	0.0430302	0.0377097	0.0518607	0.0717004	0.0963939
toi	0.0259106	0.0152867	0.0156186	0.011397	0.00590314	0.00335689	0.00459977	0.00595761	0.00764755	0.0118919	0.0190078	0.0413087	0.134604	0.195077	0.171498	0.127407	0.14312	0.0604082
et	0.0402346	0.0346115	0.0318698	0.0267695	0.0168898	0.0072879	0.00638589	0.00882077	0.0180301	0.0268883	0.0445129	0.0489585	0.0896057	0.122966	0.115253	0.118442	0.121113	0.12136
moi	0.038558	0.0329734	0.0287724	0.0274983	0.0198328	0.0124455	0.0133705	0.0179672	0.0198582	0.0222576	0.0535186	0.074024	0.0969914	0.105999	0.104465	0.108214	0.110884	0.11237
</S>	0.09297	0.0504189	0.0363345	0.0229685	0.0143507	0.0140446	0.0201058	0.025321	0.0226306	0.0374592	0.045569	0.0507159	0.0782784	0.0826331	0.0716801	0.0969999	0.115716	0.121804
